r,t,Value
p1,2010,41550609.460819
p1,2015,36243707.654876
p1,2020,31926041.652317
p1,2023,37785589.135788
p1,2026,39552285.087149
p1,2029,43262569.758839
p1,2032,38908763.358407
p1,2035,37924703.497727
p1,2038,27327238.122662
p1,2041,25148793.827058
p1,2044,26831188.381655
p1,2047,27476386.64219
p1,2050,24498995.72016
p2,2010,-8455827.935622
p2,2015,830116.345043
p2,2020,-7787603.887303
p2,2023,-4661046.215585
p2,2026,-4386717.673819
p2,2029,-10686957.896072
p2,2032,-10024326.992387
p2,2035,-10013032.393385
p2,2038,-6169303.605308
p2,2041,-8968816.989732
p2,2044,-9046191.742469
p2,2047,-9133818.750943
p2,2050,-8221074.179591
p3,2010,7958131.463475
p3,2015,4601346.366927
p3,2020,4005171.938891
p3,2023,3890340.8859
p3,2026,5086590.892415
p3,2029,6587344.6911
p3,2032,6968678.524132
p3,2035,7498893.155879
p3,2038,5732552.327276
p3,2041,6227690.951881
p3,2044,5767858.542972
p3,2047,5309189.923349
p3,2050,3057794.761897
p4,2010,-49256252.330695
p4,2015,-56691405.01254
p4,2020,-65760592.170534
p4,2023,-65579806.334661
p4,2026,-65524014.503223
p4,2029,-65387194.903983
p4,2032,-65391900.604875
p4,2035,-64017912.924265
p4,2038,-64071641.855862
p4,2041,-63239012.141685
p4,2044,-65372465.983361
p4,2047,-64975926.598079
p4,2050,-64677864.502896
p5,2010,-7769007.964389
p5,2015,-4518980.520833
p5,2020,-14151051.686214
p5,2023,-7197497.710317
p5,2026,-5505086.510567
p5,2029,1282299.045155
p5,2032,7956589.466025
p5,2035,12372214.525106
p5,2038,18842160.538266
p5,2041,21416904.870994
p5,2044,27684393.670725
p5,2047,30300327.773367
p5,2050,34613634.92086
p6,2010,5579324.171983
p6,2015,7299552.263692
p6,2020,6281152.31276
p6,2023,7734875.554853
p6,2026,9946258.213389
p6,2029,12247903.72929
p6,2032,11344770.130554
p6,2035,12135052.202137
p6,2038,13778446.058512
p6,2041,15111422.206533
p6,2044,16780421.455652
p6,2047,18352614.447798
p6,2050,17853686.643679
p7,2010,121018.8315
p7,2015,258743.164428
p7,2020,-564575.454843
p7,2023,-1452187.204982
p7,2026,-1046913.156518
p7,2029,-6940001.969704
p7,2032,-13708997.8308
p7,2035,-19277577.81497
p7,2038,-21007497.915199
p7,2041,-26131167.315365
p7,2044,-27856648.940433
p7,2047,-30411104.274694
p7,2050,-32045450.570459
p8,2010,905661.020323
p8,2015,944671.872712
p8,2020,796575.469912
p8,2023,972946.202205
p8,2026,69627.239536
p8,2029,-1024462.790971
p8,2032,-822092.519971
p8,2035,-651136.944264
p8,2038,-2562844.801267
p8,2041,-2822913.702818
p8,2044,-3171569.160514
p8,2047,-3753714.495161
p8,2050,-4671334.033483
p9,2010,5273520.115073
p9,2015,2909456.791147
p9,2020,23584966.449593
p9,2023,12932098.888874
p9,2026,13852975.887308
p9,2029,10861367.924093
p9,2032,19721325.072936
p9,2035,23440098.06685
p9,2038,23816175.94619
p9,2041,38965457.912634
p9,2044,35287011.770068
p9,2047,32511217.151596
p9,2050,36178988.789604
p10,2010,40701009.382048
p10,2015,9730043.909023
p10,2020,48266995.040175
p10,2023,30752421.41332
p10,2026,23313495.877784
p10,2029,32610248.04137
p10,2032,26784053.618814
p10,2035,35756680.647026
p10,2038,30138256.976457
p10,2041,23764285.880269
p10,2044,24358369.298435
p10,2047,28900696.358438
p10,2050,43849119.129489
p11,2010,8463951.177248
p11,2015,711909.140051
p11,2020,13096827.149088
p11,2023,10427725.077583
p11,2026,10755522.553419
p11,2029,8264034.884381
p11,2032,10591739.056646
p11,2035,11149382.751686
p11,2038,13706080.953994
p11,2041,13265411.833722
p11,2044,12377352.960024
p11,2047,11613686.53952
p11,2050,4349872.933165
p12,2010,1244207.08325
p12,2015,-667387.074093
p12,2020,-5708806.645553
p12,2023,-1469155.905988
p12,2026,-2883214.885912
p12,2029,-2373629.492799
