eall,r,t,Value_emit,dr,Value_scc,dtau,Value
CH4,p1,2023,128528.129814,2.5,1457.0,1.025,140145299.55118436
CH4,p1,2023,128528.129814,2.0,1874.0,1.02,179376223.90551782
CH4,p1,2023,128528.129814,1.5,2564.0,1.015,244218850.13976282
CH4,p1,2024,128528.129814,2.5,1524.0,1.0,143014504.58911896
CH4,p1,2024,128528.129814,2.0,1950.0,1.0,182990999.9663924
CH4,p1,2024,128528.129814,1.5,2650.0,1.0,248680076.87740502
CH4,p1,2025,392083.627678,2.5,1590.0,0.9756097560975612,444067405.76738167
CH4,p1,2025,392083.627678,2.0,2025.0,0.9803921568627452,568329885.9883595
CH4,p1,2025,392083.627678,1.5,2737.0,0.9852216748768474,771941507.4665902
CH4,p1,2026,392083.627678,2.5,1657.0,0.9518143961927424,451492370.8277658
CH4,p1,2026,392083.627678,2.0,2101.0,0.9611687812379854,578097840.9399871
CH4,p1,2026,392083.627678,1.5,2823.0,0.9706617486471404,784430429.051327
CH4,p1,2027,392083.627678,2.5,1724.0,0.928599410919749,458290973.87701464
CH4,p1,2027,392083.627678,2.0,2176.0,0.9423223345470444,586994475.966352
CH4,p1,2027,392083.627678,1.5,2910.0,0.9563169937410252,796655393.5178353
CH4,p1,2028,301583.137807,2.5,1791.0,0.9059506447997552,357276219.7033377
CH4,p1,2028,301583.137807,2.0,2252.0,0.9238454260265142,458112018.29715925
CH4,p1,2028,301583.137807,1.5,2996.0,0.9421842302867244,621557950.9143447
CH4,p1,2029,301583.137807,2.5,1857.0,0.8838542876095173,361407002.486197
CH4,p1,2029,301583.137807,2.0,2327.0,0.905730809829916,464087114.97296077
CH4,p1,2029,301583.137807,1.5,3083.0,0.9282603254056396,630154874.0418832
CH4,p1,2030,301583.137807,2.5,1924.0,0.8622968659605048,365313617.7067355
CH4,p1,2030,301583.137807,2.0,2403.0,0.887971382186192,469847290.24159044
CH4,p1,2030,301583.137807,1.5,3169.0,0.914542192517872,638160577.3401345
CH4,p1,2031,750781.765935,2.5,2002.0,0.8412652350834192,923225226.1854177
CH4,p1,2031,750781.765935,2.0,2490.0,0.8705601786139138,1188252651.2900143
CH4,p1,2031,750781.765935,1.5,3270.0,0.9010267906580018,1615087679.341877
CH4,p1,2032,750781.765935,2.5,2080.0,0.8207465708130922,935800039.2123338
CH4,p1,2032,750781.765935,2.0,2578.0,0.8534903711901114,1206124629.9022193
CH4,p1,2032,750781.765935,1.5,3371.0,0.887711123800987,1640367143.3275988
CH4,p1,2033,750781.765935,2.5,2157.0,0.8007283617688704,946773304.2124785
CH4,p1,2033,750781.765935,2.0,2666.0,0.8367552658726582,1222838902.067006
CH4,p1,2033,750781.765935,1.5,3471.0,0.874592240198017,1664067277.5440762
CH4,p1,2034,775788.099923,2.5,2235.0,0.7811984017257273,988960436.2730997
CH4,p1,2034,775788.099923,2.0,2754.0,0.8203482998751551,1279682593.3747077
CH4,p1,2034,775788.099923,1.5,3572.0,0.8616672317221843,1743376036.071087
CH4,p1,2035,775788.099923,2.5,2313.0,0.7621447821714413,998511699.2850678
CH4,p1,2035,775788.099923,2.0,2842.0,0.8042630390932893,1294679372.026044
CH4,p1,2035,775788.099923,1.5,3673.0,0.848933233223827,1766178150.9411194
CH4,p1,2036,775788.099923,2.5,2391.0,0.7435558850453087,1007008730.2903408
CH4,p1,2036,775788.099923,2.0,2929.0,0.7884931755816562,1308149425.516511
CH4,p1,2036,775788.099923,1.5,3774.0,0.836387421895396,1787925560.2799242
CH4,p1,2037,1721826.226145,2.5,2468.0,0.7254203756539598,2250718364.6128645
CH4,p1,2037,1721826.226145,2.0,3017.0,0.773032525080055,2931968678.6511064
CH4,p1,2037,1721826.226145,1.5,3875.0,0.8240270166457105,4014203699.8728104
CH4,p1,2038,1721826.226145,2.5,2546.0,0.7077271957599608,2265220759.8941984
CH4,p1,2038,1721826.226145,2.0,3105.0,0.7578750245882894,2958322040.20735
CH4,p1,2038,1721826.226145,1.5,3975.0,0.8118492774834588,4056941924.54967
CH4,p1,2039,1721826.226145,2.5,2624.0,0.6904655568389862,2277676804.921111
