sys_costs,r,t,Value
inv_converter_costs,p20,2047,39733079.733791
inv_converter_costs,p24,2047,52088767.630585
inv_converter_costs,p24,2050,40323862.029325
inv_h2_production,p127,2041,835387902.920037
inv_h2_production,p127,2044,4149149.408186
inv_h2_production,p127,2047,66157788.67785
inv_h2_production,p127,2050,43215849.350048
inv_h2_storage,p3,2047,-0.0
inv_h2_storage,p3,2050,0.0
inv_h2_storage,p31,2041,0.0
inv_h2_storage,p31,2044,-0.0
inv_h2_storage,p64,2041,-0.0
inv_h2_storage,p64,2044,0.0
inv_h2_storage,p72,2038,0.0
inv_h2_storage,p72,2041,-0.0
inv_h2_storage,p86,2032,0.0
inv_h2_storage,p86,2035,-0.0
inv_h2_storage,p86,2044,0.0
inv_h2_storage,p86,2047,-0.0
inv_h2_storage,p99,2035,-0.0
inv_h2_storage,p99,2038,0.0
inv_h2_storage,p112,2032,0.0
inv_h2_storage,p112,2035,-0.0
inv_h2_storage,p118,2035,-0.0
inv_h2_storage,p118,2038,0.0
inv_h2_storage,z122,2032,-0.0
inv_h2_storage,z122,2035,0.0
inv_h2_storage,z122,2038,-0.0
inv_h2_storage,z122,2041,0.0
inv_h2_storage,p126,2050,0.0
inv_h2_storage,p127,2041,193496242.015737
inv_h2_storage,p130,2038,-0.0
inv_h2_storage,p130,2041,0.0
inv_h2_storage,p134,2041,-0.0
inv_h2_storage,p134,2044,0.0
inv_investment_capacity_costs,p1,2010,381394271.0115
inv_investment_capacity_costs,p1,2015,107220104.123593
inv_investment_capacity_costs,p1,2020,215022761.477033
inv_investment_capacity_costs,p1,2023,13169559.195
inv_investment_capacity_costs,p1,2029,731413961.825976
inv_investment_capacity_costs,p1,2032,2675550841.395273
inv_investment_capacity_costs,p1,2035,1328865271.665157
inv_investment_capacity_costs,p1,2038,3499320438.729458
inv_investment_capacity_costs,p1,2041,1048201970.877428
inv_investment_capacity_costs,p1,2044,2031347612.17992
inv_investment_capacity_costs,p1,2047,425601712.628916
inv_investment_capacity_costs,p1,2050,1423789306.67454
inv_investment_capacity_costs,p2,2010,117393137.96
inv_investment_capacity_costs,p2,2015,1208287032.61911
inv_investment_capacity_costs,p2,2023,134133754.11
inv_investment_capacity_costs,p2,2026,146080107.504
inv_investment_capacity_costs,p2,2029,2634104166.74372
inv_investment_capacity_costs,p2,2032,980602334.671684
inv_investment_capacity_costs,p2,2035,415951213.27687
inv_investment_capacity_costs,p2,2038,30436221.830379
inv_investment_capacity_costs,p2,2041,1020643797.049702
inv_investment_capacity_costs,p2,2044,832694466.506938
inv_investment_capacity_costs,p2,2047,144168427.460759
inv_investment_capacity_costs,p2,2050,338844315.738095
inv_investment_capacity_costs,p3,2015,150165713.8215
inv_investment_capacity_costs,p3,2020,177681543.112704
inv_investment_capacity_costs,p3,2029,30707009.591022
inv_investment_capacity_costs,p3,2032,218095465.249987
inv_investment_capacity_costs,p3,2035,214593967.078998
inv_investment_capacity_costs,p3,2038,667788882.867887
inv_investment_capacity_costs,p3,2041,52482499.523989
inv_investment_capacity_costs,p3,2044,409255648.248845
inv_investment_capacity_costs,p3,2047,332752547.827118
inv_investment_capacity_costs,p3,2050,821195606.224126
inv_investment_capacity_costs,p4,2015,641501060.295261
