sys_costs,i,r,t,Value
inv_h2_production,electrolyzer,p127,2041,835387902.920037
inv_h2_production,electrolyzer,p127,2044,4149149.408186
inv_h2_production,electrolyzer,p127,2047,66157788.67785
inv_h2_production,electrolyzer,p127,2050,43215849.350048
inv_investment_capacity_costs,battery_4,p6,2026,3412569.2986
inv_investment_capacity_costs,battery_4,p6,2041,2668138.7675
inv_investment_capacity_costs,battery_4,p7,2026,291899.5464
inv_investment_capacity_costs,battery_4,p8,2029,201542458.8
inv_investment_capacity_costs,battery_4,p8,2047,38706850.50951
inv_investment_capacity_costs,battery_4,p8,2050,212706587.629476
inv_investment_capacity_costs,battery_4,p9,2015,18130771.2
inv_investment_capacity_costs,battery_4,p9,2020,2015193.056
inv_investment_capacity_costs,battery_4,p9,2023,4246538041.15187
inv_investment_capacity_costs,battery_4,p9,2026,306368537.86
inv_investment_capacity_costs,battery_4,p9,2041,990522480.834706
inv_investment_capacity_costs,battery_4,p9,2044,1454449085.822176
inv_investment_capacity_costs,battery_4,p10,2015,8986063.476
inv_investment_capacity_costs,battery_4,p10,2020,284049910.4256
inv_investment_capacity_costs,battery_4,p10,2023,9661312454.478575
inv_investment_capacity_costs,battery_4,p10,2026,3122707331.205
inv_investment_capacity_costs,battery_4,p10,2041,1985715023.555017
inv_investment_capacity_costs,battery_4,p10,2050,333559026.377082
inv_investment_capacity_costs,battery_4,p11,2015,12094735.288
inv_investment_capacity_costs,battery_4,p11,2020,668454543.432
inv_investment_capacity_costs,battery_4,p11,2023,416025983.52
inv_investment_capacity_costs,battery_4,p11,2026,466068795.4692
inv_investment_capacity_costs,battery_4,p11,2041,160968673.712975
inv_investment_capacity_costs,battery_4,p11,2044,225698564.66285
inv_investment_capacity_costs,battery_4,p12,2029,37103167.984827
inv_investment_capacity_costs,battery_4,p12,2038,31280191.15044
inv_investment_capacity_costs,battery_4,p12,2041,26927902.751259
inv_investment_capacity_costs,battery_4,p12,2044,422263508.50152
inv_investment_capacity_costs,battery_4,p13,2023,94983507.6752
inv_investment_capacity_costs,battery_4,p13,2026,810351130.3888
inv_investment_capacity_costs,battery_4,p13,2029,519800913.429072
inv_investment_capacity_costs,battery_4,p13,2041,556087659.170231
inv_investment_capacity_costs,battery_4,p15,2023,245527826.178
inv_investment_capacity_costs,battery_4,p16,2023,3799455.152
inv_investment_capacity_costs,battery_4,p18,2026,144593002.4
inv_investment_capacity_costs,battery_4,p23,2044,164226666.486399
inv_investment_capacity_costs,battery_4,p23,2047,60852999.189585
inv_investment_capacity_costs,battery_4,p24,2044,80284461.631417
inv_investment_capacity_costs,battery_4,p24,2047,13572909.920782
inv_investment_capacity_costs,battery_4,p28,2023,1779769540.375886
inv_investment_capacity_costs,battery_4,p28,2026,358817420.5
inv_investment_capacity_costs,battery_4,p28,2047,367649406.211065
inv_investment_capacity_costs,battery_4,p29,2044,41948356.003367
inv_investment_capacity_costs,battery_4,p29,2047,37479737.101148
inv_investment_capacity_costs,battery_4,p30,2029,623575149.221608
inv_investment_capacity_costs,battery_4,p31,2023,139163419.056
inv_investment_capacity_costs,battery_4,p31,2026,213109927.8
inv_investment_capacity_costs,battery_4,p31,2044,348292800.010854
inv_investment_capacity_costs,battery_4,p31,2047,300370290.326927
inv_investment_capacity_costs,battery_4,p33,2023,9349100.13
inv_investment_capacity_costs,battery_4,p33,2047,23250823.810082
inv_investment_capacity_costs,battery_4,p34,2023,421247841.75
inv_investment_capacity_costs,battery_4,p34,2047,158447046.717746
inv_investment_capacity_costs,battery_4,p35,2050,1076240.457912
inv_investment_capacity_costs,battery_4,p37,2029,386082633.6
inv_investment_capacity_costs,battery_4,p39,2050,169164847.179712
inv_investment_capacity_costs,battery_4,p40,2023,1887764.556
inv_investment_capacity_costs,battery_4,p43,2023,1491621.824716
inv_investment_capacity_costs,battery_4,p43,2029,501265478.140542
inv_investment_capacity_costs,battery_4,p46,2047,331230057.386977
inv_investment_capacity_costs,battery_4,p47,2044,209726090.093982
inv_investment_capacity_costs,battery_4,p47,2050,340894234.131371
inv_investment_capacity_costs,battery_4,p48,2026,282983624.0
inv_investment_capacity_costs,battery_4,p48,2044,100791824.987248
inv_investment_capacity_costs,battery_4,p48,2047,875524990.034356
