ba,state_abbr,year,pollutant,tons,model,cr,md,damage_$,mortality
p1,WA,2010,NOX,425.86,AP2,ACS,559.4,238224.4,0.0344
p1,WA,2010,NOX,425.86,AP2,H6C,1436.07,611562.17,0.0882
p1,WA,2010,NOX,425.86,EASIUR,ACS,7504.37,3195794.46,0.461
p1,WA,2010,NOX,425.86,EASIUR,H6C,19279.96,8210524.41,1.1843
p1,WA,2010,NOX,425.86,InMAP,ACS,1978.42,842527.21,0.1215
p1,WA,2010,NOX,425.86,InMAP,H6C,5082.01,2164213.21,0.3122
p1,WA,2015,NOX,289.64,AP2,ACS,559.4,162023.73,0.0234
p1,WA,2015,NOX,289.64,AP2,H6C,1436.07,415942.21,0.06
p1,WA,2015,NOX,289.64,EASIUR,ACS,7504.37,2173557.95,0.3135
p1,WA,2015,NOX,289.64,EASIUR,H6C,19279.96,5584229.78,0.8055
p1,WA,2015,NOX,289.64,InMAP,ACS,1978.42,573028.63,0.0827
p1,WA,2015,NOX,289.64,InMAP,H6C,5082.01,1471947.86,0.2123
p1,WA,2020,NOX,433.14,AP2,ACS,559.4,242295.48,0.0349
p1,WA,2020,NOX,433.14,AP2,H6C,1436.07,622013.33,0.0897
p1,WA,2020,NOX,433.14,EASIUR,ACS,7504.37,3250408.28,0.4688
p1,WA,2020,NOX,433.14,EASIUR,H6C,19279.96,8350836.34,1.2045
p1,WA,2020,NOX,433.14,InMAP,ACS,1978.42,856925.39,0.1236
p1,WA,2020,NOX,433.14,InMAP,H6C,5082.01,2201198.05,0.3175
p1,WA,2023,NOX,273.38,AP2,ACS,559.4,152931.04,0.0221
p1,WA,2023,NOX,273.38,AP2,H6C,1436.07,392599.75,0.0566
p1,WA,2023,NOX,273.38,EASIUR,ACS,7504.37,2051578.97,0.2959
p1,WA,2023,NOX,273.38,EASIUR,H6C,19279.96,5270845.62,0.7603
p1,WA,2023,NOX,273.38,InMAP,ACS,1978.42,540870.55,0.078
p1,WA,2023,NOX,273.38,InMAP,H6C,5082.01,1389342.89,0.2004
p1,WA,2026,NOX,287.53,AP2,ACS,559.4,160841.46,0.0232
p1,WA,2026,NOX,287.53,AP2,H6C,1436.07,412907.12,0.0596
p1,WA,2026,NOX,287.53,EASIUR,ACS,7504.37,2157697.68,0.3112
p1,WA,2026,NOX,287.53,EASIUR,H6C,19279.96,5543482.14,0.7996
p1,WA,2026,NOX,287.53,InMAP,ACS,1978.42,568847.29,0.0821
p1,WA,2026,NOX,287.53,InMAP,H6C,5082.01,1461207.19,0.2108
p1,WA,2029,NOX,309.21,AP2,ACS,559.4,172969.01,0.0249
p1,WA,2029,NOX,309.21,AP2,H6C,1436.07,444040.59,0.064
p1,WA,2029,NOX,309.21,EASIUR,ACS,7504.37,2320389.55,0.3347
p1,WA,2029,NOX,309.21,EASIUR,H6C,19279.96,5961464.43,0.8599
p1,WA,2029,NOX,309.21,InMAP,ACS,1978.42,611738.76,0.0882
p1,WA,2029,NOX,309.21,InMAP,H6C,5082.01,1571383.19,0.2267
p1,WA,2032,NOX,267.24,AP2,ACS,559.4,149492.15,0.0216
p1,WA,2032,NOX,267.24,AP2,H6C,1436.07,383771.54,0.0554
p1,WA,2032,NOX,267.24,EASIUR,ACS,7504.37,2005446.09,0.2893
p1,WA,2032,NOX,267.24,EASIUR,H6C,19279.96,5152322.62,0.7432
p1,WA,2032,NOX,267.24,InMAP,ACS,1978.42,528708.25,0.0763
p1,WA,2032,NOX,267.24,InMAP,H6C,5082.01,1358101.4,0.1959
p1,WA,2035,NOX,286.92,AP2,ACS,559.4,160502.26,0.0232
p1,WA,2035,NOX,286.92,AP2,H6C,1436.07,412036.35,0.0594
p1,WA,2035,NOX,286.92,EASIUR,ACS,7504.37,2153147.36,0.3106
p1,WA,2035,NOX,286.92,EASIUR,H6C,19279.96,5531791.59,0.7979
p1,WA,2035,NOX,286.92,InMAP,ACS,1978.42,567647.66,0.0819
p1,WA,2035,NOX,286.92,InMAP,H6C,5082.01,1458125.67,0.2103
p1,WA,2038,NOX,403.17,AP2,ACS,559.4,225530.75,0.0325
p1,WA,2038,NOX,403.17,AP2,H6C,1436.07,578975.42,0.0835
p1,WA,2038,NOX,403.17,EASIUR,ACS,7504.37,3025508.32,0.4364
p1,WA,2038,NOX,403.17,EASIUR,H6C,19279.96,7773031.16,1.1212
p1,WA,2038,NOX,403.17,InMAP,ACS,1978.42,797633.61,0.1151
p1,WA,2038,NOX,403.17,InMAP,H6C,5082.01,2048894.31,0.2955
p1,WA,2041,NOX,345.97,AP2,ACS,559.4,193536.22,0.0279
p1,WA,2041,NOX,345.97,AP2,H6C,1436.07,496840.07,0.0717
p1,WA,2041,NOX,345.97,EASIUR,ACS,7504.37,2596299.83,0.3745
p1,WA,2041,NOX,345.97,EASIUR,H6C,19279.96,6670323.57,0.9621
p1,WA,2041,NOX,345.97,InMAP,ACS,1978.42,684478.7,0.0987
p1,WA,2041,NOX,345.97,InMAP,H6C,5082.01,1758231.47,0.2536
p1,WA,2044,NOX,425.27,AP2,ACS,559.4,237893.88,0.0343
p1,WA,2044,NOX,425.27,AP2,H6C,1436.07,610713.66,0.0881
p1,WA,2044,NOX,425.27,EASIUR,ACS,7504.37,3191360.46,0.4603
p1,WA,2044,NOX,425.27,EASIUR,H6C,19279.96,8199132.74,1.1827
p1,WA,2044,NOX,425.27,InMAP,ACS,1978.42,841358.25,0.1214
p1,WA,2044,NOX,425.27,InMAP,H6C,5082.01,2161210.48,0.3117
p1,WA,2047,NOX,593.05,AP2,ACS,559.4,331754.02,0.0479
p1,WA,2047,NOX,593.05,AP2,H6C,1436.07,851668.47,0.1228
p1,WA,2047,NOX,593.05,EASIUR,ACS,7504.37,4450499.92,0.642
