eall,r,t,dr,Value
CH4,p1,2023,2.5,132527426.66787636
CH4,p1,2023,2.0,169625877.11275247
CH4,p1,2023,1.5,230943855.10225257
CH4,p1,2024,2.5,135240670.433295
CH4,p1,2024,2.0,173044164.92449167
CH4,p1,2024,1.5,235162583.1025143
CH4,p1,2025,2.5,144827740.01905885
CH4,p1,2025,2.0,185354592.35236096
CH4,p1,2025,1.5,251760301.4796717
CH4,p1,2026,2.5,147249311.37387973
CH4,p1,2026,2.0,188540304.3003197
CH4,p1,2026,1.5,255833427.01174498
CH4,p1,2027,2.5,149466601.5918093
CH4,p1,2027,2.0,191441844.7599629
CH4,p1,2027,1.5,259820465.80924043
CH4,p1,2028,2.5,237915817.21814072
CH4,p1,2028,2.0,305063951.0827825
CH4,p1,2028,1.5,413905151.4903773
CH4,p1,2029,2.5,240666570.01761508
CH4,p1,2029,2.0,309042861.3213679
CH4,p1,2029,1.5,419629976.92977595
CH4,p1,2030,2.5,243268046.1346738
CH4,p1,2030,2.0,312878652.03672445
CH4,p1,2030,1.5,424961099.8469154
CH4,p1,2031,2.5,197581751.70796955
CH4,p1,2031,2.0,254300937.25186867
CH4,p1,2031,1.5,345648974.6980095
CH4,p1,2032,2.5,200272919.05780894
CH4,p1,2032,2.0,258125764.3260561
CH4,p1,2032,1.5,351059096.33991355
CH4,p1,2033,2.5,202621335.08803657
CH4,p1,2033,2.0,261702827.73287755
CH4,p1,2033,1.5,356131221.6473573
CH4,p1,2034,2.5,230544021.5648763
CH4,p1,2034,2.0,298316454.918026
CH4,p1,2034,1.5,406411528.4230343
CH4,p1,2035,2.5,232770588.47800902
CH4,p1,2035,2.0,301812467.02729356
CH4,p1,2035,1.5,411727101.2907742
CH4,p1,2036,2.5,234751395.42181292
CH4,p1,2036,2.0,304952572.7266572
CH4,p1,2036,1.5,416796803.8023125
CH4,p1,2037,2.5,462851160.47191614
CH4,p1,2037,2.0,602947541.8682148
CH4,p1,2037,1.5,825504812.1830969
