i,v,r,t,Value
battery_4,new1,p5,2041,1.412038
battery_4,new1,p6,2026,2.3
battery_4,new1,p6,2041,1.087962
battery_4,new1,p7,2026,0.2
battery_4,new1,p8,2044,285.197496
battery_4,new1,p8,2047,116.492504
battery_4,new1,p8,2050,276.342572
battery_4,new1,p9,2015,6.0
battery_4,new1,p9,2020,1.0
battery_4,new1,p9,2023,2114.187467
battery_4,new1,p9,2026,202.0
battery_4,new1,p9,2041,1376.432568
battery_4,new1,p9,2044,589.419951
battery_4,new1,p9,2047,174.641939
battery_4,new1,p10,2015,3.0
battery_4,new1,p10,2020,142.2
battery_4,new1,p10,2023,4853.354083
battery_4,new1,p10,2026,2077.5
battery_4,new1,p10,2041,948.567432
battery_4,new1,p10,2044,263.784226
battery_4,new1,p10,2047,625.325117
battery_4,new1,p11,2015,4.0
battery_4,new1,p11,2020,331.5
battery_4,new1,p11,2023,207.0
battery_4,new1,p11,2026,307.1
battery_4,new1,p11,2044,387.040896
battery_4,new1,p12,2026,351.938985
battery_4,new1,p12,2029,200.0
battery_4,new1,p12,2032,13.394351
battery_4,new1,p12,2044,32.988543
battery_4,new1,p12,2047,102.583927
battery_4,new1,p12,2050,272.167428
battery_4,new1,p13,2023,48.8
battery_4,new1,p13,2026,199.261015
battery_4,new1,p13,2032,186.605649
battery_4,new1,p13,2038,48.8
battery_4,new1,p13,2041,551.2
battery_4,new1,p13,2044,167.011457
battery_4,new1,p13,2047,97.416073
battery_4,new1,p15,2023,129.0
battery_4,new1,p16,2023,2.0
battery_4,new1,p18,2026,100.0
battery_4,new1,p23,2047,30.108483
battery_4,new1,p24,2044,256.233103
battery_4,new1,p24,2050,479.082585
battery_4,new1,p28,2023,936.855138
battery_4,new1,p28,2026,250.0
battery_4,new1,p28,2044,166.456019
battery_4,new1,p28,2047,639.084826
battery_4,new1,p28,2050,1061.080008
battery_4,new1,p29,2044,36.327365
battery_4,new1,p29,2047,13.645068
battery_4,new1,p30,2029,261.165019
battery_4,new1,p31,2023,74.0
battery_4,new1,p31,2026,150.0
battery_4,new1,p33,2023,5.0
battery_4,new1,p34,2023,225.0
battery_4,new1,p34,2050,237.815829
battery_4,new1,p40,2023,1.0
battery_4,new1,p43,2023,0.768718
battery_4,new1,p46,2050,360.717119
battery_4,new1,p47,2044,78.180371
battery_4,new1,p47,2047,101.134477
battery_4,new1,p47,2050,157.101269
battery_4,new1,p48,2026,200.0
battery_4,new1,p48,2038,19.734969
battery_4,new1,p48,2044,764.46982
battery_4,new1,p48,2047,136.618781
battery_4,new1,p50,2050,814.322118
battery_4,new1,p58,2047,532.248561
battery_4,new1,p58,2050,1665.984368
battery_4,new1,p59,2047,20.046827
battery_4,new1,p59,2050,119.989887
battery_4,new1,p60,2023,50.0
battery_4,new1,p60,2026,200.0
battery_4,new1,p60,2041,434.560877
battery_4,new1,p60,2044,1664.646911
battery_4,new1,p60,2050,476.879867
battery_4,new1,p61,2023,306.3
battery_4,new1,p61,2026,515.4
battery_4,new1,p62,2023,608.5
battery_4,new1,p63,2023,791.17181
battery_4,new1,p63,2026,191.8
battery_4,new1,p63,2047,860.60306
battery_4,new1,p63,2050,1759.513488
battery_4,new1,p64,2023,419.9
battery_4,new1,p64,2026,180.0
battery_4,new1,p65,2023,413.6
battery_4,new1,p65,2026,159.9
battery_4,new1,p65,2050,416.878358
battery_4,new1,p67,2023,250.0
battery_4,new1,p67,2026,150.0
battery_4,new1,p69,2029,200.0
battery_4,new1,p70,2023,5.0
battery_4,new1,p72,2029,287.988292
battery_4,new1,p74,2026,675.680099
battery_4,new1,p74,2032,59.17
battery_4,new1,p74,2041,144.327983
battery_4,new1,p74,2044,7.151467
battery_4,new1,p74,2047,73.390489
battery_4,new1,p76,2023,5.0
battery_4,new1,p77,2023,0.3
battery_4,new1,p77,2050,262.933571
battery_4,new1,p78,2023,0.3
battery_4,new1,p79,2050,1708.848273
battery_4,new1,p80,2050,4042.198917
battery_4,new1,p81,2050,1784.993394
battery_4,new1,p82,2050,2692.99854
battery_4,new1,p83,2050,892.045295
battery_4,new1,p86,2047,729.087502
battery_4,new1,p86,2050,1894.35544
battery_4,new1,p87,2023,1.3
battery_4,new1,p88,2023,87.726953
battery_4,new1,p88,2026,50.0
battery_4,new1,p94,2026,65.0
battery_4,new1,p95,2029,319.7
battery_4,new1,p96,2023,38.653186
battery_4,new1,p96,2029,115.3
battery_4,new1,p97,2026,5.0
battery_4,new1,p98,2023,22.3
battery_4,new1,p98,2026,37.5
battery_4,new1,p98,2029,497.836194
battery_4,new1,p99,2023,20.0
battery_4,new1,p99,2026,255.0
battery_4,new1,p99,2041,196.670016
battery_4,new1,p99,2047,933.406883
battery_4,new1,p99,2050,1742.141739
battery_4,new1,p100,2035,7.545039
battery_4,new1,p101,2023,17.3
battery_4,new1,p101,2026,23.0
battery_4,new1,p103,2026,827.98545
battery_4,new1,p103,2029,177.5
battery_4,new1,p103,2041,2119.002017
battery_4,new1,p103,2044,166.006006
battery_4,new1,p103,2047,703.262039
battery_4,new1,p104,2026,759.664451
battery_4,new1,p104,2044,4.342527
battery_4,new1,p111,2023,12.0
battery_4,new1,p118,2032,1057.139364
battery_4,new1,p118,2035,1737.633429
battery_4,new1,p118,2038,20.0
battery_4,new1,p118,2041,58.329984
battery_4,new1,p121,2023,5.439139
battery_4,new1,p121,2032,897.9
battery_4,new1,p121,2035,156.534893
battery_4,new1,p123,2026,899.460861
battery_4,new1,p123,2029,897.9
battery_4,new1,p123,2035,142.765107
battery_4,new1,p123,2038,5.439139
battery_4,new1,p123,2041,899.460861
battery_4,new1,p123,2044,897.9
battery_4,new1,p123,2047,897.9
battery_4,new1,p123,2050,299.3
battery_4,new1,p124,2032,17.860636
battery_4,new1,p124,2035,4.821533
battery_4,new1,p124,2047,141.593117
battery_4,new1,p124,2050,7.858261
battery_4,new1,p125,2041,344.29021
battery_4,new1,p125,2044,557.610913
battery_4,new1,p126,2023,47.0
battery_4,new1,p126,2026,1486.3
battery_4,new1,p126,2029,466.7
battery_4,new1,p126,2038,47.0
battery_4,new1,p126,2041,1486.3
battery_4,new1,p126,2044,466.7
battery_4,new1,p127,2023,73.189967
battery_4,new1,p127,2026,1387.668088
battery_4,new1,p127,2029,730.937138
battery_4,new1,p127,2032,236.270039
battery_4,new1,p127,2044,282.943438
battery_4,new1,p127,2047,104.412717
battery_4,new1,p128,2026,539.141945
battery_4,new1,p128,2029,19.062862
battery_4,new1,p128,2032,13.729961
battery_4,new1,p128,2038,73.189967
battery_4,new1,p128,2041,1926.810033
battery_4,new1,p128,2044,467.056562
battery_4,new1,p128,2047,173.773205
battery_4,new1,p129,2023,10.0
battery_4,new1,p129,2047,585.232616
battery_4,new1,p129,2050,119.74
battery_4,new1,p131,2023,38.797904
battery_4,new1,p131,2026,11.202096
battery_4,new1,p131,2038,38.797904
battery_4,new1,p131,2041,11.202096
battery_4,new1,p133,2026,72.6
battery_4,new1,p133,2029,122.4
battery_4,new1,p133,2041,72.6
battery_4,new1,p133,2044,122.4
battery_4,new1,p134,2047,205.237384
battery_8,new1,p10,2047,24.794464
battery_8,new1,p10,2050,1891.36329
battery_8,new1,p11,2050,150.125892
battery_8,new1,p125,2026,645.0
biopower,new1,p5,2015,1.0
biopower,new1,p9,2015,28.7
biopower,new1,p10,2015,6.1
biopower,new1,p15,2015,16.3
biopower,new1,p16,2015,5.0
biopower,new1,p25,2015,3.0
biopower,new1,p33,2015,12.6
biopower,new1,p43,2015,7.6
biopower,new1,p46,2015,3.2
biopower,new1,p63,2015,50.0
biopower,new1,p66,2015,146.5
biopower,new1,p70,2015,1.0
biopower,new1,p75,2015,47.1
biopower,new1,p76,2015,1.4
biopower,new1,p77,2015,1.6
biopower,new1,p78,2015,4.0
biopower,new1,p79,2015,2.0
biopower,new1,p94,2015,55.0
biopower,new1,p96,2015,58.2
biopower,new1,p97,2015,0.8
biopower,new1,p99,2015,44.3
biopower,new1,p101,2015,102.5
biopower,new1,p103,2015,5.8
biopower,new1,p112,2015,2.4
biopower,new1,z122,2015,2.5
biopower,new1,p130,2015,67.5
biopower,new1,p132,2015,37.5
biopower,new2,p9,2020,4.0
biopower,new2,p9,2023,9.2
biopower,new2,p10,2020,25.0
biopower,new2,p10,2023,2.6
biopower,new2,p94,2020,165.5
