ba,state_abbr,year,pollutant,tons,model,cr,md,damage_$,mortality
p1,WA,2010,SO2,62.66,AP2,ACS,3649.64,228678.34,0.033
p1,WA,2010,SO2,62.66,AP2,H6C,9375.9,587473.62,0.0847
p1,WA,2010,SO2,62.66,EASIUR,ACS,18204.36,1140645.44,0.1645
p1,WA,2010,SO2,62.66,EASIUR,H6C,46771.73,2930614.57,0.4227
p1,WA,2010,SO2,62.66,InMAP,ACS,4154.93,260338.85,0.0376
p1,WA,2010,SO2,62.66,InMAP,H6C,10674.16,668819.79,0.0965
p1,WA,2015,SO2,28.37,AP2,ACS,3649.64,103530.53,0.0149
p1,WA,2015,SO2,28.37,AP2,H6C,9375.9,265969.47,0.0384
p1,WA,2015,SO2,28.37,EASIUR,ACS,18204.36,516409.34,0.0745
p1,WA,2015,SO2,28.37,EASIUR,H6C,46771.73,1326789.81,0.1914
p1,WA,2015,SO2,28.37,InMAP,ACS,4154.93,117864.33,0.017
p1,WA,2015,SO2,28.37,InMAP,H6C,10674.16,302797.68,0.0437
p1,WA,2020,SO2,52.07,AP2,ACS,3649.64,190033.17,0.0274
p1,WA,2020,SO2,52.07,AP2,H6C,9375.9,488194.35,0.0704
p1,WA,2020,SO2,52.07,EASIUR,ACS,18204.36,947883.68,0.1367
p1,WA,2020,SO2,52.07,EASIUR,H6C,46771.73,2435359.53,0.3513
p1,WA,2020,SO2,52.07,InMAP,ACS,4154.93,216343.25,0.0312
p1,WA,2020,SO2,52.07,InMAP,H6C,10674.16,555793.54,0.0802
p1,WA,2023,SO2,25.57,AP2,ACS,3649.64,93339.09,0.0135
p1,WA,2023,SO2,25.57,AP2,H6C,9375.9,239787.69,0.0346
p1,WA,2023,SO2,25.57,EASIUR,ACS,18204.36,465574.5,0.0672
p1,WA,2023,SO2,25.57,EASIUR,H6C,46771.73,1196181.9,0.1725
p1,WA,2023,SO2,25.57,InMAP,ACS,4154.93,106261.88,0.0153
p1,WA,2023,SO2,25.57,InMAP,H6C,10674.16,272990.57,0.0394
p1,WA,2026,SO2,27.86,AP2,ACS,3649.64,101685.79,0.0147
p1,WA,2026,SO2,27.86,AP2,H6C,9375.9,261230.33,0.0377
p1,WA,2026,SO2,27.86,EASIUR,ACS,18204.36,507207.76,0.0732
p1,WA,2026,SO2,27.86,EASIUR,H6C,46771.73,1303148.56,0.188
p1,WA,2026,SO2,27.86,InMAP,ACS,4154.93,115764.18,0.0167
p1,WA,2026,SO2,27.86,InMAP,H6C,10674.16,297402.31,0.0429
p1,WA,2029,SO2,37.55,AP2,ACS,3649.64,137045.67,0.0198
p1,WA,2029,SO2,37.55,AP2,H6C,9375.9,352069.7,0.0508
p1,WA,2029,SO2,37.55,EASIUR,ACS,18204.36,683582.53,0.0986
p1,WA,2029,SO2,37.55,EASIUR,H6C,46771.73,1756301.17,0.2533
p1,WA,2029,SO2,37.55,InMAP,ACS,4154.93,156019.64,0.0225
p1,WA,2029,SO2,37.55,InMAP,H6C,10674.16,400820.02,0.0578
p1,WA,2032,SO2,32.37,AP2,ACS,3649.64,118121.15,0.017
p1,WA,2032,SO2,32.37,AP2,H6C,9375.9,303452.69,0.0438
p1,WA,2032,SO2,32.37,EASIUR,ACS,18204.36,589187.18,0.085
p1,WA,2032,SO2,32.37,EASIUR,H6C,46771.73,1513775.0,0.2184
p1,WA,2032,SO2,32.37,InMAP,ACS,4154.93,134475.02,0.0194
p1,WA,2032,SO2,32.37,InMAP,H6C,10674.16,345471.11,0.0498
p1,WA,2035,SO2,35.78,AP2,ACS,3649.64,130598.49,0.0188
p1,WA,2035,SO2,35.78,AP2,H6C,9375.9,335506.93,0.0484
p1,WA,2035,SO2,35.78,EASIUR,ACS,18204.36,651424.05,0.094
p1,WA,2035,SO2,35.78,EASIUR,H6C,46771.73,1673677.68,0.2414
