eall,r,t,Value_emit,dr,Value_scc,dtau,Value
CH4,p1,2023,121541.730998,2.5,1457.0,1.025,132527426.66787636
CH4,p1,2023,121541.730998,2.0,1874.0,1.02,169625877.11275247
CH4,p1,2023,121541.730998,1.5,2564.0,1.015,230943855.10225257
CH4,p1,2024,121541.730998,2.5,1524.0,1.0,135240670.433295
CH4,p1,2024,121541.730998,2.0,1950.0,1.0,173044164.92449167
CH4,p1,2024,121541.730998,1.5,2650.0,1.0,235162583.1025143
CH4,p1,2025,127873.79789100001,2.5,1590.0,0.9756097560975612,144827740.01905885
CH4,p1,2025,127873.79789100001,2.0,2025.0,0.9803921568627452,185354592.35236096
CH4,p1,2025,127873.79789100001,1.5,2737.0,0.9852216748768474,251760301.4796717
CH4,p1,2026,127873.79789100001,2.5,1657.0,0.9518143961927424,147249311.37387973
CH4,p1,2026,127873.79789100001,2.0,2101.0,0.9611687812379854,188540304.3003197
CH4,p1,2026,127873.79789100001,1.5,2823.0,0.9706617486471404,255833427.01174498
CH4,p1,2027,127873.79789100001,2.5,1724.0,0.928599410919749,149466601.5918093
CH4,p1,2027,127873.79789100001,2.0,2176.0,0.9423223345470444,191441844.7599629
CH4,p1,2027,127873.79789100001,1.5,2910.0,0.9563169937410252,259820465.80924043
CH4,p1,2028,201387.814319,2.5,1791.0,0.9059506447997552,238577917.57659727
CH4,p1,2028,201387.814319,2.0,2252.0,0.9238454260265142,305912919.2334746
CH4,p1,2028,201387.814319,1.5,2996.0,0.9421842302867244,415057015.8446397
CH4,p1,2029,201387.814319,2.5,1857.0,0.8838542876095173,241336325.49726474
CH4,p1,2029,201387.814319,2.0,2327.0,0.905730809829916,309902902.45546246
CH4,p1,2029,201387.814319,1.5,3083.0,0.9282603254056396,420797773.0073675
CH4,p1,2030,201387.814319,2.5,1924.0,0.8622968659605048,243945041.31065705
CH4,p1,2030,201387.814319,2.0,2403.0,0.887971382186192,313749367.86423486
CH4,p1,2030,201387.814319,1.5,3169.0,0.914542192517872,426143732.0057548
CH4,p1,2031,176205.938742,2.5,2002.0,0.8412652350834192,216677835.06662956
CH4,p1,2031,176205.938742,2.0,2490.0,0.8705601786139138,278878874.50553036
CH4,p1,2031,176205.938742,1.5,3270.0,0.9010267906580018,379055610.5670157
CH4,p1,2032,176205.938742,2.5,2080.0,0.8207465708130922,219629101.11283332
CH4,p1,2032,176205.938742,2.0,2578.0,0.8534903711901114,283073367.3813911
CH4,p1,2032,176205.938742,1.5,3371.0,0.887711123800987,384988615.1824799
CH4,p1,2033,176205.938742,2.5,2157.0,0.8007283617688704,222204489.25909072
CH4,p1,2033,176205.938742,2.0,2666.0,0.8367552658726582,286996150.4733829
CH4,p1,2033,176205.938742,1.5,3471.0,0.874592240198017,390550956.44782084
CH4,p1,2034,199875.288252,2.5,2235.0,0.7811984017257273,254797350.319667
CH4,p1,2034,199875.288252,2.0,2754.0,0.8203482998751551,329699472.37811905
CH4,p1,2034,199875.288252,1.5,3572.0,0.8616672317221843,449166193.4179237
CH4,p1,2035,199875.288252,2.5,2313.0,0.7621447821714413,257258153.01550278
CH4,p1,2035,199875.288252,2.0,2842.0,0.8042630390932893,333563266.44261265
CH4,p1,2035,199875.288252,1.5,3673.0,0.848933233223827,455040966.80366546
CH4,p1,2036,199875.288252,2.5,2391.0,0.7435558850453087,259447341.68910283
CH4,p1,2036,199875.288252,2.0,2929.0,0.7884931755816562,337033712.59207565
CH4,p1,2036,199875.288252,1.5,3774.0,0.836387421895396,460644004.16755307
CH4,p1,2037,166089.323526,2.5,2468.0,0.7254203756539598,217106863.0212717
CH4,p1,2037,166089.323526,2.0,3017.0,0.773032525080055,282821046.0743518
CH4,p1,2037,166089.323526,1.5,3875.0,0.8240270166457105,387214671.7733264
CH4,p1,2038,166089.323526,2.5,2546.0,0.7077271957599608,218505780.6270142
CH4,p1,2038,166089.323526,2.0,3105.0,0.7578750245882894,285363121.41682833
CH4,p1,2038,166089.323526,1.5,3975.0,0.8118492774834588,391337249.71847385
CH4,p1,2039,166089.323526,2.5,2624.0,0.6904655568389862,219707304.9509648
CH4,p1,2039,166089.323526,2.0,3193.0,0.7430147299885189,287696772.02612257
CH4,p1,2039,166089.323526,1.5,4076.0,0.7998515049098116,395350405.5153823
CH4,p1,2040,366284.429375,2.5,2702.0,0.67362493350145,486764487.8331545
CH4,p1,2040,366284.429375,2.0,3280.0,0.7284458137142342,638978850.3576921
CH4,p1,2040,366284.429375,1.5,4177.0,0.7880310393200115,880284768.5552748
CH4,p1,2041,366284.429375,2.5,2786.0,0.6571950570745855,489655670.81409204
CH4,p1,2041,366284.429375,2.0,3375.0,0.7141625624649355,644593980.1402472
CH4,p1,2041,366284.429375,1.5,4285.0,0.7763852604138046,889699806.5312752
CH4,p1,2042,366284.429375,2.5,2871.0,0.641165909341059,492287721.1518423
CH4,p1,2042,366284.429375,2.0,3471.0,0.700159374965623,649930488.0368332
CH4,p1,2042,366284.429375,1.5,4394.0,0.7649115866145859,898848877.0883476
CH4,p1,2043,887617.502229,2.5,2955.0,0.6255277164303016,1197917282.7977455
CH4,p1,2043,887617.502229,2.0,3566.0,0.6864307597702186,1586356758.7834804
CH4,p1,2043,887617.502229,1.5,4502.0,0.7536074744971291,2198737967.644951
CH4,p1,2044,887617.502229,2.5,3040.0,0.6102709428588309,1202317210.0879521
CH4,p1,2044,887617.502229,2.0,3661.0,0.6729713331080575,1596684397.8276098
CH4,p1,2044,887617.502229,1.5,4610.0,0.7424704182237725,2218211070.031978
CH4,p1,2045,887617.502229,2.5,3124.0,0.5953862857159326,1205404032.1934414
CH4,p1,2045,887617.502229,2.0,3756.0,0.6597758167726053,1605997128.7820482
CH4,p1,2045,887617.502229,1.5,4718.0,0.7314979489889384,2236628410.80343
CH4,p1,2046,943620.57485,2.5,3209.0,0.5808646689911537,1284218763.34557
CH4,p1,2046,943620.57485,2.0,3851.0,0.6468390360515739,1716184883.7411008
CH4,p1,2046,943620.57485,1.5,4827.0,0.7206876344718607,2396727736.4386916
CH4,p1,2047,943620.57485,2.5,3293.0,0.56669723804015,1285692644.2237802
CH4,p1,2047,943620.57485,2.0,3946.0,0.6341559176976214,1724040496.54594
CH4,p1,2047,943620.57485,1.5,4935.0,0.7100370782973997,2414140365.886254
CH4,p1,2048,943620.57485,2.5,3378.0,0.5528753541855124,1286711576.5705318
CH4,p1,2048,943620.57485,2.0,4041.0,0.6217214879388445,1730928228.770297
CH4,p1,2048,943620.57485,1.5,5043.0,0.6995439195048273,2430514893.649838
CH4,p1,2049,1457270.958909,2.5,3462.0,0.5393905894492803,1986861844.4825442
CH4,p1,2049,1457270.958909,2.0,4136.0,0.6095308705282789,2682337844.382339
CH4,p1,2049,1457270.958909,1.5,5151.0,0.6892058320244606,3777267436.044295
CH4,p1,2050,1457270.958909,2.5,3547.0,0.5262347214139321,1985993986.9466643
CH4,p1,2050,1457270.958909,2.0,4231.0,0.597579284831646,2690145688.6405535
CH4,p1,2050,1457270.958909,1.5,5260.0,0.6790205241620302,3800195038.6204576
CH4,p10,2023,4876812.271745,2.5,1457.0,1.025,5317608819.70095
CH4,p10,2023,4876812.271745,2.0,1874.0,1.02,6806168978.476973
CH4,p10,2023,4876812.271745,1.5,2564.0,1.015,9266527779.3789
