eall,r,t,Value_emit,Value_scc,product
CH4,p1,2010,379161.395804,800,303329116.64320004
CH4,p1,2015,156388.930108,1200,187666716.1296
CH4,p1,2020,489558.658067,1600,783293852.9072
CH4,p1,2023,236744.48360500002,1840,435609849.83320004
CH4,p1,2026,448239.202595,2080,932337541.3975999
CH4,p1,2029,432725.393069,2320,1003922911.92008
CH4,p1,2032,1240637.139249,2580,3200843819.26242
CH4,p1,2035,1711535.7408160002,2850,4877876861.325601
CH4,p1,2038,2253650.1415730002,3120,7031388441.707761
CH4,p1,2041,2185708.61118,3390,7409552191.9002
CH4,p1,2044,2694674.996053,3660,9862510485.55398
CH4,p1,2047,2911028.982048,3930,11440343899.44864
CH4,p1,2050,3438593.300596,4200,14442091862.5032
CH4,p10,2010,7145919.626335001,800,5716735701.068001
CH4,p10,2015,7770795.731678001,1200,9324954878.013601
CH4,p10,2020,2018482.272188,1600,3229571635.5007997
CH4,p10,2023,3786567.9868750004,1840,6967285095.85
CH4,p10,2026,2914295.374487,2080,6061734378.9329605
CH4,p10,2029,3220334.764486,2320,7471176653.60752
CH4,p10,2032,2576471.587787,2580,6647296696.49046
CH4,p10,2035,2223921.125241,2850,6338175206.936851
CH4,p10,2038,2053103.249689,3120,6405682139.02968
CH4,p10,2041,1894416.553837,3390,6422072117.50743
CH4,p10,2044,1831270.3203429999,3660,6702449372.4553795
CH4,p10,2047,1774192.5076259999,3930,6972576554.97018
CH4,p10,2050,1640450.472328,4200,6889891983.7776
CH4,p100,2015,465423.710022,1200,558508452.0264
CH4,p100,2020,633598.942403,1600,1013758307.8448
CH4,p100,2023,689286.623808,1840,1268287387.80672
CH4,p100,2026,752152.432306,2080,1564477059.19648
CH4,p100,2029,495323.18829200004,2320,1149149796.83744
CH4,p100,2032,427089.30683099997,2580,1101890411.6239798
CH4,p100,2035,337896.614377,2850,963005350.9744501
CH4,p100,2038,301764.465004,3120,941505130.81248
CH4,p100,2041,378887.965247,3390,1284430202.18733
CH4,p100,2044,290048.305841,3660,1061576799.37806
CH4,p101,2010,13094250.643703999,800,10475400514.9632
CH4,p101,2015,14455235.867259,1200,17346283040.7108
CH4,p101,2020,15662582.395123,1600,25060131832.1968
CH4,p101,2023,14475432.424734,1840,26634795661.51056
CH4,p101,2026,12197308.552624,2080,25370401789.45792
CH4,p101,2029,11321024.392813,2320,26264776591.32616
CH4,p101,2032,11429008.676279001,2580,29486842384.799824
CH4,p101,2035,10823364.945687,2850,30846590095.20795
CH4,p101,2038,11080359.944348,3120,34570723026.36576
CH4,p101,2041,10711957.641418999,3390,36313536404.41041
CH4,p101,2044,11219310.836155,3660,41062677660.32729
CH4,p101,2047,10964176.933762,3930,43089215349.68466
CH4,p101,2050,11263467.611715,4200,47306563969.203
CH4,p102,2010,5306110.8028070005,800,4244888642.2456
CH4,p102,2015,6143670.993195999,1200,7372405191.835199
CH4,p102,2020,6248385.320928999,1600,9997416513.486399
CH4,p102,2023,6130678.809427,1840,11280449009.34568
CH4,p102,2026,4978818.681667,2080,10355942857.86736
CH4,p102,2029,4656292.051241,2320,10802597558.87912
CH4,p102,2032,4759616.576798,2580,12279810768.138842
CH4,p102,2035,5106299.771049,2850,14552954347.48965
CH4,p102,2038,5522676.073403,3120,17230749349.01736
CH4,p102,2041,5823575.116801,3390,19741919645.95539
CH4,p102,2044,6257037.131969,3660,22900755903.006542
CH4,p102,2047,6539641.751262001,3930,25700792082.459663
CH4,p102,2050,6309232.816792,4200,26498777830.5264
CH4,p103,2010,5412816.0179119995,800,4330252814.329599
CH4,p103,2015,5471430.347407999,1200,6565716416.8896
CH4,p103,2020,5227170.447182,1600,8363472715.4911995
CH4,p103,2023,4294761.972997,1840,7902362030.314481
CH4,p103,2026,3768937.548155,2080,7839390100.1624
CH4,p103,2029,3047098.038714,2320,7069267449.81648
CH4,p103,2032,4219315.829071,2580,10885834839.003181
CH4,p103,2035,4712220.947327,2850,13429829699.88195
CH4,p103,2038,5791016.924043,3120,18067972803.01416
CH4,p103,2041,6660870.668396001,3390,22580351565.862442
CH4,p103,2044,7755672.788806999,3660,28385762407.033615
CH4,p103,2047,8783813.161488,3930,34520385724.64784
CH4,p103,2050,9641526.016533999,4200,40494409269.442795
CH4,p104,2010,73415.238793,800,58732191.0344
CH4,p104,2015,567635.449327,1200,681162539.1924
CH4,p104,2020,588261.576851,1600,941218522.9616
CH4,p104,2023,604228.986803,1840,1111781335.71752
CH4,p104,2026,618655.734569,2080,1286803927.9035199
CH4,p104,2029,360444.556793,2320,836231371.75976
CH4,p104,2032,520364.703568,2580,1342540935.20544
CH4,p104,2035,696142.636726,2850,1984006514.6691
CH4,p104,2038,739253.105058,3120,2306469687.78096
CH4,p104,2041,636222.268825,3390,2156793491.31675
CH4,p104,2044,703581.066018,3660,2575106701.6258802
CH4,p104,2047,1971989.758664,3930,7749919751.5495205
CH4,p104,2050,3035502.626996,4200,12749111033.3832
CH4,p105,2010,2563656.7162679997,800,2050925373.0143998
CH4,p105,2015,2425716.27045,1200,2910859524.5400004
CH4,p105,2020,2211126.294777,1600,3537802071.6432
CH4,p105,2023,1664584.121549,1840,3062834783.65016
CH4,p105,2026,2022016.134,2080,4205793558.7200003
CH4,p105,2029,1814307.9206669999,2320,4209194375.9474397
CH4,p105,2032,1804723.7534240002,2580,4656187283.8339205
CH4,p105,2035,1879439.695803,2850,5356403133.038549
CH4,p105,2038,1519446.535955,3120,4740673192.1796
CH4,p105,2041,1412556.687997,3390,4788567172.309831
