r,t,Value
p1,2010,41550572.049103
p1,2015,36206319.841729
p1,2020,31651333.145698
p1,2023,37785589.135788
p1,2026,39374758.066658
p1,2029,42077930.939538
p1,2032,37878163.556679
p1,2035,36699674.565033
p1,2038,26128584.430589
p1,2041,27855937.433925
p1,2044,27477872.3313
p1,2047,29575619.697699
p1,2050,25394953.323552
p2,2010,-8456452.982295
p2,2015,868940.454995
p2,2020,-7909469.543384
p2,2023,-4641326.045438
p2,2026,-5379720.325774
p2,2029,-8897137.642179
p2,2032,-11335462.466696
p2,2035,-11598110.078675
p2,2038,-7810736.397967
p2,2041,-10183597.249462
p2,2044,-8342373.130712
p2,2047,-9590266.870049
p2,2050,-8846336.986131
p3,2010,7958131.463475
p3,2015,4601346.366927
p3,2020,4005171.938891
p3,2023,3890340.8859
p3,2026,5086590.892415
p3,2029,5805928.557072
p3,2032,6170912.13109
p3,2035,7345059.343306
p3,2038,5331689.596345
p3,2041,6051875.395335
p3,2044,6498815.362106
p3,2047,6311437.809658
p3,2050,5090564.100741
p4,2010,-49256252.282367
p4,2015,-56707927.412528
p4,2020,-65791099.16611
p4,2023,-65580186.061476
p4,2026,-65537590.854042
p4,2029,-66410702.206535
p4,2032,-65954337.489197
p4,2035,-64376880.909375
p4,2038,-64041451.677945
p4,2041,-63345916.205649
p4,2044,-65663656.204315
p4,2047,-65340041.403125
p4,2050,-65178042.972267
p5,2010,-7769566.862933
p5,2015,-4344819.916473
p5,2020,-13684126.0545
p5,2023,-6760049.392643
p5,2026,-5281331.526192
p5,2029,-3067104.232056
p5,2032,3454973.074227
p5,2035,9039742.293973
p5,2038,16650559.544708
p5,2041,19688776.947747
p5,2044,25730742.150806
p5,2047,27985258.407884
p5,2050,32500674.307359
p6,2010,5579303.843424
p6,2015,7299361.890205
p6,2020,6246729.744115
p6,2023,7727334.174776
p6,2026,9835446.488817
p6,2029,12207662.450945
p6,2032,12729883.127437
p6,2035,11512053.873509
p6,2038,13297840.720155
p6,2041,14846311.951492
p6,2044,16457554.302107
p6,2047,18089615.075094
p6,2050,17913964.860143
p7,2010,121018.8315
p7,2015,258743.164428
p7,2020,-564575.454843
p7,2023,-1452187.204982
p7,2026,-1046916.520634
p7,2029,-7554266.542595
p7,2032,-15052713.626243
p7,2035,-18490674.840945
p7,2038,-21771739.776302
p7,2041,-25264330.037103
p7,2044,-27296454.062491
p7,2047,-30028120.586595
p7,2050,-31932195.774245
p8,2010,905661.020323
p8,2015,944671.872712
p8,2020,796575.469912
p8,2023,969338.822205
p8,2026,42521.195791
p8,2029,-1000827.819827
p8,2032,-1035065.560541
p8,2035,-922346.93033
p8,2038,-799332.71898
p8,2041,-798915.765945
p8,2044,-865578.181448
p8,2047,-889060.279923
p8,2050,-982571.149315
p9,2010,5273364.300261
p9,2015,2909456.791147
p9,2020,23810852.096961
p9,2023,12798063.468892
p9,2026,14161204.271423
p9,2029,12201113.478701
p9,2032,20496294.611476
p9,2035,25008001.773925
p9,2038,25197873.760768
p9,2041,26570152.30818
p9,2044,25751860.901685
p9,2047,24819983.961498
p9,2050,27396030.782926
p10,2010,40699823.258776
p10,2015,9728529.659136
p10,2020,48434521.035466
p10,2023,31323239.331298
p10,2026,33156516.977214
p10,2029,44142477.641166
p10,2032,66210440.80171
p10,2035,54738984.083619
p10,2038,44152384.197654
p10,2041,37766763.676727
p10,2044,33444430.415562
p10,2047,35038245.394175
p10,2050,46355002.837434
p11,2010,8463874.796275
p11,2015,711909.140051
p11,2020,13166147.188904
p11,2023,10417592.620057
p11,2026,10377920.769622
p11,2029,9622768.111037
p11,2032,3859015.278851
p11,2035,5856554.862643
p11,2038,8628503.437646
p11,2041,11514581.389056
p11,2044,11776045.844479
p11,2047,11557244.453271
p11,2050,7324651.602766
p12,2010,1245797.598216
p12,2015,-685227.411967
p12,2020,-5762052.136648
p12,2023,-1514346.581184
p12,2026,-3633150.890125
p12,2029,-4472740.868512
p12,2032,-2611669.78261
p12,2035,844566.864701
p12,2038,-998124.263063
p12,2041,-904458.844597
p12,2044,-1479108.537953
p12,2047,-4066175.484265
p12,2050,-3616012.632127
p13,2010,-9403384.761012
p13,2015,-10228660.111148
p13,2020,-14927728.297973
p13,2023,-5140771.782595
p13,2026,-7298155.774182
p13,2029,-5642675.937762
p13,2032,-25240939.981993
p13,2035,-40779650.571006
p13,2038,-38920279.472564
p13,2041,-41278016.222174
p13,2044,-43021549.334766
p13,2047,-43820217.023122
p13,2050,-48181982.402762
p14,2010,2218172.719349
p14,2015,1703249.05548
p14,2020,1327695.259999
p14,2023,2758978.271863
p14,2026,2107555.4669
p14,2029,2770087.719235
p14,2032,2190618.841495
p14,2035,2507976.139503
p14,2038,2689866.763568
p14,2041,906750.810097
p14,2044,-1876026.392101
p14,2047,-1706562.925676
p14,2050,-1163949.322568
p15,2010,7790123.2017
p15,2015,6135591.285692
p15,2020,5113012.877527
p15,2023,6600715.732778
p15,2026,6660129.642843
p15,2029,7705422.601828
p15,2032,8861656.214885
p15,2035,8910695.558085
p15,2038,10312074.730681
p15,2041,11310057.953021
p15,2044,12008254.975387
p15,2047,12547309.441175
p15,2050,11875689.79544
p16,2010,2853773.166727
p16,2015,2006114.275135
p16,2020,1920304.865535
p16,2023,1226063.473795
p16,2026,1302931.557095
p16,2029,-2565026.731957
p16,2032,-8343304.860975
p16,2035,-7967879.287296
p16,2038,-8171696.211369
p16,2041,-7823438.486442
p16,2044,-8206323.471163
p16,2047,-10236501.568978
p16,2050,-11794321.416894
p17,2010,1568578.807435
p17,2015,1275284.0637
p17,2020,843003.969957
p17,2023,1172385.523953
p17,2026,1565576.545122
p17,2029,2044228.604987
p17,2032,2883157.727133
p17,2035,3777192.13665
p17,2038,4630929.743602
p17,2041,4578209.390639
p17,2044,5385882.765015
p17,2047,5756593.97276
p17,2050,6314124.40396
p18,2010,-92482.029389
p18,2015,-396640.33464
p18,2020,-952330.975572
p18,2023,-2258868.550864
p18,2026,-2969181.203274
p18,2029,-2528850.056774
p18,2032,-2056816.474352
p18,2035,-5841468.811022
p18,2038,-6402476.75255
p18,2041,-7631266.379048
p18,2044,-7309881.319205
p18,2047,-7515732.356385
p18,2050,-7832130.709551
p20,2010,-13651419.769374
p20,2015,-536447.041336
p20,2020,232236.937979
p20,2023,-4748398.183085
p20,2026,-5887686.492304
p20,2029,-7146032.116847
p20,2032,-8624927.835667
p20,2035,-8443015.350569
p20,2038,-8784690.943304
p20,2041,-9433546.64685
p20,2044,-11488626.291306
p20,2047,-12565708.650149
p20,2050,-13297622.616565
p21,2010,-9893257.759531
p21,2015,-177443.737573
p21,2020,-364802.441823
p21,2023,-7880709.285598
p21,2026,-6659268.534144
p21,2029,-5566679.782132
p21,2032,-4985937.154518
p21,2035,-3828613.41736
p21,2038,2411403.191844
p21,2041,2212552.505985
p21,2044,2437983.587594
p21,2047,954086.41416
p21,2050,181295.981428
p22,2010,1508273.499
p22,2015,1492247.472
p22,2020,1352162.886
p22,2023,1464885.966
p22,2026,1600357.581
p22,2029,1759725.3198
p22,2032,1913775.760116
p22,2035,2067988.957716
p22,2038,2192535.592547
p22,2041,1185564.685482
p22,2044,1128801.018942
p22,2047,1271892.661235
p22,2050,1396350.327857
p23,2010,-1928335.547116
p23,2015,492006.765
p23,2020,386671.5066
p23,2023,481100.8308
p23,2026,565686.9066
p23,2029,-1471630.074004
p23,2032,-3449872.194652
p23,2035,-4287131.921639
p23,2038,-4441023.501697
p23,2041,-3770882.824334
p23,2044,-4073017.421432
p23,2047,-3957551.112859
