eall,r,t,Value_emit,dr,Value_scc,dtau,Value
CH4,p1,2023,225601.573111,2.5,1457.0,1.025,245992842.87894166
CH4,p1,2023,225601.573111,2.0,1874.0,1.02,314853708.2921736
CH4,p1,2023,225601.573111,1.5,2564.0,1.015,428670026.2006666
CH4,p1,2024,225601.573111,2.5,1524.0,1.0,251029072.46598062
CH4,p1,2024,225601.573111,2.0,1950.0,1.0,321198616.34426653
CH4,p1,2024,225601.573111,1.5,2650.0,1.0,436500683.7499007
CH4,p1,2025,437163.347902,2.5,1590.0,0.9756097560975612,495123948.29925007
CH4,p1,2025,437163.347902,2.0,2025.0,0.9803921568627452,633673477.1171727
CH4,p1,2025,437163.347902,1.5,2737.0,0.9852216748768474,860695295.5091385
CH4,p1,2026,437163.347902,2.5,1657.0,0.9518143961927424,503402596.9209125
CH4,p1,2026,437163.347902,2.0,2101.0,0.9611687812379854,644564500.3259162
CH4,p1,2026,437163.347902,1.5,2823.0,0.9706617486471404,874620127.8312699
CH4,p1,2027,437163.347902,2.5,1724.0,0.928599410919749,510982867.71076345
CH4,p1,2027,437163.347902,2.0,2176.0,0.9423223345470444,654484023.8118138
CH4,p1,2027,437163.347902,1.5,2910.0,0.9563169937410252,888250654.6293713
CH4,p1,2028,361515.681933,2.5,1791.0,0.9059506447997552,428276451.8722987
CH4,p1,2028,361515.681933,2.0,2252.0,0.9238454260265142,549150990.0078918
CH4,p1,2028,361515.681933,1.5,2996.0,0.9421842302867244,745077951.3723259
CH4,p1,2029,361515.681933,2.5,1857.0,0.8838542876095173,433228130.422769
CH4,p1,2029,361515.681933,2.0,2327.0,0.905730809829916,556313496.3902955
CH4,p1,2029,361515.681933,1.5,3083.0,0.9282603254056396,755383310.4503478
CH4,p1,2030,361515.681933,2.5,1924.0,0.8622968659605048,437911093.38871115
CH4,p1,2030,361515.681933,2.0,2403.0,0.887971382186192,563218370.7988404
CH4,p1,2030,361515.681933,1.5,3169.0,0.914542192517872,764979958.6856107
CH4,p1,2031,264502.311919,2.5,2002.0,0.8412652350834192,325254578.397854
CH4,p1,2031,264502.311919,2.0,2490.0,0.8705601786139138,418624409.4762694
CH4,p1,2031,264502.311919,1.5,3270.0,0.9010267906580018,568999467.6493036
CH4,p1,2032,264502.311919,2.5,2080.0,0.8207465708130922,329684716.77957964
CH4,p1,2032,264502.311919,2.0,2578.0,0.8534903711901114,424920752.66943157
CH4,p1,2032,264502.311919,1.5,3371.0,0.887711123800987,577905486.6440102
CH4,p1,2033,264502.311919,2.5,2157.0,0.8007283617688704,333550625.7474453
CH4,p1,2033,264502.311919,2.0,2666.0,0.8367552658726582,430809232.957873
CH4,p1,2033,264502.311919,1.5,3471.0,0.874592240198017,586255103.7730862
CH4,p1,2034,958158.623499,2.5,2235.0,0.7811984017257273,1221443033.746528
CH4,p1,2034,958158.623499,2.0,2754.0,0.8203482998751551,1580507502.377569
CH4,p1,2034,958158.623499,1.5,3572.0,0.8616672317221843,2153204957.8084693
CH4,p1,2035,958158.623499,2.5,2313.0,0.7621447821714413,1233239586.2086406
