sys_costs,r,t,Value
inv_h2_production,p19,2032,100055277.022785
inv_h2_production,p19,2035,2745.481659
inv_h2_production,p31,2029,39119578.791583
inv_h2_production,p31,2032,906048.061368
inv_h2_production,p31,2035,497496.559956
inv_h2_production,p99,2047,272876502.315983
inv_h2_production,p127,2041,4751805275.950755
inv_h2_production,p127,2044,9410847.703668
inv_h2_storage,p2,2029,-0.0
inv_h2_storage,p2,2032,0.0
inv_h2_storage,p8,2035,-0.0
inv_h2_storage,p8,2038,0.0
inv_h2_storage,p9,2035,0.0
inv_h2_storage,p9,2038,-0.0
inv_h2_storage,p10,2035,0.0
inv_h2_storage,p10,2038,-0.0
inv_h2_storage,p10,2044,-0.0
inv_h2_storage,p10,2047,0.0
inv_h2_storage,p19,2032,1684302.397349
inv_h2_storage,p24,2044,0.0
inv_h2_storage,p24,2047,-0.0
inv_h2_storage,p27,2050,0.0
inv_h2_storage,p31,2029,8167999.253425
inv_h2_storage,p33,2044,-0.0
inv_h2_storage,p33,2047,0.0
inv_h2_storage,p35,2044,-0.0
inv_h2_storage,p35,2047,0.0
inv_h2_storage,p37,2050,-0.0
inv_h2_storage,p39,2050,0.0
inv_h2_storage,p44,2047,-0.0
inv_h2_storage,p44,2050,0.0
inv_h2_storage,p46,2032,0.0
inv_h2_storage,p46,2035,-0.0
inv_h2_storage,p47,2047,-0.0
inv_h2_storage,p47,2050,0.0
inv_h2_storage,p57,2035,-5.9e-05
inv_h2_storage,p57,2038,5.9e-05
inv_h2_storage,p60,2029,0.0
inv_h2_storage,p60,2032,-0.0
inv_h2_storage,p60,2035,-0.0
inv_h2_storage,p60,2038,0.0
inv_h2_storage,p67,2050,0.0
inv_h2_storage,p86,2050,-0.0
inv_h2_storage,p95,2038,0.0
inv_h2_storage,p95,2041,-0.0
inv_h2_storage,p97,2047,0.0
inv_h2_storage,p97,2050,-0.0
inv_h2_storage,p99,2047,104914140.330734
inv_h2_storage,p121,2038,0.0
inv_h2_storage,p121,2041,-0.0
inv_h2_storage,p123,2041,0.0
inv_h2_storage,p123,2044,-0.0
inv_h2_storage,p127,2041,1513603751.568926
inv_h2_storage,p127,2044,477084871.857378
inv_h2_storage,p127,2047,1188119120.332428
inv_h2_storage,p127,2050,36006864.333651
inv_h2_storage,p132,2041,0.0
inv_h2_storage,p132,2044,-0.0
inv_h2_storage,p133,2044,-0.0
inv_h2_storage,p133,2047,0.0
inv_investment_capacity_costs,p1,2010,381394271.0115
inv_investment_capacity_costs,p1,2015,107220104.123593
inv_investment_capacity_costs,p1,2020,215022761.477033
inv_investment_capacity_costs,p1,2023,13169559.195
inv_investment_capacity_costs,p1,2026,1136094.934346
inv_investment_capacity_costs,p1,2029,1562193539.427339
inv_investment_capacity_costs,p1,2032,1604231420.673234
inv_investment_capacity_costs,p1,2035,3924826120.864403
inv_investment_capacity_costs,p1,2038,4322259745.97589
inv_investment_capacity_costs,p1,2041,303262248.381439
inv_investment_capacity_costs,p1,2044,993389709.289799
inv_investment_capacity_costs,p1,2047,1657014572.332192
inv_investment_capacity_costs,p1,2050,1620273204.248144
inv_investment_capacity_costs,p2,2010,117393137.96
inv_investment_capacity_costs,p2,2015,1210192315.00611
inv_investment_capacity_costs,p2,2023,134133754.11
inv_investment_capacity_costs,p2,2026,245490525.196993
inv_investment_capacity_costs,p2,2029,3389954249.637662
inv_investment_capacity_costs,p2,2032,3378966629.335217
inv_investment_capacity_costs,p2,2035,626755344.696955
inv_investment_capacity_costs,p2,2038,217476960.463071
inv_investment_capacity_costs,p2,2041,838687390.824
inv_investment_capacity_costs,p2,2044,1962858862.913871
inv_investment_capacity_costs,p2,2047,1045785874.818681
inv_investment_capacity_costs,p2,2050,1128328329.234814
inv_investment_capacity_costs,p3,2015,150165713.8215
inv_investment_capacity_costs,p3,2020,177681543.112704
inv_investment_capacity_costs,p3,2029,117483848.138409
inv_investment_capacity_costs,p3,2032,927634724.105598
inv_investment_capacity_costs,p3,2035,76890463.955145
inv_investment_capacity_costs,p3,2038,501550332.266838
inv_investment_capacity_costs,p3,2041,291104501.66877
inv_investment_capacity_costs,p3,2044,426983089.743307
inv_investment_capacity_costs,p3,2047,966094746.818115
inv_investment_capacity_costs,p3,2050,1959540326.250891
inv_investment_capacity_costs,p4,2015,641501060.295261
inv_investment_capacity_costs,p4,2020,391444958.078072
inv_investment_capacity_costs,p4,2026,126551415.816
inv_investment_capacity_costs,p4,2029,432746541.571526
inv_investment_capacity_costs,p4,2035,572684.675766
inv_investment_capacity_costs,p4,2038,464588.85242
inv_investment_capacity_costs,p4,2041,408911.142288
inv_investment_capacity_costs,p4,2044,476829610.033503
inv_investment_capacity_costs,p4,2047,32949325.769922
inv_investment_capacity_costs,p4,2050,19634868.490728
inv_investment_capacity_costs,p5,2010,687232622.158629
inv_investment_capacity_costs,p5,2015,1808457509.27598
inv_investment_capacity_costs,p5,2020,1273253426.640691
inv_investment_capacity_costs,p5,2023,1119048215.333354
inv_investment_capacity_costs,p5,2026,6008491.592401
inv_investment_capacity_costs,p5,2029,1682234732.847574
inv_investment_capacity_costs,p5,2032,1103152622.978377
inv_investment_capacity_costs,p5,2035,99515375.309211
inv_investment_capacity_costs,p5,2038,396662731.702722
inv_investment_capacity_costs,p5,2041,858561621.922728
inv_investment_capacity_costs,p5,2044,832583253.737184
inv_investment_capacity_costs,p5,2047,600079185.907823
inv_investment_capacity_costs,p5,2050,1210521713.266205
inv_investment_capacity_costs,p6,2015,18876889.427035
inv_investment_capacity_costs,p6,2020,83404552.671776
inv_investment_capacity_costs,p6,2023,5125610.50176
inv_investment_capacity_costs,p6,2026,3412569.2986
inv_investment_capacity_costs,p6,2029,745177265.314336
inv_investment_capacity_costs,p6,2032,856675429.288795
inv_investment_capacity_costs,p6,2035,512099346.446111
inv_investment_capacity_costs,p6,2038,323050229.749526
inv_investment_capacity_costs,p6,2041,37744777.859271
inv_investment_capacity_costs,p6,2044,33401556.487842
inv_investment_capacity_costs,p6,2047,421153301.083687
inv_investment_capacity_costs,p6,2050,502823645.519683
inv_investment_capacity_costs,p7,2015,123359040.2518
inv_investment_capacity_costs,p7,2020,289299197.402448
inv_investment_capacity_costs,p7,2023,404804320.6172
inv_investment_capacity_costs,p7,2026,291899.5464
inv_investment_capacity_costs,p7,2029,2152337528.33378
inv_investment_capacity_costs,p7,2032,1751868784.384766
inv_investment_capacity_costs,p7,2035,1979237410.045097
inv_investment_capacity_costs,p7,2038,1639898249.961224
inv_investment_capacity_costs,p7,2041,648809656.000438
inv_investment_capacity_costs,p7,2044,596577539.11893
inv_investment_capacity_costs,p7,2047,780200953.636792
inv_investment_capacity_costs,p7,2050,398154389.146229
inv_investment_capacity_costs,p8,2010,4551412.95
inv_investment_capacity_costs,p8,2020,10319800.7992
inv_investment_capacity_costs,p8,2026,350148846.06
inv_investment_capacity_costs,p8,2029,754130256.192882
inv_investment_capacity_costs,p8,2032,3591621.170059
inv_investment_capacity_costs,p8,2035,87653021.885865
inv_investment_capacity_costs,p8,2038,299124987.367893
inv_investment_capacity_costs,p8,2041,85172575.995788
inv_investment_capacity_costs,p8,2044,301552488.943508
inv_investment_capacity_costs,p8,2047,17964758.930266
inv_investment_capacity_costs,p8,2050,46154651.240545
inv_investment_capacity_costs,p9,2010,1293396715.401504
inv_investment_capacity_costs,p9,2015,7188425870.453658
inv_investment_capacity_costs,p9,2020,2101559512.194385
inv_investment_capacity_costs,p9,2023,6168816800.097364
inv_investment_capacity_costs,p9,2026,4864054365.808934
inv_investment_capacity_costs,p9,2029,14475841110.92064
inv_investment_capacity_costs,p9,2032,5802706914.887524
inv_investment_capacity_costs,p9,2035,19410618806.16054
inv_investment_capacity_costs,p9,2038,20224772854.738605
inv_investment_capacity_costs,p9,2041,3793069444.82183
inv_investment_capacity_costs,p9,2044,6341936032.158214
inv_investment_capacity_costs,p9,2047,8996877740.229101
inv_investment_capacity_costs,p9,2050,10095022961.441212
inv_investment_capacity_costs,p10,2010,399069353.6868
inv_investment_capacity_costs,p10,2015,19587504060.770714
inv_investment_capacity_costs,p10,2020,6551672980.611736
inv_investment_capacity_costs,p10,2023,12811004626.282219
inv_investment_capacity_costs,p10,2026,11355181449.155905
inv_investment_capacity_costs,p10,2029,5949249168.901368
inv_investment_capacity_costs,p10,2032,10895509077.904093
inv_investment_capacity_costs,p10,2035,5143566482.46685
inv_investment_capacity_costs,p10,2038,14634703442.807034
inv_investment_capacity_costs,p10,2041,25184839561.95824
inv_investment_capacity_costs,p10,2044,24172448613.589054
inv_investment_capacity_costs,p10,2047,4189343992.249894
inv_investment_capacity_costs,p10,2050,7828164383.796502
inv_investment_capacity_costs,p11,2010,152825427.6507
inv_investment_capacity_costs,p11,2015,272464875.320572
inv_investment_capacity_costs,p11,2020,1561349845.426356
inv_investment_capacity_costs,p11,2023,562055773.370845
inv_investment_capacity_costs,p11,2026,1237910540.276516
inv_investment_capacity_costs,p11,2029,1587169796.644
inv_investment_capacity_costs,p11,2032,423957570.966502
inv_investment_capacity_costs,p11,2035,1850349129.569995
