ba,state_abbr,year,pollutant,tons,model,cr,md,damage_$,mortality
p1,WA,2010,SO2,62.67,AP2,ACS,3649.64,228705.91,0.033
p1,WA,2010,SO2,62.67,AP2,H6C,9375.9,587544.45,0.0847
p1,WA,2010,SO2,62.67,EASIUR,ACS,18204.36,1140782.95,0.1645
p1,WA,2010,SO2,62.67,EASIUR,H6C,46771.73,2930967.89,0.4228
p1,WA,2010,SO2,62.67,InMAP,ACS,4154.93,260370.23,0.0376
p1,WA,2010,SO2,62.67,InMAP,H6C,10674.16,668900.43,0.0965
p1,WA,2015,SO2,28.21,AP2,ACS,3649.64,102938.48,0.0148
p1,WA,2015,SO2,28.21,AP2,H6C,9375.9,264448.5,0.0381
p1,WA,2015,SO2,28.21,EASIUR,ACS,18204.36,513456.2,0.0741
p1,WA,2015,SO2,28.21,EASIUR,H6C,46771.73,1319202.42,0.1903
p1,WA,2015,SO2,28.21,InMAP,ACS,4154.93,117190.31,0.0169
p1,WA,2015,SO2,28.21,InMAP,H6C,10674.16,301066.1,0.0434
p1,WA,2020,SO2,61.26,AP2,ACS,3649.64,223583.34,0.0323
p1,WA,2020,SO2,61.26,AP2,H6C,9375.9,574384.6,0.0829
p1,WA,2020,SO2,61.26,EASIUR,ACS,18204.36,1115231.65,0.1609
p1,WA,2020,SO2,61.26,EASIUR,H6C,46771.73,2865319.95,0.4133
p1,WA,2020,SO2,61.26,InMAP,ACS,4154.93,254538.45,0.0367
p1,WA,2020,SO2,61.26,InMAP,H6C,10674.16,653918.37,0.0943
p1,WA,2023,SO2,37.8,AP2,ACS,3649.64,137969.6,0.0199
p1,WA,2023,SO2,37.8,AP2,H6C,9375.9,354443.27,0.0511
p1,WA,2023,SO2,37.8,EASIUR,ACS,18204.36,688191.07,0.0993
p1,WA,2023,SO2,37.8,EASIUR,H6C,46771.73,1768141.7,0.255
p1,WA,2023,SO2,37.8,InMAP,ACS,4154.93,157071.48,0.0227
p1,WA,2023,SO2,37.8,InMAP,H6C,10674.16,403522.24,0.0582
p1,WA,2026,SO2,66.16,AP2,ACS,3649.64,241462.83,0.0348
p1,WA,2026,SO2,66.16,AP2,H6C,9375.9,620316.93,0.0895
p1,WA,2026,SO2,66.16,EASIUR,ACS,18204.36,1204414.38,0.1737
p1,WA,2026,SO2,66.16,EASIUR,H6C,46771.73,3094453.56,0.4464
p1,WA,2026,SO2,66.16,InMAP,ACS,4154.93,274893.36,0.0397
p1,WA,2026,SO2,66.16,InMAP,H6C,10674.16,706210.84,0.1019
p1,WA,2029,SO2,72.46,AP2,ACS,3649.64,264450.71,0.0381
p1,WA,2029,SO2,72.46,AP2,H6C,9375.9,679372.69,0.098
p1,WA,2029,SO2,72.46,EASIUR,ACS,18204.36,1319077.71,0.1903
p1,WA,2029,SO2,72.46,EASIUR,H6C,46771.73,3389053.46,0.4888
p1,WA,2029,SO2,72.46,InMAP,ACS,4154.93,301063.91,0.0434
p1,WA,2029,SO2,72.46,InMAP,H6C,10674.16,773443.92,0.1116
p1,WA,2032,SO2,185.68,AP2,ACS,3649.64,677673.04,0.0977
p1,WA,2032,SO2,185.68,AP2,H6C,9375.9,1740938.97,0.2511
p1,WA,2032,SO2,185.68,EASIUR,ACS,18204.36,3380226.83,0.4876
p1,WA,2032,SO2,185.68,EASIUR,H6C,46771.73,8684681.24,1.2527
p1,WA,2032,SO2,185.68,InMAP,ACS,4154.93,771496.85,0.1113
p1,WA,2032,SO2,185.68,InMAP,H6C,10674.16,1982002.94,0.2859
p1,WA,2035,SO2,253.05,AP2,ACS,3649.64,923543.82,0.1332
p1,WA,2035,SO2,253.05,AP2,H6C,9375.9,2372579.9,0.3422
p1,WA,2035,SO2,253.05,EASIUR,ACS,18204.36,4606628.01,0.6645
p1,WA,2035,SO2,253.05,EASIUR,H6C,46771.73,11835624.6,1.7072
p1,WA,2035,SO2,253.05,InMAP,ACS,4154.93,1051408.43,0.1517
p1,WA,2035,SO2,253.05,InMAP,H6C,10674.16,2701105.79,0.3896
p1,WA,2038,SO2,326.21,AP2,ACS,3649.64,1190540.52,0.1717
p1,WA,2038,SO2,326.21,AP2,H6C,9375.9,3058493.2,0.4412
p1,WA,2038,SO2,326.21,EASIUR,ACS,18204.36,5938405.05,0.8566
p1,WA,2038,SO2,326.21,EASIUR,H6C,46771.73,15257305.93,2.2008
p1,WA,2038,SO2,326.21,InMAP,ACS,4154.93,1355370.81,0.1955
p1,WA,2038,SO2,326.21,InMAP,H6C,10674.16,3481995.99,0.5023
