eall,r,t,dr,Value
CH4,p1,2020,2.5,464670411.12078494
CH4,p1,2020,2.0,571902044.4563507
CH4,p1,2020,1.5,822109188.9060042
CH4,p1,2023,2.5,255822367.8811186
CH4,p1,2023,2.0,318049430.338688
CH4,p1,2023,1.5,444232084.766537
CH4,p1,2026,2.5,543268914.4617773
CH4,p1,2026,2.0,680722495.229215
CH4,p1,2026,1.5,929448022.3321974
CH4,p1,2029,2.5,581335888.6465458
CH4,p1,2029,2.0,732988729.1630361
CH4,p1,2029,1.5,982584029.1797595
CH4,p1,2032,2.5,1865988354.545437
CH4,p1,2032,2.0,2337014541.129722
CH4,p1,2032,1.5,3079786604.589556
CH4,p1,2035,2.5,2874158666.13743
CH4,p1,2035,2.0,3561457477.6050763
CH4,p1,2035,1.5,4623646549.873257
CH4,p1,2038,2.5,4179430850.152997
CH4,p1,2038,2.0,5133789075.778484
CH4,p1,2038,1.5,6581780866.382673
CH4,p1,2041,2.5,4436433642.280157
CH4,p1,2041,2.0,5409895700.47832
CH4,p1,2041,1.5,6878067984.973912
CH4,p1,2044,2.5,5941693789.2189865
CH4,p1,2044,2.0,7200860684.947514
CH4,p1,2044,1.5,9128959994.031822
CH4,p1,2047,2.5,6928848413.160091
CH4,p1,2047,2.0,8352875541.018147
CH4,p1,2047,1.5,10563305709.633636
CH4,p1,2050,2.5,8787104430.579662
CH4,p1,2050,2.0,10544525316.695595
CH4,p1,2050,1.5,13306186709.16349
CH4,p10,2020,2.5,1915866407.02257
CH4,p10,2020,2.0,2357989424.027778
CH4,p10,2020,1.5,3389609797.0399313
CH4,p10,2023,2.5,4091705850.098821
CH4,p10,2023,2.0,5086985651.47421
CH4,p10,2023,1.5,7105191915.374305
CH4,p10,2026,2.5,3532145504.794347
CH4,p10,2026,2.0,4425820873.477254
CH4,p10,2026,1.5,6042947731.093943
CH4,p10,2029,2.5,4326291458.826683
CH4,p10,2029,2.0,5454889230.694513
CH4,p10,2029,1.5,7312373063.560318
CH4,p10,2032,2.5,3875158840.995182
CH4,p10,2032,2.0,4853354276.5862
CH4,p10,2032,1.5,6395893232.710495
CH4,p10,2035,2.5,3734600465.819131
CH4,p10,2035,2.0,4627657098.949793
CH4,p10,2035,1.5,6007835531.969906
CH4,p10,2038,2.5,3807513376.6372266
CH4,p10,2038,2.0,4676945565.003208
