,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2010,6.0,2556913984.425,1344540620.9601688,1208937405.3799999,2445994697.75,4588672910.84,6.0,368.81703333333326,193.9406331618794,174.3807,352.8177,661.8841
AL,2015,6.0,869036228.1233335,452280668.9275166,416406966.92,834537055.855,1539594924.76,6.0,125.35243333333334,65.23831844150082,60.0639,120.3761,222.0758
AL,2020,6.0,388056917.3233333,209754776.18679792,179384523.31,370444110.65,719434827.04,6.0,55.97448333333333,30.25565580888418,25.875,53.434,103.77340000000001
AL,2023,6.0,1171733623.4283335,652231688.7797532,527422533.36,1113364627.545,2239604768.46,6.0,169.01433333333333,94.07991071421499,76.0769,160.59505000000001,323.0474
AL,2026,6.0,873964111.4016666,465406928.78766686,408675871.85,834946975.77,1592753771.83,6.0,126.06323333333334,67.13173632778067,58.948699999999995,120.43530000000001,229.7437
AL,2029,6.0,1446782513.6233332,750689793.2167823,694717024.12,1389166333.31,2552449816.3500004,6.0,208.68826666666666,108.28172544455812,100.2081,200.37754999999999,368.173
AL,2032,6.0,801798527.41,426458743.89789563,375373738.22999996,766168659.005,1459159006.44,6.0,115.65383333333334,61.51369294489372,54.144999999999996,110.51445,210.4735
AL,2035,6.0,672606905.5783334,373649315.2074049,303251552.59,639239769.03,1283024955.22,6.0,97.01885,53.89627684064085,43.7418,92.20595,185.0673
AL,2038,6.0,627343148.8383332,333430276.66134244,293787814.89,599380350.76,1140656568.01,6.0,90.48988333333334,48.094989106991875,42.3769,86.4564,164.5318
AL,2041,6.0,1135465292.2783334,606902468.5725216,530251180.45,1085695415.835,2078717847.95,6.0,163.78291666666667,87.54145777797893,76.485,156.6039,299.8406
AL,2044,6.0,672827067.7950001,352178630.5650154,318525380.23,642685215.1600001,1199884274.26,6.0,97.05061666666666,50.799342379381905,45.9451,92.7028,173.075
AL,2047,6.0,459314588.71,247581852.29270416,213437438.03,439433994.81499994,849155740.61,6.0,66.25295,35.71192479980601,30.7869,63.38535,122.4847
