sys_costs,r,t,Value
inv_h2_production,p19,2032,101250118.857485
inv_h2_production,p19,2035,86335.241022
inv_h2_production,p43,2032,0.0
inv_h2_production,p54,2032,-0.0
inv_h2_production,p99,2047,273628487.16563
inv_h2_production,p118,2047,-0.0
inv_h2_production,p127,2041,4896958708.726429
inv_h2_production,p127,2044,179907550.538002
inv_h2_storage,p8,2047,1e-06
inv_h2_storage,p8,2050,-1e-06
inv_h2_storage,p9,2035,-0.0
inv_h2_storage,p9,2038,1e-06
inv_h2_storage,p9,2041,-1e-06
inv_h2_storage,p11,2035,0.0
inv_h2_storage,p11,2038,-0.0
inv_h2_storage,p14,2044,-0.0
inv_h2_storage,p14,2047,0.0
inv_h2_storage,p16,2038,-0.0
inv_h2_storage,p16,2041,0.0
inv_h2_storage,p18,2050,0.0
inv_h2_storage,p19,2032,1701871.950565
inv_h2_storage,p21,2029,0.0
inv_h2_storage,p21,2032,-0.0
inv_h2_storage,p29,2032,0.0
inv_h2_storage,p29,2035,-0.0
inv_h2_storage,p31,2047,-0.0
inv_h2_storage,p31,2050,0.0
inv_h2_storage,p37,2035,-0.0
inv_h2_storage,p37,2038,0.0
inv_h2_storage,p38,2050,0.0
inv_h2_storage,p43,2032,0.0
inv_h2_storage,p43,2035,-0.0
inv_h2_storage,p44,2044,0.0
inv_h2_storage,p44,2047,-0.0
inv_h2_storage,p47,2044,0.0
inv_h2_storage,p47,2047,-0.0
inv_h2_storage,p48,2044,0.0
inv_h2_storage,p48,2047,-0.0
inv_h2_storage,p53,2029,-0.0
inv_h2_storage,p53,2032,0.0
inv_h2_storage,p57,2047,0.0
inv_h2_storage,p57,2050,-0.0
inv_h2_storage,p60,2044,7e-06
inv_h2_storage,p60,2047,-7e-06
inv_h2_storage,p61,2044,2e-06
inv_h2_storage,p61,2050,-1e-06
inv_h2_storage,p72,2044,1e-06
inv_h2_storage,p72,2047,-1e-06
inv_h2_storage,p73,2044,-0.0
inv_h2_storage,p73,2047,0.0
inv_h2_storage,p74,2029,-0.0
inv_h2_storage,p74,2032,0.0
inv_h2_storage,p87,2047,-0.0
inv_h2_storage,p87,2050,0.0
inv_h2_storage,p91,2029,2e-06
inv_h2_storage,p91,2032,-2e-06
inv_h2_storage,p96,2044,-0.0
