ba,state_abbr,year,pollutant,tons,model,cr,md,damage_$,mortality
p1,WA,2010,SO2,62.72,AP2,ACS,3649.64,228902.6,0.033
p1,WA,2010,SO2,62.72,AP2,H6C,9375.9,588049.74,0.0848
p1,WA,2010,SO2,62.72,EASIUR,ACS,18204.36,1141764.03,0.1647
p1,WA,2010,SO2,62.72,EASIUR,H6C,46771.73,2933488.54,0.4231
p1,WA,2010,SO2,62.72,InMAP,ACS,4154.93,260594.15,0.0376
p1,WA,2010,SO2,62.72,InMAP,H6C,10674.16,669475.68,0.0966
p1,WA,2015,SO2,29.81,AP2,ACS,3649.64,108807.81,0.0157
p1,WA,2015,SO2,29.81,AP2,H6C,9375.9,279526.77,0.0403
p1,WA,2015,SO2,29.81,EASIUR,ACS,18204.36,542732.35,0.0783
p1,WA,2015,SO2,29.81,EASIUR,H6C,46771.73,1394420.46,0.2011
p1,WA,2015,SO2,29.81,InMAP,ACS,4154.93,123872.25,0.0179
p1,WA,2015,SO2,29.81,InMAP,H6C,10674.16,318232.23,0.0459
p1,WA,2020,SO2,52.54,AP2,ACS,3649.64,191752.99,0.0277
p1,WA,2020,SO2,52.54,AP2,H6C,9375.9,492612.56,0.0711
p1,WA,2020,SO2,52.54,EASIUR,ACS,18204.36,956462.13,0.138
p1,WA,2020,SO2,52.54,EASIUR,H6C,46771.73,2457399.78,0.3545
p1,WA,2020,SO2,52.54,InMAP,ACS,4154.93,218301.18,0.0315
p1,WA,2020,SO2,52.54,InMAP,H6C,10674.16,560823.53,0.0809
p1,WA,2023,SO2,26.34,AP2,ACS,3649.64,96138.62,0.0139
p1,WA,2023,SO2,26.34,AP2,H6C,9375.9,246979.69,0.0356
p1,WA,2023,SO2,26.34,EASIUR,ACS,18204.36,479538.57,0.0692
p1,WA,2023,SO2,26.34,EASIUR,H6C,46771.73,1232059.21,0.1777
p1,WA,2023,SO2,26.34,InMAP,ACS,4154.93,109449.01,0.0158
p1,WA,2023,SO2,26.34,InMAP,H6C,10674.16,281178.42,0.0406
p1,WA,2026,SO2,61.69,AP2,ACS,3649.64,225149.04,0.0325
p1,WA,2026,SO2,61.69,AP2,H6C,9375.9,578406.86,0.0834
p1,WA,2026,SO2,61.69,EASIUR,ACS,18204.36,1123041.31,0.162
p1,WA,2026,SO2,61.69,EASIUR,H6C,46771.73,2885385.0,0.4162
p1,WA,2026,SO2,61.69,InMAP,ACS,4154.93,256320.91,0.037
p1,WA,2026,SO2,61.69,InMAP,H6C,10674.16,658497.58,0.095
p1,WA,2029,SO2,66.55,AP2,ACS,3649.64,242896.48,0.035
p1,WA,2029,SO2,66.55,AP2,H6C,9375.9,623999.95,0.09
p1,WA,2029,SO2,66.55,EASIUR,ACS,18204.36,1211565.37,0.1748
p1,WA,2029,SO2,66.55,EASIUR,H6C,46771.73,3112826.32,0.449
p1,WA,2029,SO2,66.55,InMAP,ACS,4154.93,276525.49,0.0399
p1,WA,2029,SO2,66.55,InMAP,H6C,10674.16,710403.84,0.1025
p1,WA,2032,SO2,115.66,AP2,ACS,3649.64,422118.07,0.0609
p1,WA,2032,SO2,115.66,AP2,H6C,9375.9,1084419.41,0.1564
p1,WA,2032,SO2,115.66,EASIUR,ACS,18204.36,2105521.01,0.3037
p1,WA,2032,SO2,115.66,EASIUR,H6C,46771.73,5409630.68,0.7803
p1,WA,2032,SO2,115.66,InMAP,ACS,4154.93,480560.3,0.0693
p1,WA,2032,SO2,115.66,InMAP,H6C,10674.16,1234576.56,0.1781
p1,WA,2035,SO2,117.34,AP2,ACS,3649.64,428232.18,0.0618
p1,WA,2035,SO2,117.34,AP2,H6C,9375.9,1100126.52,0.1587
p1,WA,2035,SO2,117.34,EASIUR,ACS,18204.36,2136018.13,0.3081
p1,WA,2035,SO2,117.34,EASIUR,H6C,46771.73,5487985.7,0.7916
p1,WA,2035,SO2,117.34,InMAP,ACS,4154.93,487520.91,0.0703
p1,WA,2035,SO2,117.34,InMAP,H6C,10674.16,1252458.61,0.1807
p1,WA,2038,SO2,245.34,AP2,ACS,3649.64,895385.6,0.1292
p1,WA,2038,SO2,245.34,AP2,H6C,9375.9,2300241.55,0.3318
p1,WA,2038,SO2,245.34,EASIUR,ACS,18204.36,4466175.07,0.6442
p1,WA,2038,SO2,245.34,EASIUR,H6C,46771.73,11474764.48,1.6552
p1,WA,2038,SO2,245.34,InMAP,ACS,4154.93,1019351.71,0.147
p1,WA,2038,SO2,245.34,InMAP,H6C,10674.16,2618750.92,0.3777
p1,WA,2041,SO2,237.96,AP2,ACS,3649.64,868453.73,0.1253
p1,WA,2041,SO2,237.96,AP2,H6C,9375.9,2231053.7,0.3218
p1,WA,2041,SO2,237.96,EASIUR,ACS,18204.36,4331839.15,0.6248
p1,WA,2041,SO2,237.96,EASIUR,H6C,46771.73,11129620.6,1.6054
p1,WA,2041,SO2,237.96,InMAP,ACS,4154.93,988691.12,0.1426
p1,WA,2041,SO2,237.96,InMAP,H6C,10674.16,2539982.78,0.3664
p1,WA,2044,SO2,271.39,AP2,ACS,3649.64,990479.86,0.1429
p1,WA,2044,SO2,271.39,AP2,H6C,9375.9,2544538.28,0.367
p1,WA,2044,SO2,271.39,EASIUR,ACS,18204.36,4940504.36,0.7126
p1,WA,2044,SO2,271.39,EASIUR,H6C,46771.73,12693439.71,1.8309
p1,WA,2044,SO2,271.39,InMAP,ACS,4154.93,1127611.76,0.1627
p1,WA,2044,SO2,271.39,InMAP,H6C,10674.16,2896874.87,0.4179
p1,WA,2047,SO2,284.36,AP2,ACS,3649.64,1037824.97,0.1497
p1,WA,2047,SO2,284.36,AP2,H6C,9375.9,2666167.65,0.3846
p1,WA,2047,SO2,284.36,EASIUR,ACS,18204.36,5176661.32,0.7467
p1,WA,2047,SO2,284.36,EASIUR,H6C,46771.73,13300188.31,1.9185
p1,WA,2047,SO2,284.36,InMAP,ACS,4154.93,1181511.8,0.1704
p1,WA,2047,SO2,284.36,InMAP,H6C,10674.16,3035345.99,0.4378
p1,WA,2050,SO2,359.32,AP2,ACS,3649.64,1311370.59,0.1892
p1,WA,2050,SO2,359.32,AP2,H6C,9375.9,3368905.1,0.4859
p1,WA,2050,SO2,359.32,EASIUR,ACS,18204.36,6541104.32,0.9435
p1,WA,2050,SO2,359.32,EASIUR,H6C,46771.73,16805796.99,2.4241
p1,WA,2050,SO2,359.32,InMAP,ACS,4154.93,1492929.8,0.2153
p1,WA,2050,SO2,359.32,InMAP,H6C,10674.16,3835389.94,0.5532
p10,CA,2010,SO2,10351.97,AP2,ACS,22816.59,236196580.76,34.0697
p10,CA,2010,SO2,10351.97,AP2,H6C,58622.06,606853567.72,87.5344
p10,CA,2010,SO2,10351.97,EASIUR,ACS,11194.08,115880707.47,16.715
p10,CA,2010,SO2,10351.97,EASIUR,H6C,28760.03,297722842.43,42.9444
p10,CA,2010,SO2,10351.97,InMAP,ACS,18448.86,190982010.96,27.5478
p10,CA,2010,SO2,10351.97,InMAP,H6C,47399.94,490682588.99,70.7775
p10,CA,2015,SO2,7310.82,AP2,ACS,22816.59,166807934.33,24.0609
p10,CA,2015,SO2,7310.82,AP2,H6C,58622.06,428575171.35,61.819
p10,CA,2015,SO2,7310.82,EASIUR,ACS,11194.08,81837854.64,11.8045
p10,CA,2015,SO2,7310.82,EASIUR,H6C,28760.03,210259319.54,30.3284
p10,CA,2015,SO2,7310.82,InMAP,ACS,18448.86,134876273.99,19.455
p10,CA,2015,SO2,7310.82,InMAP,H6C,47399.94,346532319.89,49.9849
p10,CA,2020,SO2,5047.02,AP2,ACS,22816.59,115155720.37,16.6104
p10,CA,2020,SO2,5047.02,AP2,H6C,58622.06,295866517.3,42.6767
p10,CA,2020,SO2,5047.02,EASIUR,ACS,11194.08,56496695.69,8.1493
p10,CA,2020,SO2,5047.02,EASIUR,H6C,28760.03,145152348.43,20.9372
p10,CA,2020,SO2,5047.02,InMAP,ACS,18448.86,93111724.89,13.4307
p10,CA,2020,SO2,5047.02,InMAP,H6C,47399.94,239228302.22,34.507
p10,CA,2023,SO2,2910.36,AP2,ACS,22816.59,66404418.93,9.5784
p10,CA,2023,SO2,2910.36,AP2,H6C,58622.06,170611100.34,24.6095
p10,CA,2023,SO2,2910.36,EASIUR,ACS,11194.08,32578757.15,4.6993
p10,CA,2023,SO2,2910.36,EASIUR,H6C,28760.03,83701941.37,12.0734
p10,CA,2023,SO2,2910.36,InMAP,ACS,18448.86,53692773.29,7.7448
p10,CA,2023,SO2,2910.36,InMAP,H6C,47399.94,137950736.19,19.8984
p10,CA,2026,SO2,1404.71,AP2,ACS,22816.59,32050611.87,4.6231
p10,CA,2026,SO2,1404.71,AP2,H6C,58622.06,82346781.23,11.8779
p10,CA,2026,SO2,1404.71,EASIUR,ACS,11194.08,15724391.81,2.2681
p10,CA,2026,SO2,1404.71,EASIUR,H6C,28760.03,40399396.29,5.8273
p10,CA,2026,SO2,1404.71,InMAP,ACS,18448.86,25915236.74,3.7381
p10,CA,2026,SO2,1404.71,InMAP,H6C,47399.94,66583001.17,9.6041
p10,CA,2029,SO2,1381.6,AP2,ACS,22816.59,31523469.88,4.547
p10,CA,2029,SO2,1381.6,AP2,H6C,58622.06,80992409.39,11.6826
p10,CA,2029,SO2,1381.6,EASIUR,ACS,11194.08,15465770.0,2.2308
p10,CA,2029,SO2,1381.6,EASIUR,H6C,28760.03,39734940.39,5.7315
p10,CA,2029,SO2,1381.6,InMAP,ACS,18448.86,25489004.33,3.6766
p10,CA,2029,SO2,1381.6,InMAP,H6C,47399.94,65487898.96,9.4462
