eall,r,t,dr,Value
CH4,p1,2020,2.5,380767520.0559998
CH4,p1,2020,2.0,468636947.7612306
CH4,p1,2020,1.5,673665612.4067689
CH4,p1,2023,2.5,138885476.8975696
CH4,p1,2023,2.0,172668430.73751897
CH4,p1,2023,1.5,241172753.80186075
CH4,p1,2026,2.5,498203120.18162733
CH4,p1,2026,2.0,624254512.0348101
CH4,p1,2026,1.5,852347506.81676
CH4,p1,2029,2.5,542164301.6192776
CH4,p1,2029,2.0,683598467.2590892
CH4,p1,2029,1.5,916375531.5412792
CH4,p1,2032,2.5,1121454770.1142442
CH4,p1,2032,2.0,1404540440.2401702
CH4,p1,2032,1.5,1850944766.207976
CH4,p1,2035,2.5,1269902859.0408914
CH4,p1,2035,2.0,1573575281.8550177
CH4,p1,2035,1.5,2042887208.0223033
CH4,p1,2038,2.5,3123988290.3969455
CH4,p1,2038,2.0,3837339947.25924
CH4,p1,2038,1.5,4919666599.050307
CH4,p1,2041,2.5,3355238511.4394107
CH4,p1,2041,2.0,4091459911.431512
CH4,p1,2041,1.5,5201826613.058943
CH4,p1,2044,2.5,4159635390.3019114
CH4,p1,2044,2.0,5041147525.995031
CH4,p1,2044,1.5,6390962983.775122
CH4,p1,2047,2.5,4707608925.79711
CH4,p1,2047,2.0,5675123643.675656
CH4,p1,2047,1.5,7176937534.113998
CH4,p1,2050,2.5,6395508663.200642
CH4,p1,2050,2.0,7674610395.84077
CH4,p1,2050,1.5,9684627404.275255
CH4,p10,2020,2.5,3358848883.833057
CH4,p10,2020,2.0,4133967857.025301
CH4,p10,2020,1.5,5942578794.47387
CH4,p10,2023,2.5,5094350946.799537
CH4,p10,2023,2.0,6333517393.318342
CH4,p10,2023,1.5,8846271576.537033
CH4,p10,2026,2.5,3929190474.008022
CH4,p10,2026,2.0,4923323003.576317
CH4,p10,2026,1.5,6722229485.65228
CH4,p10,2029,2.5,4164154882.074033
CH4,p10,2029,2.0,5250456155.658563
CH4,p10,2029,1.5,7038327001.766435
CH4,p10,2032,2.5,3031869608.972412
CH4,p10,2032,2.0,3797195918.033409
CH4,p10,2032,1.5,5004056636.168059
CH4,p10,2035,2.5,2872118311.1261935
CH4,p10,2035,2.0,3558929211.612892
CH4,p10,2035,1.5,4620364239.63779
CH4,p10,2038,2.5,2975765053.3418283
CH4,p10,2038,2.0,3655270459.223033
CH4,p10,2038,1.5,4686244178.491068
CH4,p10,2041,2.5,3136186602.6055536
CH4,p10,2041,2.0,3824342655.6952624
CH4,p10,2041,1.5,4862217358.715805
CH4,p10,2044,2.5,3233253757.0772195
CH4,p10,2044,2.0,3918446606.2591467
CH4,p10,2044,1.5,4967648156.568973
CH4,p10,2047,2.5,3225626400.4031186
CH4,p10,2047,2.0,3888561887.602532
CH4,p10,2047,1.5,4917596076.6881895
CH4,p10,2050,2.5,3395231901.690588
CH4,p10,2050,2.0,4074278282.028706
CH4,p10,2050,1.5,5141351165.417176
CH4,p100,2020,2.5,615493167.9070215
CH4,p100,2020,2.0,757530052.8086419
CH4,p100,2020,1.5,1088949450.9124227
CH4,p100,2023,2.5,649758304.7392516
CH4,p100,2023,2.0,807807622.108259
CH4,p100,2023,1.5,1128296515.6620789
CH4,p100,2026,2.5,853665719.4482619
CH4,p100,2026,2.0,1069653431.597822
CH4,p100,2026,1.5,1460488339.2970262
CH4,p100,2029,2.5,663380603.5024711
CH4,p100,2029,2.0,836436413.1118114
CH4,p100,2029,1.5,1121257433.0938506
CH4,p100,2032,2.5,661418067.5043129
CH4,p100,2032,2.0,828377968.0393821
CH4,p100,2032,1.5,1091660888.1139145
CH4,p100,2035,2.5,594317009.8326969
CH4,p100,2035,2.0,736436294.7926897
CH4,p100,2035,1.5,956075189.7308602
CH4,p100,2038,2.5,503962183.65688586
CH4,p100,2038,2.0,619040162.6021589
CH4,p100,2038,1.5,793641234.1053321
CH4,p100,2041,2.5,609065649.0950375
CH4,p100,2041,2.0,742709550.5151716
CH4,p100,2041,1.5,944270844.4602919
CH4,p100,2044,2.5,536756961.5431493
CH4,p100,2044,2.0,650506781.2079227
CH4,p100,2044,1.5,824686192.5696069
CH4,p101,2020,2.5,14832693193.043114
CH4,p101,2020,2.0,18255622391.43768
CH4,p101,2020,1.5,26242457187.69166
CH4,p101,2023,2.5,15561283319.222143
CH4,p101,2023,2.0,19346460342.816715
CH4,p101,2023,1.5,27021958196.216824
CH4,p101,2026,2.5,14621191249.651533
CH4,p101,2026,2.0,18320528794.74409
CH4,p101,2026,1.5,25014568162.054432
CH4,p101,2029,2.5,14991137222.477034
CH4,p101,2029,2.0,18901868671.818867
CH4,p101,2029,1.5,25338280848.860634
CH4,p101,2032,2.5,16908975829.740234
CH4,p101,2032,2.0,21177260990.645535
CH4,p101,2032,1.5,27908018359.765434
CH4,p101,2035,2.5,17577899228.926403
CH4,p101,2035,2.0,21781309914.104454
CH4,p101,2035,1.5,28277490063.92508
CH4,p101,2038,2.5,19871571850.49922
CH4,p101,2038,2.0,24409174871.479355
CH4,p101,2038,1.5,31293813937.79405
CH4,p101,2041,2.5,21295617155.70141
CH4,p101,2041,2.0,25968396459.65028
CH4,p101,2041,1.5,33015866885.278084
CH4,p101,2044,2.5,24280874819.634365
CH4,p101,2044,2.0,29426490675.450916
CH4,p101,2044,1.5,37305714954.67001
CH4,p101,2047,2.5,26107516459.07338
CH4,p101,2047,2.0,31473171682.25717
CH4,p101,2047,1.5,39801949939.13947
CH4,p101,2050,2.5,28688560040.10213
CH4,p101,2050,2.0,34426272048.12256
CH4,p101,2050,1.5,43442676632.154655
CH4,p102,2020,2.5,5944438005.40281
CH4,p102,2020,2.0,7316231391.264997
CH4,p102,2020,1.5,10517082624.943432
CH4,p102,2023,2.5,6591548305.324967
CH4,p102,2023,2.0,8194897893.106716
CH4,p102,2023,1.5,11446134557.219707
CH4,p102,2026,2.5,5952134927.910482
CH4,p102,2026,2.0,7458096777.140845
CH4,p102,2026,1.5,10183170599.557692
CH4,p102,2029,2.5,6154085830.013568
CH4,p102,2029,2.0,7759499524.799717
CH4,p102,2029,1.5,10401742897.468586
CH4,p102,2032,2.5,7033548682.824265
CH4,p102,2032,2.0,8809007573.634274
CH4,p102,2032,1.5,11608769670.680826
CH4,p102,2035,2.5,8402932948.679715
CH4,p102,2035,2.0,10412329958.146605
CH4,p102,2035,1.5,13517761700.04998
CH4,p102,2038,2.5,10003823967.107761
CH4,p102,2038,2.0,12288161723.376463
CH4,p102,2038,1.5,15754053491.508286
CH4,p102,2041,2.5,11464780774.093933
CH4,p102,2041,2.0,13980434109.416702
CH4,p102,2041,1.5,17774534221.70678
CH4,p102,2044,2.5,13380347008.473274
CH4,p102,2044,2.0,16215917235.4345
CH4,p102,2044,1.5,20557884145.468872
CH4,p102,2047,2.5,15124852460.87325
CH4,p102,2047,2.0,18233334408.353336
CH4,p102,2047,1.5,23058440714.889584
CH4,p102,2050,2.5,16040054108.938635
CH4,p102,2050,2.0,19248064930.72636
CH4,p102,2050,1.5,24289224793.53565
CH4,p103,2020,2.5,4936112836.16835
CH4,p103,2020,2.0,6075215798.361046
CH4,p103,2020,1.5,8733122710.144003
CH4,p103,2023,2.5,4752593948.959061
CH4,p103,2023,2.0,5908630314.922075
CH4,p103,2023,1.5,8252815168.124855
CH4,p103,2026,2.5,4628344219.374509
CH4,p103,2026,2.0,5799371070.059625
CH4,p103,2026,1.5,7918372037.966026
CH4,p103,2029,2.5,4167211186.2668314
CH4,p103,2029,2.0,5254309756.597309
CH4,p103,2029,1.5,7043492820.26622
CH4,p103,2032,2.5,6039867995.019114
CH4,p103,2032,2.0,7564494867.54821
CH4,p103,2032,1.5,9968714166.536402
CH4,p103,2035,2.5,7360856131.058591
CH4,p103,2035,2.0,9121060858.050863
CH4,p103,2035,1.5,11841377254.311646
CH4,p103,2038,2.5,10175930946.557041
CH4,p103,2038,2.0,12499568721.755106
CH4,p103,2038,1.5,16025088104.814238
CH4,p103,2041,2.5,12147765971.200321
CH4,p103,2041,2.0,14813282964.880966
CH4,p103,2041,1.5,18833406955.35014
CH4,p103,2044,2.5,15198169264.069485
CH4,p103,2044,2.0,18418973346.521297
