sys_costs,i,r,t,Value
inv_h2_production,electrolyzer,p31,2029,58248237.095418
inv_h2_production,electrolyzer,p127,2041,656559753.887238
inv_h2_production,electrolyzer,p127,2044,22676663.620323
inv_h2_production,electrolyzer,p127,2047,10360919.627948
inv_h2_production,electrolyzer,p127,2050,6109611.795117
inv_investment_capacity_costs,battery_4,p6,2026,3412569.2986
inv_investment_capacity_costs,battery_4,p6,2041,2668138.7675
inv_investment_capacity_costs,battery_4,p7,2026,291899.5464
inv_investment_capacity_costs,battery_4,p8,2029,201542458.8
inv_investment_capacity_costs,battery_4,p8,2044,356310247.2975
inv_investment_capacity_costs,battery_4,p9,2015,18130771.2
inv_investment_capacity_costs,battery_4,p9,2020,2015193.056
inv_investment_capacity_costs,battery_4,p9,2023,4246538041.15187
inv_investment_capacity_costs,battery_4,p9,2026,306368537.86
inv_investment_capacity_costs,battery_4,p9,2050,21200824.30195
inv_investment_capacity_costs,battery_4,p10,2015,8986063.476
inv_investment_capacity_costs,battery_4,p10,2020,284049910.4256
inv_investment_capacity_costs,battery_4,p10,2023,9661312454.478575
inv_investment_capacity_costs,battery_4,p10,2026,3122707331.205
inv_investment_capacity_costs,battery_4,p10,2038,841099634.516162
inv_investment_capacity_costs,battery_4,p10,2041,1475797343.311259
inv_investment_capacity_costs,battery_4,p10,2050,287723654.839077
inv_investment_capacity_costs,battery_4,p11,2015,12094735.288
inv_investment_capacity_costs,battery_4,p11,2020,668454543.432
inv_investment_capacity_costs,battery_4,p11,2023,416025983.52
inv_investment_capacity_costs,battery_4,p11,2026,466068795.4692
inv_investment_capacity_costs,battery_4,p11,2041,1603237513.256084
inv_investment_capacity_costs,battery_4,p12,2029,218054893.525021
inv_investment_capacity_costs,battery_4,p12,2044,52160859.894269
inv_investment_capacity_costs,battery_4,p12,2050,265835886.838329
inv_investment_capacity_costs,battery_4,p13,2023,94983507.6752
inv_investment_capacity_costs,battery_4,p13,2026,810351130.3888
inv_investment_capacity_costs,battery_4,p13,2029,1386047561.794551
inv_investment_capacity_costs,battery_4,p13,2044,946686450.10787
inv_investment_capacity_costs,battery_4,p13,2047,92910047.48761
inv_investment_capacity_costs,battery_4,p15,2023,245527826.178
inv_investment_capacity_costs,battery_4,p16,2023,3799455.152
inv_investment_capacity_costs,battery_4,p18,2026,144593002.4
inv_investment_capacity_costs,battery_4,p25,2029,388959943.2
inv_investment_capacity_costs,battery_4,p28,2023,1779769540.375886
inv_investment_capacity_costs,battery_4,p28,2026,358817420.5
inv_investment_capacity_costs,battery_4,p30,2029,1430671136.795633
inv_investment_capacity_costs,battery_4,p30,2047,514121370.086271
inv_investment_capacity_costs,battery_4,p31,2023,139163419.056
inv_investment_capacity_costs,battery_4,p31,2026,213109927.8
inv_investment_capacity_costs,battery_4,p31,2047,107713947.645698
inv_investment_capacity_costs,battery_4,p31,2050,300266290.09071
inv_investment_capacity_costs,battery_4,p33,2023,9349100.13
inv_investment_capacity_costs,battery_4,p34,2023,421247841.75
inv_investment_capacity_costs,battery_4,p37,2029,173737185.12
inv_investment_capacity_costs,battery_4,p39,2047,125987265.930441
inv_investment_capacity_costs,battery_4,p40,2023,1887764.556
inv_investment_capacity_costs,battery_4,p41,2050,282522610.459935
inv_investment_capacity_costs,battery_4,p43,2023,1491621.824716
inv_investment_capacity_costs,battery_4,p43,2029,454824175.68
inv_investment_capacity_costs,battery_4,p46,2029,190816276.856925
inv_investment_capacity_costs,battery_4,p46,2041,8591432.894209
inv_investment_capacity_costs,battery_4,p46,2044,829899821.928826
inv_investment_capacity_costs,battery_4,p47,2044,309360150.67428
inv_investment_capacity_costs,battery_4,p47,2050,535280442.690352
