i,r,t,Value
battery_4,p6,2026,2.3
battery_4,p6,2029,2.3
battery_4,p6,2032,2.3
battery_4,p6,2035,2.3
battery_4,p6,2038,2.3
battery_4,p6,2041,2.5
battery_4,p6,2044,2.5
battery_4,p6,2047,2.5
battery_4,p6,2050,2.5
battery_4,p7,2026,0.2
battery_4,p7,2029,0.2
battery_4,p7,2032,0.2
battery_4,p7,2035,0.2
battery_4,p7,2038,0.2
battery_4,p8,2029,150.0
battery_4,p8,2032,150.0
battery_4,p8,2035,150.0
battery_4,p8,2038,194.744182
battery_4,p8,2041,218.440343
battery_4,p8,2044,417.98495
battery_4,p8,2047,417.98495
battery_4,p8,2050,417.98495
battery_4,p9,2015,6.0
battery_4,p9,2020,7.0
battery_4,p9,2023,2121.187467
battery_4,p9,2026,2323.187467
battery_4,p9,2029,2323.187467
battery_4,p9,2032,2317.187467
battery_4,p9,2035,2316.187467
battery_4,p9,2038,542.95054
battery_4,p9,2041,1321.758326
battery_4,p9,2044,1676.868851
battery_4,p9,2047,1927.192674
battery_4,p9,2050,1927.192674
battery_4,p10,2015,3.0
battery_4,p10,2020,145.2
battery_4,p10,2023,4998.554083
battery_4,p10,2026,7076.054083
battery_4,p10,2029,7076.054083
battery_4,p10,2032,7073.054083
battery_4,p10,2035,6930.854083
battery_4,p10,2038,3585.724335
battery_4,p10,2041,2474.974764
battery_4,p10,2044,2474.974764
battery_4,p10,2047,2474.974764
battery_4,p10,2050,2474.974764
battery_4,p11,2015,4.0
battery_4,p11,2020,335.5
battery_4,p11,2023,542.5
battery_4,p11,2026,849.6
battery_4,p11,2029,849.6
battery_4,p11,2032,845.6
battery_4,p11,2035,514.1
battery_4,p11,2038,307.1
battery_4,p11,2041,651.738949
battery_4,p11,2044,651.738949
battery_4,p11,2047,651.738949
battery_4,p11,2050,651.738949
battery_4,p12,2032,1.020982
battery_4,p12,2035,1.020982
battery_4,p12,2038,49.820982
battery_4,p12,2041,49.820982
battery_4,p12,2044,576.860214
battery_4,p12,2047,575.839232
battery_4,p12,2050,575.839232
battery_4,p13,2023,48.8
battery_4,p13,2026,600.0
battery_4,p13,2029,815.224182
battery_4,p13,2032,998.979018
battery_4,p13,2035,998.979018
battery_4,p13,2038,950.179018
battery_4,p13,2041,950.179018
battery_4,p13,2044,734.954837
battery_4,p13,2047,551.2
battery_4,p13,2050,551.2
battery_4,p15,2023,129.0
battery_4,p15,2026,129.0
battery_4,p15,2029,129.0
battery_4,p15,2032,129.0
battery_4,p15,2035,129.0
battery_4,p16,2023,2.0
battery_4,p16,2026,2.0
battery_4,p16,2029,2.0
battery_4,p16,2032,2.0
battery_4,p16,2035,2.0
battery_4,p18,2026,100.0
battery_4,p18,2029,100.0
battery_4,p18,2032,100.0
battery_4,p18,2035,100.0
battery_4,p18,2038,100.0
battery_4,p23,2044,243.407896
battery_4,p23,2047,243.407896
battery_4,p23,2050,243.407896
battery_4,p24,2041,10.679997
battery_4,p24,2044,22.675598
battery_4,p24,2047,22.675598
battery_4,p24,2050,49.265341
battery_4,p25,2029,105.375818
battery_4,p25,2032,105.375818
battery_4,p25,2035,105.375818
battery_4,p25,2038,105.375818
battery_4,p25,2041,105.375818
battery_4,p28,2023,936.855138
battery_4,p28,2026,1186.855138
battery_4,p28,2029,1186.855138
battery_4,p28,2032,1186.855138
battery_4,p28,2035,1186.855138
battery_4,p28,2038,250.0
battery_4,p29,2047,34.148088
battery_4,p29,2050,34.148088
battery_4,p30,2029,484.73621
battery_4,p30,2032,484.73621
battery_4,p30,2035,484.73621
battery_4,p30,2038,484.73621
battery_4,p30,2041,484.73621
battery_4,p31,2023,74.0
battery_4,p31,2026,224.0
battery_4,p31,2029,224.0
battery_4,p31,2032,224.0
battery_4,p31,2035,224.0
battery_4,p31,2038,150.0
battery_4,p31,2044,348.434384
battery_4,p31,2047,909.811562
battery_4,p31,2050,909.811562
battery_4,p32,2044,10.397845
battery_4,p32,2047,10.397845
battery_4,p32,2050,10.397845
battery_4,p33,2023,5.0
battery_4,p33,2026,5.0
battery_4,p33,2029,5.0
battery_4,p33,2032,5.0
battery_4,p33,2035,5.0
battery_4,p33,2047,56.452551
battery_4,p33,2050,56.452551
battery_4,p34,2023,225.0
battery_4,p34,2026,225.0
battery_4,p34,2029,225.0
battery_4,p34,2032,225.0
battery_4,p34,2035,225.0
battery_4,p34,2050,197.633984
battery_4,p37,2029,10.201282
battery_4,p37,2032,10.201282
battery_4,p37,2035,10.201282
battery_4,p37,2038,10.201282
battery_4,p37,2041,10.201282
battery_4,p39,2050,126.393283
battery_4,p40,2023,1.0
battery_4,p40,2026,1.0
battery_4,p40,2029,1.0
battery_4,p40,2032,1.0
battery_4,p40,2035,1.0
battery_4,p43,2023,0.768718
battery_4,p43,2026,0.768718
battery_4,p43,2029,135.768718
battery_4,p43,2032,135.768718
battery_4,p43,2035,135.768718
battery_4,p43,2038,135.0
battery_4,p43,2041,135.0
battery_4,p47,2044,273.175574
battery_4,p47,2047,380.935418
battery_4,p47,2050,870.663511
battery_4,p48,2026,200.0
battery_4,p48,2029,200.0
battery_4,p48,2032,200.0
battery_4,p48,2035,200.0
battery_4,p48,2038,200.0
battery_4,p48,2044,34.65834
battery_4,p48,2047,813.585811
battery_4,p48,2050,813.585811
battery_4,p49,2050,28.907395
battery_4,p58,2044,1502.757704
battery_4,p58,2047,3610.402672
battery_4,p58,2050,6977.131199
battery_4,p59,2044,4.807177
battery_4,p59,2047,104.922732
battery_4,p59,2050,104.922732
battery_4,p60,2023,50.0
battery_4,p60,2026,250.0
battery_4,p60,2029,250.0
battery_4,p60,2032,250.0
battery_4,p60,2035,250.0
battery_4,p60,2038,200.0
battery_4,p60,2044,1204.333275
battery_4,p60,2047,1319.821451
battery_4,p60,2050,4368.958067
battery_4,p61,2023,306.3
battery_4,p61,2026,821.7
battery_4,p61,2029,821.7
battery_4,p61,2032,821.7
battery_4,p61,2035,821.7
battery_4,p61,2038,515.4
battery_4,p62,2023,608.5
battery_4,p62,2026,608.5
battery_4,p62,2029,608.5
battery_4,p62,2032,608.5
battery_4,p62,2035,608.5
battery_4,p63,2023,791.17181
battery_4,p63,2026,982.97181
battery_4,p63,2029,982.97181
battery_4,p63,2032,982.97181
battery_4,p63,2035,982.97181
battery_4,p63,2038,191.8
battery_4,p64,2023,419.9
battery_4,p64,2026,599.9
battery_4,p64,2029,599.9
battery_4,p64,2032,599.9
battery_4,p64,2035,599.9
battery_4,p64,2038,180.0
battery_4,p65,2023,413.6
battery_4,p65,2026,573.5
battery_4,p65,2029,573.5
battery_4,p65,2032,573.5
battery_4,p65,2035,573.5
battery_4,p65,2038,159.9
battery_4,p67,2023,250.0
battery_4,p67,2026,400.0
battery_4,p67,2029,6233.795027
battery_4,p67,2032,6233.795027
battery_4,p67,2035,6233.795027
battery_4,p67,2038,5983.795027
battery_4,p67,2041,5833.795027
battery_4,p70,2023,5.0
battery_4,p70,2026,5.0
battery_4,p70,2029,5.0
battery_4,p70,2032,5.0
battery_4,p70,2035,5.0
battery_4,p72,2029,135.0
battery_4,p72,2032,135.0
battery_4,p72,2035,135.0
battery_4,p72,2038,135.0
battery_4,p72,2041,135.0
battery_4,p74,2026,704.908965
battery_4,p74,2029,704.908965
battery_4,p74,2032,704.908965
battery_4,p74,2035,704.908965
battery_4,p74,2038,704.908965
battery_4,p74,2044,328.062357
battery_4,p74,2047,328.062357
battery_4,p74,2050,328.062357
battery_4,p76,2023,5.0
battery_4,p76,2026,5.0
battery_4,p76,2029,5.0
battery_4,p76,2032,5.0
battery_4,p76,2035,5.0
battery_4,p77,2023,0.3
battery_4,p77,2026,0.3
battery_4,p77,2029,0.3
battery_4,p77,2032,0.3
battery_4,p77,2035,0.3
battery_4,p78,2023,0.3
battery_4,p78,2026,0.3
battery_4,p78,2029,0.3
battery_4,p78,2032,0.3
battery_4,p78,2035,0.3
battery_4,p79,2029,135.0
battery_4,p79,2032,135.0
battery_4,p79,2035,135.0
battery_4,p79,2038,135.0
battery_4,p79,2041,135.0
battery_4,p80,2029,135.0
battery_4,p80,2032,135.0
battery_4,p80,2035,135.0
battery_4,p80,2038,135.0
battery_4,p80,2041,135.0
battery_4,p85,2029,300.0
battery_4,p85,2032,300.0
battery_4,p85,2035,300.0
battery_4,p85,2038,300.0
battery_4,p85,2041,300.0
battery_4,p86,2044,2130.075034
battery_4,p86,2047,2599.741641
battery_4,p86,2050,3914.337725
battery_4,p87,2023,1.3
battery_4,p87,2026,1.3
battery_4,p87,2029,1.3
battery_4,p87,2032,1.3
battery_4,p87,2035,1.3
battery_4,p88,2023,87.726953
battery_4,p88,2026,137.726953
battery_4,p88,2029,137.726953
battery_4,p88,2032,137.726953
battery_4,p88,2035,137.726953
battery_4,p88,2038,50.0
battery_4,p94,2026,65.0
battery_4,p94,2029,65.0
battery_4,p94,2032,65.0
battery_4,p94,2035,65.0
battery_4,p94,2038,65.0
battery_4,p95,2029,529.7
battery_4,p95,2032,529.7
battery_4,p95,2035,529.7
battery_4,p95,2038,529.7
battery_4,p95,2041,529.7
battery_4,p96,2023,38.653186
battery_4,p96,2026,38.653186
battery_4,p96,2029,153.953186
battery_4,p96,2032,153.953186
battery_4,p96,2035,153.953186
battery_4,p96,2038,115.3
battery_4,p96,2041,115.3
battery_4,p97,2026,17.0
battery_4,p97,2029,17.0
battery_4,p97,2032,17.0
battery_4,p97,2035,17.0
battery_4,p97,2038,17.0
battery_4,p98,2023,22.3
battery_4,p98,2026,122.3
battery_4,p98,2029,767.3
battery_4,p98,2032,767.3
battery_4,p98,2035,767.3
battery_4,p98,2038,745.0
battery_4,p98,2041,645.0
battery_4,p99,2023,20.0
battery_4,p99,2026,275.0
battery_4,p99,2029,836.0
battery_4,p99,2032,836.0
battery_4,p99,2035,836.0
battery_4,p99,2038,816.0
battery_4,p99,2041,769.015589
battery_4,p99,2044,734.720024
battery_4,p99,2047,7172.068647
battery_4,p99,2050,8135.764784
battery_4,p101,2023,17.3
battery_4,p101,2026,40.3
battery_4,p101,2029,40.3
battery_4,p101,2032,40.3
battery_4,p101,2035,40.3
battery_4,p101,2038,23.0
battery_4,p103,2026,1099.399403
battery_4,p103,2029,4501.059709
battery_4,p103,2032,4501.059709
battery_4,p103,2035,4501.059709
battery_4,p103,2038,4501.059709
battery_4,p103,2041,3401.660306
battery_4,p103,2044,859.700522
battery_4,p103,2047,859.700522
battery_4,p103,2050,859.700522
battery_4,p104,2026,459.021633
battery_4,p104,2029,1140.532324
battery_4,p104,2032,1140.532324
battery_4,p104,2035,1140.532324
battery_4,p104,2038,1140.532324
battery_4,p104,2041,681.510691
battery_4,p104,2044,1312.237121
battery_4,p104,2047,1312.237121
battery_4,p104,2050,1312.237121
battery_4,p107,2029,57.948718
battery_4,p107,2032,57.948718
battery_4,p107,2035,57.948718
battery_4,p107,2038,57.948718
battery_4,p107,2041,57.948718
battery_4,p111,2023,12.0
battery_4,p111,2026,12.0
battery_4,p111,2029,12.0
battery_4,p111,2032,12.0
battery_4,p111,2035,12.0
battery_4,p114,2029,51.459835
battery_4,p114,2032,51.459835
battery_4,p114,2035,51.459835
battery_4,p114,2038,51.459835
battery_4,p114,2041,51.459835
battery_4,p115,2029,300.0
battery_4,p115,2032,300.0
