ba,state_abbr,year,pollutant,tons,model,cr,md,damage_$,mortality
p1,WA,2010,SO2,62.72,AP2,ACS,3649.64,228902.6,0.033
p1,WA,2010,SO2,62.72,AP2,H6C,9375.9,588049.74,0.0848
p1,WA,2010,SO2,62.72,EASIUR,ACS,18204.36,1141764.03,0.1647
p1,WA,2010,SO2,62.72,EASIUR,H6C,46771.73,2933488.54,0.4231
p1,WA,2010,SO2,62.72,InMAP,ACS,4154.93,260594.15,0.0376
p1,WA,2010,SO2,62.72,InMAP,H6C,10674.16,669475.68,0.0966
p1,WA,2015,SO2,29.81,AP2,ACS,3649.64,108807.81,0.0157
p1,WA,2015,SO2,29.81,AP2,H6C,9375.9,279526.77,0.0403
p1,WA,2015,SO2,29.81,EASIUR,ACS,18204.36,542732.35,0.0783
p1,WA,2015,SO2,29.81,EASIUR,H6C,46771.73,1394420.46,0.2011
p1,WA,2015,SO2,29.81,InMAP,ACS,4154.93,123872.25,0.0179
p1,WA,2015,SO2,29.81,InMAP,H6C,10674.16,318232.23,0.0459
p1,WA,2020,SO2,52.54,AP2,ACS,3649.64,191752.99,0.0277
p1,WA,2020,SO2,52.54,AP2,H6C,9375.9,492612.56,0.0711
p1,WA,2020,SO2,52.54,EASIUR,ACS,18204.36,956462.13,0.138
p1,WA,2020,SO2,52.54,EASIUR,H6C,46771.73,2457399.78,0.3545
p1,WA,2020,SO2,52.54,InMAP,ACS,4154.93,218301.18,0.0315
p1,WA,2020,SO2,52.54,InMAP,H6C,10674.16,560823.53,0.0809
p1,WA,2023,SO2,26.34,AP2,ACS,3649.64,96138.62,0.0139
p1,WA,2023,SO2,26.34,AP2,H6C,9375.9,246979.69,0.0356
p1,WA,2023,SO2,26.34,EASIUR,ACS,18204.36,479538.57,0.0692
p1,WA,2023,SO2,26.34,EASIUR,H6C,46771.73,1232059.21,0.1777
p1,WA,2023,SO2,26.34,InMAP,ACS,4154.93,109449.01,0.0158
p1,WA,2023,SO2,26.34,InMAP,H6C,10674.16,281178.42,0.0406
p1,WA,2026,SO2,61.69,AP2,ACS,3649.64,225149.04,0.0325
p1,WA,2026,SO2,61.69,AP2,H6C,9375.9,578406.86,0.0834
p1,WA,2026,SO2,61.69,EASIUR,ACS,18204.36,1123041.31,0.162
p1,WA,2026,SO2,61.69,EASIUR,H6C,46771.73,2885385.0,0.4162
p1,WA,2026,SO2,61.69,InMAP,ACS,4154.93,256320.91,0.037
p1,WA,2026,SO2,61.69,InMAP,H6C,10674.16,658497.58,0.095
p1,WA,2029,SO2,66.58,AP2,ACS,3649.64,243001.29,0.0351
p1,WA,2029,SO2,66.58,AP2,H6C,9375.9,624269.23,0.09
p1,WA,2029,SO2,66.58,EASIUR,ACS,18204.36,1212088.2,0.1748
p1,WA,2029,SO2,66.58,EASIUR,H6C,46771.73,3114169.61,0.4492
p1,WA,2029,SO2,66.58,InMAP,ACS,4154.93,276644.82,0.0399
p1,WA,2029,SO2,66.58,InMAP,H6C,10674.16,710710.41,0.1025
p1,WA,2032,SO2,114.92,AP2,ACS,3649.64,419405.57,0.0605
p1,WA,2032,SO2,114.92,AP2,H6C,9375.9,1077451.0,0.1554
p1,WA,2032,SO2,114.92,EASIUR,ACS,18204.36,2091991.07,0.3018
p1,WA,2032,SO2,114.92,EASIUR,H6C,46771.73,5374868.75,0.7753
p1,WA,2032,SO2,114.92,InMAP,ACS,4154.93,477472.25,0.0689
p1,WA,2032,SO2,114.92,InMAP,H6C,10674.16,1226643.26,0.1769
p1,WA,2035,SO2,115.72,AP2,ACS,3649.64,422330.09,0.0609
p1,WA,2035,SO2,115.72,AP2,H6C,9375.9,1084964.09,0.1565
p1,WA,2035,SO2,115.72,EASIUR,ACS,18204.36,2106578.58,0.3039
p1,WA,2035,SO2,115.72,EASIUR,H6C,46771.73,5412347.85,0.7807
p1,WA,2035,SO2,115.72,InMAP,ACS,4154.93,480801.68,0.0694
p1,WA,2035,SO2,115.72,InMAP,H6C,10674.16,1235196.67,0.1782
p1,WA,2038,SO2,245.41,AP2,ACS,3649.64,895646.23,0.1292
p1,WA,2038,SO2,245.41,AP2,H6C,9375.9,2300911.1,0.3319
p1,WA,2038,SO2,245.41,EASIUR,ACS,18204.36,4467475.07,0.6444
p1,WA,2038,SO2,245.41,EASIUR,H6C,46771.73,11478104.53,1.6556
p1,WA,2038,SO2,245.41,InMAP,ACS,4154.93,1019648.42,0.1471
p1,WA,2038,SO2,245.41,InMAP,H6C,10674.16,2619513.18,0.3778
p1,WA,2041,SO2,232.8,AP2,ACS,3649.64,849648.77,0.1226
p1,WA,2041,SO2,232.8,AP2,H6C,9375.9,2182743.83,0.3148
p1,WA,2041,SO2,232.8,EASIUR,ACS,18204.36,4238040.16,0.6113
p1,WA,2041,SO2,232.8,EASIUR,H6C,46771.73,10888626.62,1.5706
p1,WA,2041,SO2,232.8,InMAP,ACS,4154.93,967282.61,0.1395
p1,WA,2041,SO2,232.8,InMAP,H6C,10674.16,2484983.55,0.3584
p1,WA,2044,SO2,262.01,AP2,ACS,3649.64,956248.39,0.1379
p1,WA,2044,SO2,262.01,AP2,H6C,9375.9,2456597.78,0.3543
p1,WA,2044,SO2,262.01,EASIUR,ACS,18204.36,4769758.09,0.688
p1,WA,2044,SO2,262.01,EASIUR,H6C,46771.73,12254748.17,1.7677
p1,WA,2044,SO2,262.01,InMAP,ACS,4154.93,1088640.95,0.157
p1,WA,2044,SO2,262.01,InMAP,H6C,10674.16,2796757.45,0.4034
p1,WA,2047,SO2,273.57,AP2,ACS,3649.64,998414.32,0.144
p1,WA,2047,SO2,273.57,AP2,H6C,9375.9,2564921.87,0.37
p1,WA,2047,SO2,273.57,EASIUR,ACS,18204.36,4980081.37,0.7183
p1,WA,2047,SO2,273.57,EASIUR,H6C,46771.73,12795123.32,1.8456
p1,WA,2047,SO2,273.57,InMAP,ACS,4154.93,1136644.75,0.164
p1,WA,2047,SO2,273.57,InMAP,H6C,10674.16,2920080.93,0.4212
p1,WA,2050,SO2,356.34,AP2,ACS,3649.64,1300507.09,0.1876
p1,WA,2050,SO2,356.34,AP2,H6C,9375.9,3340996.82,0.4819
p1,WA,2050,SO2,356.34,EASIUR,ACS,18204.36,6486917.28,0.9357
p1,WA,2050,SO2,356.34,EASIUR,H6C,46771.73,16666576.4,2.404
p1,WA,2050,SO2,356.34,InMAP,ACS,4154.93,1480562.25,0.2136
p1,WA,2050,SO2,356.34,InMAP,H6C,10674.16,3803617.26,0.5486
p10,CA,2010,SO2,10351.97,AP2,ACS,22816.59,236196580.76,34.0697
p10,CA,2010,SO2,10351.97,AP2,H6C,58622.06,606853567.72,87.5344
p10,CA,2010,SO2,10351.97,EASIUR,ACS,11194.08,115880707.47,16.715
p10,CA,2010,SO2,10351.97,EASIUR,H6C,28760.03,297722842.43,42.9444
p10,CA,2010,SO2,10351.97,InMAP,ACS,18448.86,190982010.96,27.5478
p10,CA,2010,SO2,10351.97,InMAP,H6C,47399.94,490682588.99,70.7775
p10,CA,2015,SO2,7310.82,AP2,ACS,22816.59,166807934.33,24.0609
p10,CA,2015,SO2,7310.82,AP2,H6C,58622.06,428575171.35,61.819
p10,CA,2015,SO2,7310.82,EASIUR,ACS,11194.08,81837854.64,11.8045
p10,CA,2015,SO2,7310.82,EASIUR,H6C,28760.03,210259319.54,30.3284
p10,CA,2015,SO2,7310.82,InMAP,ACS,18448.86,134876273.99,19.455
p10,CA,2015,SO2,7310.82,InMAP,H6C,47399.94,346532319.89,49.9849
p10,CA,2020,SO2,5047.02,AP2,ACS,22816.59,115155720.37,16.6104
p10,CA,2020,SO2,5047.02,AP2,H6C,58622.06,295866517.3,42.6767
p10,CA,2020,SO2,5047.02,EASIUR,ACS,11194.08,56496695.69,8.1493
p10,CA,2020,SO2,5047.02,EASIUR,H6C,28760.03,145152348.43,20.9372
p10,CA,2020,SO2,5047.02,InMAP,ACS,18448.86,93111724.89,13.4307
p10,CA,2020,SO2,5047.02,InMAP,H6C,47399.94,239228302.22,34.507
p10,CA,2023,SO2,2911.71,AP2,ACS,22816.59,66435184.42,9.5828
p10,CA,2023,SO2,2911.71,AP2,H6C,58622.06,170690145.29,24.6209
p10,CA,2023,SO2,2911.71,EASIUR,ACS,11194.08,32593851.05,4.7014
p10,CA,2023,SO2,2911.71,EASIUR,H6C,28760.03,83740720.88,12.079
p10,CA,2023,SO2,2911.71,InMAP,ACS,18448.86,53717649.42,7.7484
p10,CA,2023,SO2,2911.71,InMAP,H6C,47399.94,138014649.43,19.9077
p10,CA,2026,SO2,1403.91,AP2,ACS,22816.59,32032480.62,4.6205
p10,CA,2026,SO2,1403.91,AP2,H6C,58622.06,82300197.09,11.8712
p10,CA,2026,SO2,1403.91,EASIUR,ACS,11194.08,15715496.41,2.2669
p10,CA,2026,SO2,1403.91,EASIUR,H6C,28760.03,40376542.07,5.824
p10,CA,2026,SO2,1403.91,InMAP,ACS,18448.86,25900576.31,3.736
p10,CA,2026,SO2,1403.91,InMAP,H6C,47399.94,66545334.7,9.5987
p10,CA,2029,SO2,1381.21,AP2,ACS,22816.59,31514463.99,4.5457
p10,CA,2029,SO2,1381.21,AP2,H6C,58622.06,80969270.78,11.6793
p10,CA,2029,SO2,1381.21,EASIUR,ACS,11194.08,15461351.6,2.2302
p10,CA,2029,SO2,1381.21,EASIUR,H6C,28760.03,39723588.57,5.7299
p10,CA,2029,SO2,1381.21,InMAP,ACS,18448.86,25481722.42,3.6756
p10,CA,2029,SO2,1381.21,InMAP,H6C,47399.94,65469189.82,9.4435
