eall,r,t,Value_emit,dr,Value_scc,dtau,Value
CH4,p1,2023,128528.129814,2.5,1457.0,1.025,140145299.55118436
CH4,p1,2023,128528.129814,2.0,1874.0,1.02,179376223.90551782
CH4,p1,2023,128528.129814,1.5,2564.0,1.015,244218850.13976282
CH4,p1,2024,128528.129814,2.5,1524.0,1.0,143014504.58911896
CH4,p1,2024,128528.129814,2.0,1950.0,1.0,182990999.9663924
CH4,p1,2024,128528.129814,1.5,2650.0,1.0,248680076.87740502
CH4,p1,2025,411056.409406,2.5,1590.0,0.9756097560975612,465555663.29050106
CH4,p1,2025,411056.409406,2.0,2025.0,0.9803921568627452,595831158.9698768
CH4,p1,2025,411056.409406,1.5,2737.0,0.9852216748768474,809295471.5040145
CH4,p1,2026,411056.409406,2.5,1657.0,0.9518143961927424,473339919.66397303
CH4,p1,2026,411056.409406,2.0,2101.0,0.9611687812379854,606071781.6488556
CH4,p1,2026,411056.409406,1.5,2823.0,0.9706617486471404,822388727.3851069
CH4,p1,2027,411056.409406,2.5,1724.0,0.928599410919749,480467504.600256
CH4,p1,2027,411056.409406,2.0,2176.0,0.9423223345470444,615398921.553653
CH4,p1,2027,411056.409406,1.5,2910.0,0.9563169937410252,835205253.3606465
CH4,p1,2028,403782.48301,2.5,1791.0,0.9059506447997552,478348624.400086
CH4,p1,2028,403782.48301,2.0,2252.0,0.9238454260265142,613355274.4024007
CH4,p1,2028,403782.48301,1.5,2996.0,0.9421842302867244,832189142.2040125
CH4,p1,2029,403782.48301,2.5,1857.0,0.8838542876095173,483879231.12089425
CH4,p1,2029,403782.48301,2.0,2327.0,0.905730809829916,621355189.0843811
CH4,p1,2029,403782.48301,1.5,3083.0,0.9282603254056396,843699357.9008366
CH4,p1,2030,403782.48301,2.5,1924.0,0.8622968659605048,489109705.2295733
CH4,p1,2030,403782.48301,2.0,2403.0,0.887971382186192,629067350.6112251
CH4,p1,2030,403782.48301,1.5,3169.0,0.914542192517872,854418003.4442022
CH4,p1,2031,740381.323953,2.5,2002.0,0.8412652350834192,910435956.6041268
CH4,p1,2031,740381.323953,2.0,2490.0,0.8705601786139138,1171792005.4400065
CH4,p1,2031,740381.323953,1.5,3270.0,0.9010267906580018,1592714166.202651
CH4,p1,2032,740381.323953,2.5,2080.0,0.8207465708130922,922836573.0545479
CH4,p1,2032,740381.323953,2.0,2578.0,0.8534903711901114,1189416406.8132672
CH4,p1,2032,740381.323953,1.5,3371.0,0.887711123800987,1617643438.4143462
CH4,p1,2033,740381.323953,2.5,2157.0,0.8007283617688704,933657827.4290147
CH4,p1,2033,740381.323953,2.0,2666.0,0.8367552658726582,1205899139.2340052
CH4,p1,2033,740381.323953,1.5,3471.0,0.874592240198017,1641015259.0221717
CH4,p1,2034,745098.00126,2.5,2235.0,0.7811984017257273,949837261.5736717
CH4,p1,2034,745098.00126,2.0,2754.0,0.8203482998751551,1229058479.5839813
CH4,p1,2034,745098.00126,1.5,3572.0,0.8616672317221843,1674408256.649049
CH4,p1,2035,745098.00126,2.5,2313.0,0.7621447821714413,959010677.5882152
CH4,p1,2035,745098.00126,2.0,2842.0,0.8042630390932893,1243461987.1907084
CH4,p1,2035,745098.00126,1.5,3673.0,0.848933233223827,1696308322.1641662
CH4,p1,2036,745098.00126,2.5,2391.0,0.7435558850453087,967171566.9074786
CH4,p1,2036,745098.00126,2.0,2929.0,0.7884931755816562,1256399166.7293074
CH4,p1,2036,745098.00126,1.5,3774.0,0.836387421895396,1717195406.1920533
CH4,p1,2037,1685005.800938,2.5,2468.0,0.7254203756539598,2202587835.557216
CH4,p1,2037,1685005.800938,2.0,3017.0,0.773032525080055,2869269939.485515
CH4,p1,2037,1685005.800938,1.5,3875.0,0.8240270166457105,3928361885.6104326
CH4,p1,2038,1685005.800938,2.5,2546.0,0.7077271957599608,2216780104.0948224
CH4,p1,2038,1685005.800938,2.0,3105.0,0.7578750245882894,2895059747.0875907
CH4,p1,2038,1685005.800938,1.5,3975.0,0.8118492774834588,3970186173.9206038
CH4,p1,2039,1685005.800938,2.5,2624.0,0.6904655568389862,2228969782.5933805
