sys_costs,r,t,Value
inv_converter_costs,p20,2047,33710325.050799
inv_converter_costs,p24,2047,26096231.027035
inv_h2_production,p127,2041,886292867.044553
inv_h2_production,p127,2044,691686.631271
inv_h2_production,p127,2047,10572264.259106
inv_h2_production,p127,2050,85171980.689681
inv_h2_storage,p44,2035,-0.0
inv_h2_storage,p44,2038,0.0
inv_h2_storage,p58,2035,-0.0
inv_h2_storage,p58,2038,0.0
inv_h2_storage,p74,2038,0.0
inv_h2_storage,p74,2041,-0.0
inv_h2_storage,p99,2035,-0.0
inv_h2_storage,p99,2038,0.0
inv_h2_storage,p99,2041,-0.0
inv_h2_storage,z122,2029,-0.0
inv_h2_storage,z122,2032,0.0
inv_h2_storage,p123,2050,0.0
inv_h2_storage,p126,2032,0.0
inv_h2_storage,p126,2035,-0.0
inv_h2_storage,p127,2041,204292807.248071
inv_h2_storage,p129,2038,-0.0
inv_h2_storage,p129,2041,0.0
inv_h2_storage,p129,2044,-0.0
inv_h2_storage,p129,2047,0.0
inv_investment_capacity_costs,p1,2010,381394271.0115
inv_investment_capacity_costs,p1,2015,107220104.123593
inv_investment_capacity_costs,p1,2020,215022761.477033
inv_investment_capacity_costs,p1,2023,13169559.195
inv_investment_capacity_costs,p1,2029,735959458.61229
inv_investment_capacity_costs,p1,2032,1938479783.864699
inv_investment_capacity_costs,p1,2035,1424093176.062286
inv_investment_capacity_costs,p1,2038,3472289765.918864
inv_investment_capacity_costs,p1,2041,365970860.508246
inv_investment_capacity_costs,p1,2044,1384284428.834697
inv_investment_capacity_costs,p1,2047,60055325.324883
inv_investment_capacity_costs,p1,2050,1873913725.692944
inv_investment_capacity_costs,p2,2010,117393137.96
inv_investment_capacity_costs,p2,2015,1206584203.69311
inv_investment_capacity_costs,p2,2023,134133754.11
inv_investment_capacity_costs,p2,2026,146080107.504
inv_investment_capacity_costs,p2,2029,1437296543.484998
inv_investment_capacity_costs,p2,2032,1478184955.070093
inv_investment_capacity_costs,p2,2035,961401792.555881
inv_investment_capacity_costs,p2,2038,592101813.449531
inv_investment_capacity_costs,p2,2041,867380432.425045
inv_investment_capacity_costs,p2,2044,418730772.513319
inv_investment_capacity_costs,p2,2047,352524418.795861
inv_investment_capacity_costs,p2,2050,429677414.737305
inv_investment_capacity_costs,p3,2015,150165713.8215
inv_investment_capacity_costs,p3,2020,177681543.112704
inv_investment_capacity_costs,p3,2029,253187532.436096
inv_investment_capacity_costs,p3,2032,221557207.396713
inv_investment_capacity_costs,p3,2035,41716641.926526
inv_investment_capacity_costs,p3,2038,777411214.708055
inv_investment_capacity_costs,p3,2044,150624771.724733
inv_investment_capacity_costs,p3,2047,248837375.275558
inv_investment_capacity_costs,p3,2050,616007534.793281
inv_investment_capacity_costs,p4,2015,641501060.295261
inv_investment_capacity_costs,p4,2020,391444958.078072
inv_investment_capacity_costs,p4,2026,126551415.816
inv_investment_capacity_costs,p4,2029,882818576.961789
inv_investment_capacity_costs,p4,2035,572684.675767
inv_investment_capacity_costs,p4,2038,464588.85242
inv_investment_capacity_costs,p4,2041,408911.142288
inv_investment_capacity_costs,p4,2044,511614960.347688
inv_investment_capacity_costs,p4,2047,10470827.230537
inv_investment_capacity_costs,p4,2050,9712696.279275
inv_investment_capacity_costs,p5,2010,687232622.158629
inv_investment_capacity_costs,p5,2015,1804936953.05598
inv_investment_capacity_costs,p5,2020,1267395074.580691
inv_investment_capacity_costs,p5,2023,1120624919.806353
inv_investment_capacity_costs,p5,2026,5522896.681436
inv_investment_capacity_costs,p5,2029,1391065251.31634
inv_investment_capacity_costs,p5,2032,220525638.037834
inv_investment_capacity_costs,p5,2035,200268341.424
inv_investment_capacity_costs,p5,2038,8860879.804949
inv_investment_capacity_costs,p5,2044,27818859.637693
inv_investment_capacity_costs,p5,2050,804207174.636509
inv_investment_capacity_costs,p6,2015,18876889.427035
inv_investment_capacity_costs,p6,2020,83404552.671776
inv_investment_capacity_costs,p6,2023,5125610.50176
inv_investment_capacity_costs,p6,2026,3412569.2986
inv_investment_capacity_costs,p6,2032,433805924.029136
inv_investment_capacity_costs,p6,2035,868054185.264218
inv_investment_capacity_costs,p6,2038,29068206.761798
inv_investment_capacity_costs,p6,2041,25936992.88506
inv_investment_capacity_costs,p6,2044,22516698.372506
inv_investment_capacity_costs,p6,2047,20655098.859671
inv_investment_capacity_costs,p6,2050,464744718.161411
inv_investment_capacity_costs,p7,2015,123359040.2518
inv_investment_capacity_costs,p7,2020,289299197.402448
inv_investment_capacity_costs,p7,2023,404804320.6172
inv_investment_capacity_costs,p7,2026,291899.5464
inv_investment_capacity_costs,p7,2029,2029147224.641016
inv_investment_capacity_costs,p7,2032,2381919391.380644
inv_investment_capacity_costs,p7,2035,1041869504.034052
inv_investment_capacity_costs,p7,2038,936064192.935888
inv_investment_capacity_costs,p7,2041,850451413.358272
inv_investment_capacity_costs,p7,2044,521586742.394539
inv_investment_capacity_costs,p7,2047,679729122.181802
inv_investment_capacity_costs,p7,2050,515494526.74016
inv_investment_capacity_costs,p8,2010,4551412.95
inv_investment_capacity_costs,p8,2020,10319800.7992
inv_investment_capacity_costs,p8,2026,350148846.06
inv_investment_capacity_costs,p8,2029,638620604.884943
inv_investment_capacity_costs,p8,2032,75817988.021201
inv_investment_capacity_costs,p8,2035,55137459.237331
inv_investment_capacity_costs,p8,2038,90853383.289956
inv_investment_capacity_costs,p8,2041,74700789.250526
