sys_costs,i,r,t,Value
inv_h2_production,electrolyzer,p127,2041,886292867.044553
inv_h2_production,electrolyzer,p127,2044,691686.631271
inv_h2_production,electrolyzer,p127,2047,10572264.259106
inv_h2_production,electrolyzer,p127,2050,85171980.689681
inv_investment_capacity_costs,battery_4,p6,2026,3412569.2986
inv_investment_capacity_costs,battery_4,p6,2041,2668138.7675
inv_investment_capacity_costs,battery_4,p7,2026,291899.5464
inv_investment_capacity_costs,battery_4,p8,2029,201542458.8
inv_investment_capacity_costs,battery_4,p8,2038,50742881.338742
inv_investment_capacity_costs,battery_4,p8,2041,25455044.073102
inv_investment_capacity_costs,battery_4,p8,2044,354580285.504873
inv_investment_capacity_costs,battery_4,p9,2015,18130771.2
inv_investment_capacity_costs,battery_4,p9,2020,2015193.056
inv_investment_capacity_costs,battery_4,p9,2023,4246538041.15187
inv_investment_capacity_costs,battery_4,p9,2026,306368537.86
inv_investment_capacity_costs,battery_4,p9,2038,392682585.443341
inv_investment_capacity_costs,battery_4,p9,2041,1070018928.424378
inv_investment_capacity_costs,battery_4,p9,2044,365836662.995068
inv_investment_capacity_costs,battery_4,p9,2047,242677265.123053
inv_investment_capacity_costs,battery_4,p10,2015,8986063.476
inv_investment_capacity_costs,battery_4,p10,2020,284049910.4256
inv_investment_capacity_costs,battery_4,p10,2023,9661312454.478575
inv_investment_capacity_costs,battery_4,p10,2026,3122707331.205
inv_investment_capacity_costs,battery_4,p10,2038,1721526287.56659
inv_investment_capacity_costs,battery_4,p10,2041,1045248095.592546
inv_investment_capacity_costs,battery_4,p11,2015,12094735.288
inv_investment_capacity_costs,battery_4,p11,2020,668454543.432
inv_investment_capacity_costs,battery_4,p11,2023,416025983.52
inv_investment_capacity_costs,battery_4,p11,2026,466068795.4692
inv_investment_capacity_costs,battery_4,p11,2041,711473366.570112
inv_investment_capacity_costs,battery_4,p12,2032,1265951.646142
inv_investment_capacity_costs,battery_4,p12,2038,54731922.8448
