eall,i,r,t,Value
CO2,biopower,p1,2010,841.765219
CO2,biopower,p3,2010,3503.640307
CO2,biopower,p3,2015,942.97896
CO2,biopower,p3,2020,942.97896
CO2,biopower,p3,2023,942.97896
CO2,biopower,p3,2026,942.97896
CO2,biopower,p5,2010,192.412962
CO2,biopower,p5,2015,148.368996
CO2,biopower,p5,2020,148.368996
CO2,biopower,p5,2023,148.368996
CO2,biopower,p5,2026,148.528711
CO2,biopower,p5,2029,148.368996
CO2,biopower,p5,2032,56.739055
CO2,biopower,p5,2035,118.341176
CO2,biopower,p5,2038,43.706374
CO2,biopower,p5,2041,17.455176
CO2,biopower,p5,2044,17.455176
CO2,biopower,p5,2047,31.937058
CO2,biopower,p5,2050,106.709568
CO2,biopower,p6,2010,1053.249637
CO2,biopower,p6,2015,1052.906098
CO2,biopower,p6,2020,1053.0461
CO2,biopower,p6,2023,1053.249637
CO2,biopower,p6,2026,1053.109635
CO2,biopower,p6,2029,1053.553356
CO2,biopower,p6,2032,333.019109
CO2,biopower,p6,2035,333.019109
CO2,biopower,p6,2038,333.019109
CO2,biopower,p6,2041,333.019109
CO2,biopower,p6,2044,333.019109
CO2,biopower,p6,2047,333.019109
CO2,biopower,p6,2050,333.019109
CO2,biopower,p8,2010,5713.775739
CO2,biopower,p8,2015,7860.602917
CO2,biopower,p8,2020,7860.602917
CO2,biopower,p8,2023,5890.893921
CO2,biopower,p8,2026,5813.089244
CO2,biopower,p8,2029,2030.214316
CO2,biopower,p8,2032,1213.900999
CO2,biopower,p9,2010,16994.441695
CO2,biopower,p9,2015,111665.601165
CO2,biopower,p9,2020,96623.36754
CO2,biopower,p9,2023,37160.691636
CO2,biopower,p9,2026,45537.33873
CO2,biopower,p9,2029,25263.776494
CO2,biopower,p9,2032,23299.79796
CO2,biopower,p9,2035,8549.858806
CO2,biopower,p9,2038,6985.751452
CO2,biopower,p9,2041,5758.392333
CO2,biopower,p9,2044,5662.613827
CO2,biopower,p9,2047,5569.39426
CO2,biopower,p9,2050,5678.132489
CO2,biopower,p10,2010,15360.307873
CO2,biopower,p10,2015,40557.564107
CO2,biopower,p10,2020,46684.030334
CO2,biopower,p10,2023,30412.029256
CO2,biopower,p10,2026,33828.26187
CO2,biopower,p10,2029,22705.715186
CO2,biopower,p10,2032,23185.767316
CO2,biopower,p10,2035,19626.969256
CO2,biopower,p10,2038,6856.497378
CO2,biopower,p10,2041,4510.969786
CO2,biopower,p10,2044,4606.74746
CO2,biopower,p10,2047,5066.106021
CO2,biopower,p10,2050,4904.461213
CO2,biopower,p12,2026,0.0
CO2,biopower,p14,2010,157.05769
CO2,biopower,p14,2015,157.05769
CO2,biopower,p14,2020,157.05769
CO2,biopower,p14,2023,157.05769
CO2,biopower,p14,2026,157.05769
CO2,biopower,p15,2010,164.078654
CO2,biopower,p15,2015,448.598023
CO2,biopower,p15,2020,448.598023
CO2,biopower,p15,2023,448.598023
CO2,biopower,p15,2026,448.598023
CO2,biopower,p15,2029,430.970185
CO2,biopower,p15,2032,1960.928055
CO2,biopower,p15,2035,1465.710273
CO2,biopower,p15,2038,1440.427004
CO2,biopower,p15,2041,2285.079299
CO2,biopower,p15,2044,2828.646038
CO2,biopower,p15,2047,2680.047208
CO2,biopower,p15,2050,2168.145351
CO2,biopower,p16,2015,87.27588
CO2,biopower,p16,2020,87.27588
CO2,biopower,p16,2023,87.27588
CO2,biopower,p16,2026,87.27588
CO2,biopower,p16,2029,121.489695
CO2,biopower,p16,2032,521.649642
CO2,biopower,p16,2035,389.113866
CO2,biopower,p16,2038,375.57743
CO2,biopower,p16,2041,568.553782
CO2,biopower,p16,2044,723.051059
CO2,biopower,p16,2047,678.360802
CO2,biopower,p16,2050,527.260402
CO2,biopower,p25,2015,52.365528
CO2,biopower,p25,2020,52.365528
CO2,biopower,p25,2023,52.365528
CO2,biopower,p25,2026,85.543775
CO2,biopower,p25,2029,88.720962
CO2,biopower,p25,2032,71.952526
CO2,biopower,p25,2035,214.179778
CO2,biopower,p25,2038,210.151633
CO2,biopower,p25,2041,565.023617
CO2,biopower,p25,2044,531.418876
CO2,biopower,p25,2047,489.363346
CO2,biopower,p25,2050,398.037675
CO2,biopower,p28,2010,482.403354
CO2,biopower,p28,2015,482.403354
CO2,biopower,p28,2020,482.403354
CO2,biopower,p28,2023,482.403354
CO2,biopower,p28,2026,482.403354
CO2,biopower,p28,2029,482.403354
CO2,biopower,p28,2032,482.403354
CO2,biopower,p28,2035,482.403354
CO2,biopower,p28,2038,482.403354
CO2,biopower,p28,2041,482.403354
CO2,biopower,p28,2044,1380.79975
CO2,biopower,p28,2047,3686.227956
CO2,biopower,p28,2050,482.403354
CO2,biopower,p29,2010,64.137654
CO2,biopower,p29,2015,64.137654
CO2,biopower,p29,2020,64.137654
CO2,biopower,p29,2023,64.137654
CO2,biopower,p29,2026,64.137654
CO2,biopower,p29,2029,64.137654
CO2,biopower,p29,2032,64.137654
CO2,biopower,p29,2035,64.137654
CO2,biopower,p29,2038,64.137654
CO2,biopower,p29,2041,64.137654
CO2,biopower,p29,2044,177.860084
CO2,biopower,p29,2047,397.786343
CO2,biopower,p31,2010,47.217171
CO2,biopower,p31,2015,47.217171
CO2,biopower,p31,2020,47.217171
CO2,biopower,p31,2023,47.217171
CO2,biopower,p31,2026,47.217171
CO2,biopower,p31,2029,47.217171
CO2,biopower,p33,2010,214.539303
CO2,biopower,p33,2015,390.995942
CO2,biopower,p33,2020,390.995942
CO2,biopower,p33,2023,390.995942
CO2,biopower,p33,2026,390.995942
CO2,biopower,p33,2029,390.995942
CO2,biopower,p33,2032,686.466567
CO2,biopower,p33,2035,719.705368
CO2,biopower,p33,2038,711.773366
CO2,biopower,p33,2041,1687.619101
CO2,biopower,p33,2044,1861.694422
CO2,biopower,p33,2047,1562.407715
CO2,biopower,p33,2050,1235.880854
CO2,biopower,p43,2010,1945.013435
CO2,biopower,p43,2015,2065.631345
CO2,biopower,p43,2020,1083.357901
CO2,biopower,p43,2023,1115.903532
CO2,biopower,p43,2026,1115.903532
CO2,biopower,p43,2029,1072.61854
