sys_costs,i,r,t,Value
inv_h2_production,electrolyzer,p23,2041,0.0
inv_h2_production,electrolyzer,p58,2041,0.0
inv_h2_production,electrolyzer,p127,2041,727894526.424835
inv_h2_production,electrolyzer,p127,2044,271140181.2336
inv_h2_production,electrolyzer,p127,2047,310100300.707783
inv_h2_production,electrolyzer,p127,2050,118669324.393316
inv_investment_capacity_costs,battery_4,p6,2026,3412569.2986
inv_investment_capacity_costs,battery_4,p6,2041,2668138.7675
inv_investment_capacity_costs,battery_4,p7,2026,291899.5464
inv_investment_capacity_costs,battery_4,p8,2029,201542458.8
inv_investment_capacity_costs,battery_4,p8,2044,141554397.985484
inv_investment_capacity_costs,battery_4,p8,2047,270536821.322924
inv_investment_capacity_costs,battery_4,p9,2015,18130771.2
inv_investment_capacity_costs,battery_4,p9,2020,2015193.056
inv_investment_capacity_costs,battery_4,p9,2023,4246538041.15187
inv_investment_capacity_costs,battery_4,p9,2026,306368537.86
inv_investment_capacity_costs,battery_4,p9,2044,131678324.414061
inv_investment_capacity_costs,battery_4,p9,2050,150108946.649131
inv_investment_capacity_costs,battery_4,p10,2015,8986063.476
inv_investment_capacity_costs,battery_4,p10,2020,284049910.4256
inv_investment_capacity_costs,battery_4,p10,2023,9661312454.478575
inv_investment_capacity_costs,battery_4,p10,2026,3122707331.205
inv_investment_capacity_costs,battery_4,p10,2038,669460022.949032
inv_investment_capacity_costs,battery_4,p10,2041,1986378143.153938
inv_investment_capacity_costs,battery_4,p11,2015,12094735.288
inv_investment_capacity_costs,battery_4,p11,2020,668454543.432
inv_investment_capacity_costs,battery_4,p11,2023,416025983.52
inv_investment_capacity_costs,battery_4,p11,2026,466068795.4692
inv_investment_capacity_costs,battery_4,p11,2041,1588575700.029335
inv_investment_capacity_costs,battery_4,p12,2029,44810240.720864
inv_investment_capacity_costs,battery_4,p13,2023,94983507.6752
inv_investment_capacity_costs,battery_4,p13,2026,810351130.3888
inv_investment_capacity_costs,battery_4,p13,2029,867128248.188661
inv_investment_capacity_costs,battery_4,p13,2041,328562371.988456
inv_investment_capacity_costs,battery_4,p13,2044,688341893.400208
inv_investment_capacity_costs,battery_4,p15,2023,245527826.178
inv_investment_capacity_costs,battery_4,p16,2023,3799455.152
inv_investment_capacity_costs,battery_4,p18,2026,144593002.4
inv_investment_capacity_costs,battery_4,p21,2050,829968864.312923
inv_investment_capacity_costs,battery_4,p24,2050,181766731.678877
inv_investment_capacity_costs,battery_4,p25,2047,365626788.933446
inv_investment_capacity_costs,battery_4,p26,2044,109912644.616592
inv_investment_capacity_costs,battery_4,p26,2047,1207925763.58762
inv_investment_capacity_costs,battery_4,p28,2023,1779769540.375886
inv_investment_capacity_costs,battery_4,p28,2026,358817420.5
inv_investment_capacity_costs,battery_4,p28,2044,1247660621.899416
inv_investment_capacity_costs,battery_4,p29,2041,148588486.555463
inv_investment_capacity_costs,battery_4,p29,2044,461960618.514766
inv_investment_capacity_costs,battery_4,p30,2029,837282194.847163
inv_investment_capacity_costs,battery_4,p30,2041,644506033.054398
inv_investment_capacity_costs,battery_4,p30,2044,1467676965.332369
inv_investment_capacity_costs,battery_4,p31,2023,139163419.056
inv_investment_capacity_costs,battery_4,p31,2026,213109927.8
inv_investment_capacity_costs,battery_4,p31,2041,39388732.065555
inv_investment_capacity_costs,battery_4,p31,2044,958139342.93751
inv_investment_capacity_costs,battery_4,p33,2023,9349100.13
inv_investment_capacity_costs,battery_4,p34,2023,421247841.75
inv_investment_capacity_costs,battery_4,p34,2047,530943910.57625
inv_investment_capacity_costs,battery_4,p34,2050,383349307.805597
inv_investment_capacity_costs,battery_4,p37,2029,173737185.12
inv_investment_capacity_costs,battery_4,p39,2041,37883337.911236
inv_investment_capacity_costs,battery_4,p39,2044,33770978.404941
inv_investment_capacity_costs,battery_4,p39,2047,16571357.727786
inv_investment_capacity_costs,battery_4,p40,2023,1887764.556
inv_investment_capacity_costs,battery_4,p41,2047,284521632.843811
inv_investment_capacity_costs,battery_4,p43,2023,1491621.824716
inv_investment_capacity_costs,battery_4,p43,2029,327461912.078986
inv_investment_capacity_costs,battery_4,p45,2029,107306047.157524
inv_investment_capacity_costs,battery_4,p45,2044,524367095.970286
inv_investment_capacity_costs,battery_4,p47,2041,831310403.687531
inv_investment_capacity_costs,battery_4,p47,2044,106442102.367547
inv_investment_capacity_costs,battery_4,p48,2026,282983624.0
inv_investment_capacity_costs,battery_4,p48,2041,1608655119.696535
inv_investment_capacity_costs,battery_4,p48,2044,313709801.940747
inv_investment_capacity_costs,battery_4,p48,2047,400582255.475658
inv_investment_capacity_costs,battery_4,p49,2047,52411565.157999
inv_investment_capacity_costs,battery_4,p53,2047,218662915.265996
inv_investment_capacity_costs,battery_4,p54,2047,1061056804.648514
inv_investment_capacity_costs,battery_4,p57,2047,370152173.317998
inv_investment_capacity_costs,battery_4,p58,2029,316589986.631243
inv_investment_capacity_costs,battery_4,p58,2044,3976990106.472755
inv_investment_capacity_costs,battery_4,p58,2047,185326383.319166
inv_investment_capacity_costs,battery_4,p59,2041,149091794.742211
inv_investment_capacity_costs,battery_4,p59,2044,251727970.115769
inv_investment_capacity_costs,battery_4,p60,2023,93491001.3
inv_investment_capacity_costs,battery_4,p60,2026,282402150.8
inv_investment_capacity_costs,battery_4,p60,2041,1477865931.520766
inv_investment_capacity_costs,battery_4,p60,2044,409958003.514776
inv_investment_capacity_costs,battery_4,p61,2023,572725873.9638
inv_investment_capacity_costs,battery_4,p61,2026,727750342.6116
inv_investment_capacity_costs,battery_4,p62,2023,1137057536.054
inv_investment_capacity_costs,battery_4,p62,2041,15269038.679222
inv_investment_capacity_costs,battery_4,p62,2044,105014997.644773
inv_investment_capacity_costs,battery_4,p63,2023,1469884090.1582
inv_investment_capacity_costs,battery_4,p63,2026,269150764.2208
inv_investment_capacity_costs,battery_4,p63,2041,621521632.864125
inv_investment_capacity_costs,battery_4,p63,2044,4263724102.038934
inv_investment_capacity_costs,battery_4,p64,2023,775090884.7214
inv_investment_capacity_costs,battery_4,p64,2026,251021980.44
inv_investment_capacity_costs,battery_4,p64,2047,1289380273.004888
inv_investment_capacity_costs,battery_4,p65,2023,764451333.624
inv_investment_capacity_costs,battery_4,p65,2026,223146155.232
inv_investment_capacity_costs,battery_4,p65,2029,314112972.845843
inv_investment_capacity_costs,battery_4,p66,2044,998758159.707311
inv_investment_capacity_costs,battery_4,p66,2047,472836470.476733
inv_investment_capacity_costs,battery_4,p67,2023,457585515.0
inv_investment_capacity_costs,battery_4,p67,2026,207295195.8
inv_investment_capacity_costs,battery_4,p67,2029,5960848936.450555
inv_investment_capacity_costs,battery_4,p67,2044,3487955338.7313
inv_investment_capacity_costs,battery_4,p70,2023,9516582.41
inv_investment_capacity_costs,battery_4,p70,2029,67255094.802476
inv_investment_capacity_costs,battery_4,p70,2044,1465776562.211806
inv_investment_capacity_costs,battery_4,p71,2044,1044610448.746012
inv_investment_capacity_costs,battery_4,p72,2029,176562180.0
inv_investment_capacity_costs,battery_4,p72,2044,2295267675.856413
inv_investment_capacity_costs,battery_4,p73,2044,41545694.236143
inv_investment_capacity_costs,battery_4,p74,2026,1160490674.652907
inv_investment_capacity_costs,battery_4,p74,2044,408824246.166134
inv_investment_capacity_costs,battery_4,p76,2023,9588360.53
inv_investment_capacity_costs,battery_4,p76,2044,50247333.968452
inv_investment_capacity_costs,battery_4,p77,2023,576378.3036
inv_investment_capacity_costs,battery_4,p77,2044,927792304.922332
inv_investment_capacity_costs,battery_4,p78,2023,579967.2096
inv_investment_capacity_costs,battery_4,p79,2029,319471374.437636
inv_investment_capacity_costs,battery_4,p79,2044,309653532.44463
