trtype,t,Value
AC,2010,133131452.978545
AC,2015,133131452.978545
AC,2020,133131452.978545
AC,2023,133131452.978545
AC,2026,133131452.978545
AC,2029,133131452.978545
AC,2032,135754804.408598
AC,2035,142811443.044158
AC,2038,143725235.855919
AC,2041,149506468.66643
AC,2044,154089793.327248
AC,2047,166653113.522819
AC,2050,177294875.269483
LCC,2010,4506323.0
LCC,2015,4506323.0
LCC,2020,4506323.0
LCC,2023,4506323.0
LCC,2026,4506323.0
LCC,2029,4506323.0
LCC,2032,4506323.0
LCC,2035,4506323.0
LCC,2038,4506323.0
LCC,2041,4506323.0
LCC,2044,4506323.0
LCC,2047,4506323.0
LCC,2050,4576231.998071
B2B,2010,434770.3
B2B,2015,434770.3
B2B,2020,434770.3
B2B,2023,434770.3
B2B,2026,434770.3
B2B,2029,434770.3
B2B,2032,434770.3
B2B,2035,434770.3
B2B,2038,434770.3
B2B,2041,609144.957711
B2B,2044,1213942.3671
B2B,2047,2728875.219342
B2B,2050,3916158.823157
