sys_costs,r,t,Value
inv_converter_costs,p20,2041,24576767.137148
inv_converter_costs,p20,2044,71873107.355402
inv_converter_costs,p20,2047,127497913.186797
inv_converter_costs,p20,2050,9656173.256497
inv_converter_costs,p24,2044,30853293.58812
inv_converter_costs,p24,2047,20124706.381194
inv_converter_costs,p24,2050,160383805.64832
inv_converter_costs,p31,2044,43114911.655679
inv_converter_costs,p31,2047,216881186.64727
inv_converter_costs,p31,2050,140164706.876828
inv_converter_costs,p32,2047,70037675.267917
inv_converter_costs,p32,2050,34559111.461348
inv_converter_costs,p34,2044,108192605.852587
inv_converter_costs,p34,2047,6152939.753043
inv_converter_costs,p34,2050,79111157.316442
inv_converter_costs,p50,2047,68044093.43888
inv_converter_costs,p57,2047,472576082.832684
inv_converter_costs,p57,2050,278402204.126442
inv_h2_production,p65,2050,0.0
inv_h2_production,p127,2041,965492133.517962
inv_h2_production,p127,2044,89303105.773965
inv_h2_production,p127,2047,491247990.233344
inv_h2_production,p127,2050,847266883.71516
inv_h2_storage,p3,2038,-0.0
inv_h2_storage,p3,2041,0.0
inv_h2_storage,p8,2044,0.0
inv_h2_storage,p8,2047,0.0
inv_h2_storage,p8,2050,-0.0
inv_h2_storage,p20,2047,-1e-06
inv_h2_storage,p20,2050,1e-06
inv_h2_storage,p23,2038,-0.0
inv_h2_storage,p23,2041,0.0
inv_h2_storage,p57,2041,-0.0
inv_h2_storage,p57,2044,0.0
inv_h2_storage,p65,2050,-0.0
inv_h2_storage,p72,2041,0.0
inv_h2_storage,p72,2044,-0.0
inv_h2_storage,p73,2041,0.0
inv_h2_storage,p73,2044,-0.0
inv_h2_storage,p85,2032,-0.0
inv_h2_storage,p85,2035,0.0
inv_h2_storage,p97,2041,-1e-06
inv_h2_storage,p97,2044,1e-06
inv_h2_storage,p98,2038,-0.0
inv_h2_storage,p98,2041,0.0
inv_h2_storage,p100,2038,-0.0
inv_h2_storage,p100,2041,0.0
inv_h2_storage,p103,2050,0.0
inv_h2_storage,p118,2032,0.0
inv_h2_storage,p118,2035,-0.0
inv_h2_storage,p123,2038,-0.0
inv_h2_storage,p123,2041,0.0
inv_h2_storage,p123,2044,-0.0
inv_h2_storage,p123,2047,0.0
inv_h2_storage,p123,2050,0.0
inv_h2_storage,p125,2029,0.0
inv_h2_storage,p125,2032,-0.0
inv_h2_storage,p127,2041,204018763.487868
inv_h2_storage,p127,2047,13823499.578606
inv_h2_storage,p127,2050,121862788.377992
inv_h2_storage,p131,2038,-0.0
inv_h2_storage,p131,2041,0.0
inv_investment_capacity_costs,p1,2010,381394271.0115
inv_investment_capacity_costs,p1,2015,107220104.123593
inv_investment_capacity_costs,p1,2020,215022761.477033
