eall,i,r,t,Value
CO2,biopower,p1,2010,841.765219
CO2,biopower,p3,2010,3503.640307
CO2,biopower,p3,2015,942.97896
CO2,biopower,p3,2020,942.97896
CO2,biopower,p3,2023,942.97896
CO2,biopower,p3,2026,942.97896
CO2,biopower,p5,2010,192.412962
CO2,biopower,p5,2015,148.368996
CO2,biopower,p5,2020,148.368996
CO2,biopower,p5,2023,148.368996
CO2,biopower,p5,2026,148.528711
CO2,biopower,p5,2029,148.368996
CO2,biopower,p5,2032,42.092951
CO2,biopower,p5,2035,93.872055
CO2,biopower,p5,2038,17.455176
CO2,biopower,p5,2041,17.455176
CO2,biopower,p5,2044,17.455176
CO2,biopower,p5,2047,17.455176
CO2,biopower,p5,2050,17.455176
CO2,biopower,p6,2010,1053.249637
CO2,biopower,p6,2015,1052.906098
CO2,biopower,p6,2020,1053.0461
CO2,biopower,p6,2023,1053.249637
CO2,biopower,p6,2026,1053.109635
CO2,biopower,p6,2029,1053.60452
CO2,biopower,p6,2032,333.019109
CO2,biopower,p6,2035,333.019109
CO2,biopower,p6,2038,333.019109
CO2,biopower,p6,2041,333.019109
CO2,biopower,p6,2044,333.019109
CO2,biopower,p6,2047,333.019109
CO2,biopower,p6,2050,333.019109
CO2,biopower,p8,2010,5713.775739
CO2,biopower,p8,2015,7860.602917
CO2,biopower,p8,2020,7860.602917
CO2,biopower,p8,2023,5890.893921
CO2,biopower,p8,2026,5656.407892
CO2,biopower,p8,2029,723.397514
CO2,biopower,p8,2032,1024.195157
CO2,biopower,p9,2010,16994.441695
CO2,biopower,p9,2015,111665.601165
CO2,biopower,p9,2020,96623.36754
CO2,biopower,p9,2023,37203.393218
CO2,biopower,p9,2026,44451.501723
CO2,biopower,p9,2029,23142.93804
CO2,biopower,p9,2032,22422.266432
CO2,biopower,p9,2035,8206.282916
CO2,biopower,p9,2038,6626.346468
CO2,biopower,p9,2041,3744.490919
CO2,biopower,p9,2044,2960.428413
CO2,biopower,p9,2047,1858.868295
CO2,biopower,p9,2050,1097.93057
CO2,biopower,p10,2010,15360.307873
CO2,biopower,p10,2015,40557.564107
CO2,biopower,p10,2020,46684.030334
CO2,biopower,p10,2023,30412.029256
CO2,biopower,p10,2026,35071.136109
CO2,biopower,p10,2029,20592.046003
CO2,biopower,p10,2032,22615.629792
CO2,biopower,p10,2035,19354.335418
CO2,biopower,p10,2038,5309.874472
CO2,biopower,p10,2041,3031.932126
CO2,biopower,p10,2044,2598.993389
CO2,biopower,p10,2047,860.540177
CO2,biopower,p10,2050,860.540177
CO2,biopower,p14,2010,157.05769
CO2,biopower,p14,2015,157.05769
CO2,biopower,p14,2020,157.05769
CO2,biopower,p14,2023,157.05769
CO2,biopower,p14,2026,157.05769
CO2,biopower,p15,2010,164.078654
CO2,biopower,p15,2015,448.598023
CO2,biopower,p15,2020,448.598023
CO2,biopower,p15,2023,448.598023
CO2,biopower,p15,2026,448.598023
CO2,biopower,p15,2029,385.476377
CO2,biopower,p15,2032,1172.422815
CO2,biopower,p15,2035,1200.224076
CO2,biopower,p15,2038,905.766368
CO2,biopower,p15,2041,1063.952078
CO2,biopower,p15,2044,740.141273
CO2,biopower,p15,2047,793.649896
CO2,biopower,p15,2050,637.418024
CO2,biopower,p16,2015,87.27588
CO2,biopower,p16,2020,87.27588
CO2,biopower,p16,2023,87.27588
CO2,biopower,p16,2026,87.27588
CO2,biopower,p16,2029,103.950491
CO2,biopower,p16,2032,332.311473
CO2,biopower,p16,2035,306.80583
CO2,biopower,p16,2038,279.763986
CO2,biopower,p16,2041,277.910559
CO2,biopower,p16,2044,215.385597
CO2,biopower,p16,2047,209.376782
CO2,biopower,p16,2050,164.456625
CO2,biopower,p25,2015,52.365528
CO2,biopower,p25,2020,52.365528
CO2,biopower,p25,2023,52.365528
CO2,biopower,p25,2026,52.365528
CO2,biopower,p25,2029,52.365528
CO2,biopower,p25,2032,52.365528
CO2,biopower,p25,2035,111.37992
CO2,biopower,p25,2038,52.365528
CO2,biopower,p25,2041,70.25542
CO2,biopower,p25,2044,52.365528
CO2,biopower,p25,2047,52.365528
CO2,biopower,p25,2050,52.365528
CO2,biopower,p28,2010,482.403354
CO2,biopower,p28,2015,482.403354
CO2,biopower,p28,2020,482.403354
CO2,biopower,p28,2023,482.403354
CO2,biopower,p28,2026,482.403354
CO2,biopower,p28,2029,482.403354
CO2,biopower,p28,2032,482.403354
CO2,biopower,p28,2035,482.403354
CO2,biopower,p28,2038,482.403354
CO2,biopower,p28,2041,482.403354
CO2,biopower,p28,2044,482.403354
CO2,biopower,p28,2047,482.403354
CO2,biopower,p28,2050,482.403354
CO2,biopower,p29,2010,64.137654
CO2,biopower,p29,2015,64.137654
CO2,biopower,p29,2020,64.137654
CO2,biopower,p29,2023,64.137654
CO2,biopower,p29,2026,64.137654
CO2,biopower,p29,2029,64.137654
CO2,biopower,p29,2032,64.137654
CO2,biopower,p29,2035,64.137654
CO2,biopower,p29,2038,64.137654
CO2,biopower,p29,2041,64.137654
CO2,biopower,p29,2044,64.137654
CO2,biopower,p29,2047,64.137654
CO2,biopower,p31,2010,47.217171
CO2,biopower,p31,2015,47.217171
CO2,biopower,p31,2020,47.217171
CO2,biopower,p31,2023,47.217171
CO2,biopower,p31,2026,47.217171
CO2,biopower,p31,2029,47.217171
CO2,biopower,p33,2010,214.539303
CO2,biopower,p33,2015,390.995942
CO2,biopower,p33,2020,390.995942
CO2,biopower,p33,2023,390.995942
CO2,biopower,p33,2026,390.995942
CO2,biopower,p33,2029,390.995942
CO2,biopower,p33,2032,332.250272
CO2,biopower,p33,2035,510.874827
CO2,biopower,p33,2038,311.461654
CO2,biopower,p33,2041,313.002792
CO2,biopower,p33,2044,312.103795
CO2,biopower,p33,2047,231.098715
CO2,biopower,p33,2050,219.935218
CO2,biopower,p43,2010,1945.013435
CO2,biopower,p43,2015,2065.631345
CO2,biopower,p43,2020,1082.548933
CO2,biopower,p43,2023,1116.260333
CO2,biopower,p43,2026,1115.113229
CO2,biopower,p43,2029,1063.733821
CO2,biopower,p43,2032,1071.513429
CO2,biopower,p43,2035,1093.21525
