eall,r,t,dr,Value
CH4,p1,2020,2.5,636426255.4871
CH4,p1,2020,2.0,783293852.9072
CH4,p1,2020,1.5,1125984913.5541
CH4,p1,2023,2.5,350434198.07472
CH4,p1,2023,2.0,435674948.95776
CH4,p1,2023,1.5,608524249.35948
CH4,p1,2026,2.5,743966157.50474
CH4,p1,2026,2.0,932198558.80112
CH4,p1,2026,1.5,1272809570.6707602
CH4,p1,2029,2.5,795596606.4092001
CH4,p1,2029,2.0,1003143547.2116002
CH4,p1,2029,1.5,1344731220.6155503
CH4,p1,2032,2.5,2571583697.1494803
CH4,p1,2032,2.0,3220721329.4396405
CH4,p1,2032,1.5,4244361441.8972006
CH4,p1,2035,2.5,3943467236.5775
CH4,p1,2035,2.0,4886470271.41125
CH4,p1,2035,1.5,6343838597.9725
CH4,p1,2038,2.5,5721969345.334841
CH4,p1,2038,2.0,7028560770.647521
CH4,p1,2038,1.5,9010975346.984001
CH4,p1,2041,2.5,6176422378.468921
CH4,p1,2041,2.0,7531680526.262461
CH4,p1,2041,1.5,9575676421.295341
CH4,p1,2044,2.5,8017915880.34554
CH4,p1,2044,2.0,9717076861.610819
CH4,p1,2044,1.5,12318917114.173279
CH4,p1,2047,2.5,9587258535.691141
CH4,p1,2047,2.0,11557646026.15527
CH4,p1,2047,1.5,14616157951.65183
CH4,p1,2050,2.5,12049983483.51
CH4,p1,2050,2.0,14459980180.212
CH4,p1,2050,1.5,18247117846.458
CH4,p10,2020,2.5,2624013978.0374
CH4,p10,2020,2.0,3229555665.2767997
CH4,p10,2020,1.5,4642486268.8354
CH4,p10,2023,2.5,5604118886.56408
CH4,p10,2023,2.0,6967282940.05264
CH4,p10,2023,1.5,9731476715.18222
CH4,p10,2026,2.5,4838409812.31524
CH4,p10,2026,2.0,6062585788.92512
CH4,p10,2026,1.5,8277761365.64776
CH4,p10,2029,2.5,5925229779.92648
CH4,p10,2029,2.0,7470941896.42904
CH4,p10,2029,1.5,10014926421.50617
CH4,p10,2032,2.5,5326329849.86588
CH4,p10,2032,2.0,6670840297.40484
CH4,p10,2032,1.5,8791029849.2932
CH4,p10,2035,2.5,5210800994.6849
CH4,p10,2035,2.0,6456862102.10955
CH4,p10,2035,1.5,8382592904.4931
CH4,p10,2038,2.5,5230064423.97266
CH4,p10,2038,2.0,6424331103.462481
CH4,p10,2038,1.5,8236321927.516001
CH4,p10,2041,2.5,5315554614.836861
CH4,p10,2041,2.0,6481917318.09243
CH4,p10,2041,1.5,8241021723.002471
CH4,p10,2044,2.5,5601253648.34012
CH4,p10,2044,2.0,6788274289.04796
CH4,p10,2044,1.5,8605899645.13184
CH4,p10,2047,2.5,5929547659.45966
CH4,p10,2047,2.0,7148197025.05413
CH4,p10,2047,1.5,9039831861.20077
CH4,p10,2050,2.5,5828604530.2065
CH4,p10,2050,2.0,6994325436.2478
CH4,p10,2050,1.5,8826172574.3127
CH4,p100,2020,2.5,823819603.2559999
CH4,p100,2020,2.0,1013931819.392
CH4,p100,2020,1.5,1457526990.376
CH4,p100,2023,2.5,1019922903.82048
CH4,p100,2023,2.0,1268012258.80384
CH4,p100,2023,1.5,1771082339.74232
CH4,p100,2026,2.5,1243684440.6541998
CH4,p100,2026,2.0,1558351588.2896
CH4,p100,2026,1.5,2127749284.0108
