sys_costs,i,r,t,Value
inv_h2_production,electrolyzer,p31,2029,58248237.095418
inv_h2_production,electrolyzer,p127,2041,670319177.809439
inv_h2_production,electrolyzer,p127,2044,15009116.541284
inv_h2_production,electrolyzer,p127,2047,5600026.228224
inv_h2_production,electrolyzer,p127,2050,4216110.745909
inv_investment_capacity_costs,battery_4,p6,2026,3412569.2986
inv_investment_capacity_costs,battery_4,p6,2041,2668138.7675
inv_investment_capacity_costs,battery_4,p7,2026,291899.5464
inv_investment_capacity_costs,battery_4,p8,2029,201542458.8
inv_investment_capacity_costs,battery_4,p8,2044,356310247.2975
inv_investment_capacity_costs,battery_4,p9,2015,18130771.2
inv_investment_capacity_costs,battery_4,p9,2020,2015193.056
inv_investment_capacity_costs,battery_4,p9,2023,4246538041.15187
inv_investment_capacity_costs,battery_4,p9,2026,306368537.86
inv_investment_capacity_costs,battery_4,p9,2050,38235424.30989
inv_investment_capacity_costs,battery_4,p10,2015,8986063.476
inv_investment_capacity_costs,battery_4,p10,2020,284049910.4256
inv_investment_capacity_costs,battery_4,p10,2023,9661312454.478575
inv_investment_capacity_costs,battery_4,p10,2026,3122707331.205
inv_investment_capacity_costs,battery_4,p10,2038,842828030.524843
inv_investment_capacity_costs,battery_4,p10,2041,1482336266.09628
inv_investment_capacity_costs,battery_4,p10,2050,286376670.777455
inv_investment_capacity_costs,battery_4,p11,2015,12094735.288
inv_investment_capacity_costs,battery_4,p11,2020,668454543.432
inv_investment_capacity_costs,battery_4,p11,2023,416025983.52
inv_investment_capacity_costs,battery_4,p11,2026,466068795.4692
inv_investment_capacity_costs,battery_4,p11,2041,1576151060.67481
inv_investment_capacity_costs,battery_4,p12,2029,217460817.206818
inv_investment_capacity_costs,battery_4,p12,2044,42370044.610674
inv_investment_capacity_costs,battery_4,p12,2050,309270902.487659
inv_investment_capacity_costs,battery_4,p13,2023,94983507.6752
inv_investment_capacity_costs,battery_4,p13,2026,810351130.3888
inv_investment_capacity_costs,battery_4,p13,2029,1386638909.415754
inv_investment_capacity_costs,battery_4,p13,2044,956432294.455122
inv_investment_capacity_costs,battery_4,p13,2047,92910047.48761
inv_investment_capacity_costs,battery_4,p15,2023,245527826.178
