i,r,t,Value
battery_4,p6,2026,-68.226581
battery_4,p6,2029,-234.961213
battery_4,p6,2032,-371.930348
battery_4,p6,2035,-440.360858
battery_4,p6,2038,-415.267469
battery_4,p6,2041,-542.112819
battery_4,p6,2044,-544.770914
battery_4,p6,2047,-563.291221
battery_4,p6,2050,-496.770571
battery_4,p7,2026,-7.635631
battery_4,p7,2029,-20.95629
battery_4,p7,2032,-35.326067
battery_4,p7,2035,-41.823286
battery_4,p7,2038,-37.313811
battery_4,p8,2029,-32231.385856
battery_4,p8,2032,-33149.306942
battery_4,p8,2035,-42714.251605
battery_4,p8,2038,-42189.254826
battery_4,p8,2041,-73937.832201
battery_4,p8,2044,-108417.414248
battery_4,p8,2047,-113245.265322
battery_4,p8,2050,-109709.294886
battery_4,p9,2020,-177.038754
battery_4,p9,2023,-194632.124763
battery_4,p9,2026,-381090.213619
battery_4,p9,2029,-444386.966764
battery_4,p9,2032,-515374.92677
battery_4,p9,2035,-546718.590703
battery_4,p9,2038,-223897.412178
battery_4,p9,2041,-434903.362083
battery_4,p9,2044,-509020.248405
battery_4,p9,2047,-567826.371427
battery_4,p9,2050,-520035.377829
battery_4,p10,2020,-3441.801249
battery_4,p10,2023,-863335.523066
battery_4,p10,2026,-1392892.055183
battery_4,p10,2029,-1498132.582397
battery_4,p10,2032,-1672464.416811
battery_4,p10,2035,-1729158.631036
battery_4,p10,2038,-990617.234963
battery_4,p10,2041,-564810.075285
battery_4,p10,2044,-589219.260316
battery_4,p10,2047,-588704.379024
battery_4,p10,2050,-549414.949319
battery_4,p11,2020,-7335.234902
battery_4,p11,2023,-67109.654651
battery_4,p11,2026,-125959.201718
battery_4,p11,2029,-158131.462299
battery_4,p11,2032,-185344.42183
battery_4,p11,2035,-121687.881594
battery_4,p11,2038,-85142.600356
battery_4,p11,2041,-213028.529472
battery_4,p11,2044,-206515.349957
battery_4,p11,2047,-205922.125549
battery_4,p11,2050,-193792.688936
battery_4,p12,2032,-225.417424
battery_4,p12,2035,-243.084217
battery_4,p12,2038,-11150.382693
battery_4,p12,2041,-15318.510016
battery_4,p12,2044,-151687.826545
battery_4,p12,2047,-172334.883003
battery_4,p12,2050,-163774.683647
battery_4,p13,2023,-10188.980946
battery_4,p13,2026,-141404.080978
battery_4,p13,2029,-201474.48251
battery_4,p13,2032,-222325.816786
battery_4,p13,2035,-241681.824636
battery_4,p13,2038,-232363.826462
battery_4,p13,2041,-244779.197614
