r,t,Value
p1,2010,41550572.049103
p1,2015,36206319.841729
p1,2020,31651333.145698
p1,2023,37785589.135788
p1,2026,39367958.69344
p1,2029,42070455.419083
p1,2032,37630731.157587
p1,2035,36787251.981837
p1,2038,26191959.037663
p1,2041,28205896.647795
p1,2044,27837942.838998
p1,2047,30120947.281987
p1,2050,25525988.747942
p2,2010,-8456452.982295
p2,2015,868940.454995
p2,2020,-7909466.708317
p2,2023,-4641326.045438
p2,2026,-5374863.58701
p2,2029,-8896772.557471
p2,2032,-11249241.617253
p2,2035,-11578848.371185
p2,2038,-7944311.545492
p2,2041,-10611680.042941
p2,2044,-8743281.314668
p2,2047,-10032258.732664
p2,2050,-9230032.278289
p3,2010,7958131.463475
p3,2015,4601346.366927
p3,2020,4005171.938891
p3,2023,3890340.8859
p3,2026,5086590.892415
p3,2029,5805928.557072
p3,2032,6170912.13109
p3,2035,7343366.104906
p3,2038,5279659.555247
p3,2041,5999870.92477
p3,2044,6549124.737803
p3,2047,6298301.647734
p3,2050,4878925.628508
p4,2010,-49256252.282367
p4,2015,-56707927.412528
p4,2020,-65791099.16611
p4,2023,-65580186.061476
p4,2026,-65537503.745393
p4,2029,-66410769.775044
p4,2032,-65956596.007417
p4,2035,-64334697.067053
p4,2038,-64061316.627774
p4,2041,-63378740.29142
p4,2044,-65638282.37229
p4,2047,-65336639.665344
p4,2050,-65160006.074094
p5,2010,-7769566.862933
p5,2015,-4344819.916473
p5,2020,-13684126.0545
p5,2023,-6760076.60324
p5,2026,-5289419.461693
p5,2029,-3072483.282356
p5,2032,3605425.802945
p5,2035,9057771.923364
p5,2038,16670227.23227
p5,2041,19702259.289079
p5,2044,25701524.275884
p5,2047,27937030.911968
p5,2050,32534643.497776
p6,2010,5579303.843424
p6,2015,7299361.890205
p6,2020,6246729.744115
p6,2023,7727334.174776
p6,2026,9828984.758493
p6,2029,12207507.408056
p6,2032,13022638.773114
p6,2035,11521197.705068
p6,2038,13306446.815245
p6,2041,14847406.474439
p6,2044,16459529.895208
p6,2047,18004539.728365
p6,2050,17932348.443584
p7,2010,121018.8315
p7,2015,258743.164428
p7,2020,-564575.454843
p7,2023,-1452187.204982
p7,2026,-1046916.520634
p7,2029,-7556751.421956
p7,2032,-15338693.755459
p7,2035,-18334205.96639
p7,2038,-21592243.462125
p7,2041,-25277614.320332
p7,2044,-27164000.145875
p7,2047,-29986097.59123
p7,2050,-31758746.304518
p8,2010,905661.020323
p8,2015,944671.872712
p8,2020,796575.469912
p8,2023,969338.822205
p8,2026,42521.195791
p8,2029,-1000827.819827
p8,2032,-1036332.68826
p8,2035,-926848.552081
p8,2038,-778190.979605
p8,2041,-876627.827507
p8,2044,-970568.962
p8,2047,-1036018.760301
p8,2050,-1154649.074549
p9,2010,5273364.300261
p9,2015,2909456.791147
p9,2020,23810852.096961
p9,2023,12798185.870033
p9,2026,14150195.67762
p9,2029,12181534.42146
p9,2032,20414855.627193
p9,2035,24847576.072435
p9,2038,25109701.679185
p9,2041,26619331.401262
p9,2044,25905966.933796
p9,2047,24843738.452863
p9,2050,27726462.932063
p10,2010,40699823.258776
p10,2015,9728529.659136
p10,2020,48434521.035466
p10,2023,31321902.039307
p10,2026,33158142.74833
p10,2029,44143086.114206
p10,2032,66449546.356997
p10,2035,55115500.594744
p10,2038,44284881.87214
p10,2041,37954330.082743
p10,2044,33623757.549933
p10,2047,35202976.275912
p10,2050,46945469.401108
p11,2010,8463874.796275
p11,2015,711909.140051
p11,2020,13166147.188904
p11,2023,10417592.620057
p11,2026,10373546.678718
p11,2029,9655944.465007
p11,2032,3689003.299368
p11,2035,5696092.836862
p11,2038,8584919.376146
p11,2041,11371523.320026
p11,2044,11685834.681588
p11,2047,11489187.873612
p11,2050,6746726.451034
p12,2010,1245797.598216
p12,2015,-685227.411967
p12,2020,-5762052.136648
p12,2023,-1514346.581184
p12,2026,-3615767.521966
p12,2029,-4474754.741987
p12,2032,-2584125.325489
p12,2035,860966.68821
p12,2038,-1042541.486618
p12,2041,-969090.375673
p12,2044,-1452992.866709
p12,2047,-3983816.509341
p12,2050,-3469221.522654
p13,2010,-9403384.761012
p13,2015,-10228660.111148
p13,2020,-14927755.173429
p13,2023,-5140771.782595
p13,2026,-7343599.728927
p13,2029,-5640305.373571
p13,2032,-25213749.564154
p13,2035,-40746434.916147
p13,2038,-38881560.374772
p13,2041,-41163289.747555
p13,2044,-42763004.106625
p13,2047,-43640195.907557
p13,2050,-47980967.992819
p14,2010,2218172.719349
p14,2015,1703249.05548
p14,2020,1327695.259999
p14,2023,2758978.271863
p14,2026,2085583.188775
p14,2029,2770087.719235
p14,2032,2189851.224686
p14,2035,2524543.100781
p14,2038,2856807.709289
p14,2041,1023630.620164
p14,2044,-1593864.626541
p14,2047,-1143250.116316
p14,2050,-772606.032825
p15,2010,7790123.2017
p15,2015,6135591.285692
p15,2020,5113012.877527
p15,2023,6600715.732778
p15,2026,6625192.868214
p15,2029,7705034.093193
p15,2032,8898936.277989
p15,2035,8679493.809167
p15,2038,10073452.018658
p15,2041,11205484.446133
p15,2044,11765923.358627
p15,2047,12418700.227621
p15,2050,11233413.604347
p16,2010,2853773.166727
p16,2015,2006114.275135
p16,2020,1920304.865535
p16,2023,1226063.473795
p16,2026,1302926.966036
p16,2029,-2565026.731957
p16,2032,-8363311.341794
p16,2035,-7893469.816629
p16,2038,-7951205.20287
p16,2041,-7601884.312913
p16,2044,-8061509.225133
p16,2047,-10099027.765279
p16,2050,-11227927.636492
p17,2010,1568578.807435
p17,2015,1275284.0637
p17,2020,843003.969957
p17,2023,1172385.523953
p17,2026,1565576.266896
p17,2029,2044230.735731
p17,2032,2883167.952562
p17,2035,3777051.331437
p17,2038,4630914.498669
p17,2041,4577169.695248
p17,2044,5380523.918659
p17,2047,5757403.686532
p17,2050,6309185.082913
p18,2010,-92482.029389
p18,2015,-396640.33464
p18,2020,-952330.975572
p18,2023,-2258868.550864
p18,2026,-2969181.203274
p18,2029,-2528850.056774
p18,2032,-2056767.862256
p18,2035,-5736787.026697
p18,2038,-6415180.803476
p18,2041,-7668705.811529
p18,2044,-7348228.376939
p18,2047,-7456360.913897
p18,2050,-7468930.403856
p20,2010,-13651419.769374
p20,2015,-536447.041336
p20,2020,232236.937979
p20,2023,-4748398.183085
p20,2026,-5751210.878527
p20,2029,-7128053.386031
p20,2032,-8605107.104642
p20,2035,-8443015.350569
p20,2038,-8816149.600204
p20,2041,-9214311.550086
p20,2044,-11331745.602937
p20,2047,-12365914.516715
p20,2050,-13427361.798192
p21,2010,-9893257.759531
p21,2015,-177443.737573
p21,2020,-364802.441823
p21,2023,-7880709.285598
p21,2026,-6526053.067451
p21,2029,-5567397.2482
p21,2032,-5011171.675061
p21,2035,-3931013.234772
p21,2038,3056771.430591
p21,2041,2287159.915407
p21,2044,2264639.53963
p21,2047,947816.784811
p21,2050,1774841.957151
p22,2010,1508273.499
p22,2015,1492247.472
p22,2020,1352162.886
p22,2023,1464885.966
p22,2026,1600357.581
p22,2029,1759725.3198
p22,2032,1913761.617142
p22,2035,2067974.814742
p22,2038,2192723.738815
p22,2041,1210712.571126
p22,2044,1129769.990717
p22,2047,1221863.008217
p22,2050,1021113.207883
p23,2010,-1928335.547116
p23,2015,492006.765
p23,2020,386671.5066
p23,2023,481100.8308
p23,2026,565686.9066
p23,2029,-1471630.074004
p23,2032,-3417236.243561
p23,2035,-4388180.18813
p23,2038,-4542315.038035
p23,2041,-3861297.399375
p23,2044,-4085100.029653
p23,2047,-3950022.590573
