eall,r,t,dr,Value
CH4,p1,2020,2.5,380767520.0559998
CH4,p1,2020,2.0,468636947.7612306
CH4,p1,2020,1.5,673665612.4067689
CH4,p1,2023,2.5,138885476.8975696
CH4,p1,2023,2.0,172668430.73751897
CH4,p1,2023,1.5,241172753.80186075
CH4,p1,2026,2.5,499050747.4251509
CH4,p1,2026,2.0,625316599.1833216
CH4,p1,2026,1.5,853797664.2695352
CH4,p1,2029,2.5,542934582.2595458
CH4,p1,2029,2.0,684569690.6750795
CH4,p1,2029,1.5,917677473.2756453
CH4,p1,2032,2.5,1148630289.8037786
CH4,p1,2032,2.0,1438575799.8513346
CH4,p1,2032,1.5,1895797565.695557
CH4,p1,2035,2.5,1252969788.5915577
CH4,p1,2035,2.0,1552592998.9069302
CH4,p1,2035,1.5,2015647051.2125058
CH4,p1,2038,2.5,3109487977.014903
CH4,p1,2038,2.0,3819528538.695472
CH4,p1,2038,1.5,4896831459.86599
CH4,p1,2041,2.5,3340183937.0178304
CH4,p1,2041,2.0,4073101995.140448
CH4,p1,2041,1.5,5178486607.390953
CH4,p1,2044,2.5,4106996376.4355497
CH4,p1,2044,2.0,4977353224.421891
CH4,p1,2044,1.5,6310087147.900977
CH4,p1,2047,2.5,4613333408.240723
CH4,p1,2047,2.0,5561472482.940503
CH4,p1,2047,1.5,7033210748.146132
CH4,p1,2050,2.5,6368943184.951844
CH4,p1,2050,2.0,7642731821.942213
CH4,p1,2050,1.5,9644399680.069937
CH4,p10,2020,2.5,3358848883.833057
CH4,p10,2020,2.0,4133967857.025301
CH4,p10,2020,1.5,5942578794.47387
CH4,p10,2023,2.5,5094454786.137215
CH4,p10,2023,2.0,6333646490.873295
CH4,p10,2023,1.5,8846451892.143677
CH4,p10,2026,2.5,3928813132.103835
CH4,p10,2026,2.0,4922850189.624083
CH4,p10,2026,1.5,6721583912.7559595
CH4,p10,2029,2.5,4164094033.9151096
CH4,p10,2029,2.0,5250379434.066877
CH4,p10,2029,1.5,7038224155.149994
CH4,p10,2032,2.5,3017723102.672725
CH4,p10,2032,2.0,3779478448.9784617
CH4,p10,2032,1.5,4980708033.537507
CH4,p10,2035,2.5,2844854338.699379
CH4,p10,2035,2.0,3525145593.605753
CH4,p10,2035,1.5,4576504805.733784
CH4,p10,2038,2.5,2964596694.23544
CH4,p10,2038,2.0,3641551844.887627
CH4,p10,2038,1.5,4668656211.394393
CH4,p10,2041,2.5,3134263907.9167433
CH4,p10,2041,2.0,3821998074.7617836
CH4,p10,2041,1.5,4859236490.331353
CH4,p10,2044,2.5,3237687645.726011
CH4,p10,2044,2.0,3923820126.93947
CH4,p10,2044,1.5,4974460488.79758
CH4,p10,2047,2.5,3235541306.965636
CH4,p10,2047,2.0,3900514520.360413
CH4,p10,2047,1.5,4932711747.122457
CH4,p10,2050,2.5,3399704638.0213833
CH4,p10,2050,2.0,4079645565.6256604
CH4,p10,2050,1.5,5148124166.146667
CH4,p100,2020,2.5,614882021.2179421
CH4,p100,2020,2.0,756777872.2682364
CH4,p100,2020,1.5,1087868191.38559
CH4,p100,2023,2.5,649815839.4908792
CH4,p100,2023,2.0,807879151.7994714
CH4,p100,2023,1.5,1128396423.9807835
CH4,p100,2026,2.5,854235567.3961201
CH4,p100,2026,2.0,1070367457.9421263
CH4,p100,2026,1.5,1461463259.8825185
CH4,p100,2029,2.5,649699414.0077345
CH4,p100,2029,2.0,819186217.6619262
CH4,p100,2029,1.5,1098133248.6761167
CH4,p100,2032,2.5,631919825.8386521
CH4,p100,2032,2.0,791433568.2833605
CH4,p100,2032,1.5,1042974469.830785
CH4,p100,2035,2.5,585083874.2684602
CH4,p100,2035,2.0,724995235.5065701
CH4,p100,2035,1.5,941221884.6927402
CH4,p100,2038,2.5,470739878.61645746
CH4,p100,2038,2.0,578231661.9225777
CH4,p100,2038,1.5,741322643.4904842
CH4,p100,2041,2.5,595805734.6170833
CH4,p100,2041,2.0,726540086.4575225
CH4,p100,2041,1.5,923713207.2660537
CH4,p100,2044,2.5,526068678.8809167
CH4,p100,2044,2.0,637553432.0212435
CH4,p100,2044,1.5,808264460.2673688
CH4,p101,2020,2.5,14832690770.577951
CH4,p101,2020,2.0,18255619409.942093
CH4,p101,2020,1.5,26242452901.79176
CH4,p101,2023,2.5,15561283319.222143
CH4,p101,2023,2.0,19346460342.816715
CH4,p101,2023,1.5,27021958196.216824
CH4,p101,2026,2.5,14624193051.341972
CH4,p101,2026,2.0,18324290088.428493
CH4,p101,2026,1.5,25019703774.58506
CH4,p101,2029,2.5,14991137222.477034
CH4,p101,2029,2.0,18901868671.818867
CH4,p101,2029,1.5,25338280848.860634
CH4,p101,2032,2.5,16904854192.829147
CH4,p101,2032,2.0,21172098940.533592
CH4,p101,2032,1.5,27901215658.06752
CH4,p101,2035,2.5,17523180458.040367
CH4,p101,2035,2.0,21713506219.74567
CH4,p101,2035,1.5,28189464215.10842
CH4,p101,2038,2.5,19936559495.753372
CH4,p101,2038,2.0,24489002215.256107
CH4,p101,2038,1.5,31396156686.22578
CH4,p101,2041,2.5,21279862280.117752
CH4,p101,2041,2.0,25949184578.99251
CH4,p101,2041,1.5,32991441160.90198
CH4,p101,2044,2.5,24281804477.791504
CH4,p101,2044,2.0,29427617347.257256
CH4,p101,2044,1.5,37307143303.626686
CH4,p101,2047,2.5,25974532934.44641
CH4,p101,2047,2.0,31312857187.84491
CH4,p101,2047,1.5,39599211252.82168
CH4,p101,2050,2.5,28776013820.911205
CH4,p101,2050,2.0,34531216585.093445
CH4,p101,2050,1.5,43575106643.09411
CH4,p102,2020,2.5,5944438005.40281
CH4,p102,2020,2.0,7316231391.264997
CH4,p102,2020,1.5,10517082624.943432
CH4,p102,2023,2.5,6591548305.324967
CH4,p102,2023,2.0,8194897893.106716
CH4,p102,2023,1.5,11446134557.219707
CH4,p102,2026,2.5,5952134927.910482
CH4,p102,2026,2.0,7458096777.140845
CH4,p102,2026,1.5,10183170599.557692
CH4,p102,2029,2.5,6154085830.013568
CH4,p102,2029,2.0,7759499524.799717
CH4,p102,2029,1.5,10401742897.468586
CH4,p102,2032,2.5,7033548690.964219
CH4,p102,2032,2.0,8809007583.828974
CH4,p102,2032,1.5,11608769684.115702
CH4,p102,2035,2.5,8398858717.480138
CH4,p102,2035,2.0,10407281454.268866
CH4,p102,2035,1.5,13511207502.033264
CH4,p102,2038,2.5,10004591509.089613
CH4,p102,2038,2.0,12289104530.850231
CH4,p102,2038,1.5,15755262219.038761
CH4,p102,2041,2.5,11414132181.19319
CH4,p102,2041,2.0,13918671976.347092
CH4,p102,2041,1.5,17696010683.79232
CH4,p102,2044,2.5,13378181055.651827
CH4,p102,2044,2.0,16213292272.743605
CH4,p102,2044,1.5,20554556323.91539
CH4,p102,2047,2.5,15086827696.722086
CH4,p102,2047,2.0,18187494738.68644
CH4,p102,2047,1.5,23000470445.616188
CH4,p102,2050,2.5,15871040049.254911
CH4,p102,2050,2.0,19045248059.105896
CH4,p102,2050,1.5,24033289217.443157
CH4,p103,2020,2.5,4936586520.438424
CH4,p103,2020,2.0,6075798794.385754
CH4,p103,2020,1.5,8733960766.92952
CH4,p103,2023,2.5,4753666471.274239
CH4,p103,2023,2.0,5909963721.043648
CH4,p103,2023,1.5,8254677588.631617
CH4,p103,2026,2.5,4634931827.585017
CH4,p103,2026,2.0,5807625422.516167
CH4,p103,2026,1.5,7929642403.820149
CH4,p103,2029,2.5,4231733999.964828
CH4,p103,2029,2.0,5335664608.651305
CH4,p103,2029,1.5,7152550402.114465
CH4,p103,2032,2.5,6113975900.983296
CH4,p103,2032,2.0,7657309623.5616045
CH4,p103,2032,1.5,10091028186.088936
CH4,p103,2035,2.5,7746062219.263346
CH4,p103,2035,2.0,9598381445.608929
CH4,p103,2035,1.5,12461056613.597555
CH4,p103,2038,2.5,10400564506.298916
CH4,p103,2038,2.0,12775496558.918352
CH4,p103,2038,1.5,16378841742.203018
CH4,p103,2041,2.5,12686991025.815836
CH4,p103,2041,2.0,15470827186.15672
CH4,p103,2041,1.5,19669399755.85117
CH4,p103,2044,2.5,15382959835.269556
CH4,p103,2044,2.0,18642924833.472378
