sys_costs,i,r,t,Value
inv_h2_production,electrolyzer,p127,2041,884976351.54213
inv_h2_production,electrolyzer,p127,2044,539926.738747
inv_h2_production,electrolyzer,p127,2047,12078961.390198
inv_h2_production,electrolyzer,p127,2050,80803291.020122
inv_investment_capacity_costs,battery_4,p6,2026,3412569.2986
inv_investment_capacity_costs,battery_4,p6,2041,2668138.7675
inv_investment_capacity_costs,battery_4,p7,2026,291899.5464
inv_investment_capacity_costs,battery_4,p8,2029,201542458.8
inv_investment_capacity_costs,battery_4,p8,2038,7708807.632873
inv_investment_capacity_costs,battery_4,p8,2041,132664971.017484
inv_investment_capacity_costs,battery_4,p8,2044,295751398.102727
inv_investment_capacity_costs,battery_4,p9,2015,18130771.2
inv_investment_capacity_costs,battery_4,p9,2020,2015193.056
inv_investment_capacity_costs,battery_4,p9,2023,4246538041.15187
inv_investment_capacity_costs,battery_4,p9,2026,306368537.86
inv_investment_capacity_costs,battery_4,p9,2038,730013206.960926
inv_investment_capacity_costs,battery_4,p9,2041,1111367308.644378
inv_investment_capacity_costs,battery_4,p9,2044,213274347.22455
inv_investment_capacity_costs,battery_4,p9,2047,233965280.722068
inv_investment_capacity_costs,battery_4,p10,2015,8986063.476
inv_investment_capacity_costs,battery_4,p10,2020,284049910.4256
inv_investment_capacity_costs,battery_4,p10,2023,9661312454.478575
inv_investment_capacity_costs,battery_4,p10,2026,3122707331.205
inv_investment_capacity_costs,battery_4,p10,2038,1706459076.533187
inv_investment_capacity_costs,battery_4,p10,2041,579693062.172467
inv_investment_capacity_costs,battery_4,p10,2044,146588042.797801
inv_investment_capacity_costs,battery_4,p11,2015,12094735.288
inv_investment_capacity_costs,battery_4,p11,2020,668454543.432
inv_investment_capacity_costs,battery_4,p11,2023,416025983.52
inv_investment_capacity_costs,battery_4,p11,2026,466068795.4692
inv_investment_capacity_costs,battery_4,p11,2041,836467711.321452
inv_investment_capacity_costs,battery_4,p12,2032,1265951.646142
inv_investment_capacity_costs,battery_4,p12,2038,54731922.8448
inv_investment_capacity_costs,battery_4,p12,2041,11911349.87544
inv_investment_capacity_costs,battery_4,p12,2044,542068191.421921
inv_investment_capacity_costs,battery_4,p13,2023,94983507.6752
inv_investment_capacity_costs,battery_4,p13,2026,810351130.3888
inv_investment_capacity_costs,battery_4,p13,2029,300736821.498139
inv_investment_capacity_costs,battery_4,p13,2032,211809862.917092
inv_investment_capacity_costs,battery_4,p13,2041,571035238.377984
inv_investment_capacity_costs,battery_4,p15,2023,245527826.178
inv_investment_capacity_costs,battery_4,p16,2023,3799455.152
inv_investment_capacity_costs,battery_4,p18,2026,144593002.4
inv_investment_capacity_costs,battery_4,p23,2044,183461033.69294
inv_investment_capacity_costs,battery_4,p24,2041,183897260.982985
inv_investment_capacity_costs,battery_4,p25,2029,120879037.787275
inv_investment_capacity_costs,battery_4,p28,2023,1779769540.375886
inv_investment_capacity_costs,battery_4,p28,2026,358817420.5
inv_investment_capacity_costs,battery_4,p29,2044,36781124.063293
inv_investment_capacity_costs,battery_4,p29,2047,26064191.495398
inv_investment_capacity_costs,battery_4,p30,2029,623827441.550794
inv_investment_capacity_costs,battery_4,p31,2023,139163419.056
inv_investment_capacity_costs,battery_4,p31,2026,213109927.8
inv_investment_capacity_costs,battery_4,p31,2044,268763848.147049
inv_investment_capacity_costs,battery_4,p31,2047,509127604.976181
inv_investment_capacity_costs,battery_4,p33,2023,9349100.13
inv_investment_capacity_costs,battery_4,p34,2023,421247841.75
inv_investment_capacity_costs,battery_4,p34,2050,190187136.316953
inv_investment_capacity_costs,battery_4,p37,2029,173737185.12
inv_investment_capacity_costs,battery_4,p39,2050,74614781.491744
inv_investment_capacity_costs,battery_4,p40,2023,1887764.556
inv_investment_capacity_costs,battery_4,p43,2023,1491621.824716
inv_investment_capacity_costs,battery_4,p43,2029,356929250.201218
