,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2010,6.0,2528959652.56,1320489536.8254106,1204045881.6399999,2422029681.965,4497794809.44,6.0,364.78475000000003,190.47144437158818,173.67510000000001,349.3609,648.7756
AL,2015,6.0,606593361.7183334,341714251.6546543,270995700.28,576441996.12,1173257110.09,6.0,87.49686666666666,49.289878197076796,39.0893,83.14775,169.23409999999998
AL,2020,6.0,683934000.9,357449866.41187763,326394925.29999995,656399748.075,1218402338.58,6.0,98.6527,51.55964813875284,47.080200000000005,94.68105,175.74599999999998
AL,2023,6.0,1016153596.09,539660237.9917561,476001651.61,970677589.755,1845795195.0,6.0,146.57305,77.84222549765005,68.6599,140.0135,266.243
AL,2026,6.0,1505806827.3833332,781887805.9268557,722429157.8199999,1445533069.2649999,2659165667.61,6.0,217.20209999999997,112.78187127679696,104.2054,208.50795,383.5662
AL,2029,6.0,1895673957.7133331,1009332447.2373748,887786949.47,1812756945.5749998,3454666961.3999996,6.0,273.4377666666667,145.5891514873092,128.057,261.4776,498.31149999999997
AL,2032,6.0,1164420823.3700001,616456941.6662625,546908659.54,1112610806.01,2107067610.8799999,6.0,167.95953333333333,88.91964007436528,78.88759999999999,160.4863,303.9298
AL,2035,6.0,1792310848.2849998,928713433.3988476,860877588.7199999,1720017816.325,3155716877.06,6.0,258.52833333333336,133.96041784193818,124.1755,248.10060000000001,455.1901
AL,2038,6.0,1980923162.97,1017783387.1112133,957204281.5500001,1900002762.07,3444716976.77,6.0,285.7343333333334,146.80816250337946,138.07,274.0621,496.8765
AL,2041,6.0,1741952135.195,902626422.1379839,836625890.3399999,1671609265.415,3067053470.29,6.0,251.26441666666665,130.19755642418818,120.6774,241.118,442.40099999999995
AL,2044,6.0,1158105892.055,654670088.6365644,515325958.88,1099307341.1,2247231357.25,6.0,167.04871666666668,94.43156494569847,74.3322,158.56745,324.1474
AL,2047,6.0,985729120.745,562930457.8484637,436587695.77000004,936739665.865,1931608305.55,6.0,142.18453333333335,81.19875393400238,62.9747,135.1182,278.6209
