eall,r,t,dr,Value
CH4,p1,2020,2.5,636426255.4871
CH4,p1,2020,2.0,783293852.9072
CH4,p1,2020,1.5,1125984913.5541
CH4,p1,2023,2.5,350381835.7354
CH4,p1,2023,2.0,435609849.83320004
CH4,p1,2023,1.5,608433322.86485
CH4,p1,2026,2.5,743967747.5988201
CH4,p1,2026,2.0,932200551.20816
CH4,p1,2026,1.5,1272812291.07268
CH4,p1,2029,2.5,795561765.586
CH4,p1,2029,2.0,1003099617.478
CH4,p1,2029,1.5,1344672332.05025
CH4,p1,2032,2.5,2564138977.53176
CH4,p1,2032,2.0,3211397360.2096806
CH4,p1,2032,1.5,4232074040.5864005
CH4,p1,2035,2.5,3959139319.9123
CH4,p1,2035,2.0,4905890026.84785
CH4,p1,2035,1.5,6369050210.2937
CH4,p1,2038,2.5,5720252462.12904
CH4,p1,2038,2.0,7026451843.24512
CH4,p1,2038,1.5,9008271593.904
CH4,p1,2041,2.5,6150877120.5874
CH4,p1,2041,2.0,7500530013.9537
CH4,p1,2041,1.5,9536072082.6373
CH4,p1,2044,2.5,8001532356.0677595
CH4,p1,2044,2.0,9697221332.18808
CH4,p1,2044,1.5,12293745076.87232
CH4,p1,2047,2.5,9617617746.79206
CH4,p1,2047,2.0,11594244707.02233
CH4,p1,2047,1.5,14662441779.61857
CH4,p1,2050,2.5,12032303294.0215
CH4,p1,2050,2.0,14438763952.8258
CH4,p1,2050,1.5,18220344988.0897
CH4,p10,2020,2.5,2624026953.8444
CH4,p10,2020,2.0,3229571635.5007997
CH4,p10,2020,1.5,4642509226.0324
CH4,p10,2023,2.5,5604120620.575001
CH4,p10,2023,2.0,6967285095.85
CH4,p10,2023,1.5,9731479726.268751
CH4,p10,2026,2.5,4838129414.46768
CH4,p10,2026,2.0,6062234447.04384
CH4,p10,2026,1.5,8277281648.84832
CH4,p10,2029,2.5,5925301906.69552
CH4,p10,2029,2.0,7471032838.87696
CH4,p10,2029,1.5,10015048331.42558
CH4,p10,2032,2.5,5327564195.21826
CH4,p10,2032,2.0,6672386225.079181
CH4,p10,2032,1.5,8793067118.3214
CH4,p10,2035,2.5,5206714274.0745
CH4,p10,2035,2.0,6451798122.222751
CH4,p10,2035,1.5,8376018614.8155
CH4,p10,2038,2.5,5237750323.5817795
CH4,p10,2038,2.0,6433772051.01384
CH4,p10,2038,1.5,8248425706.4279995
CH4,p10,2041,2.5,5308564455.35162
CH4,p10,2041,2.0,6473393346.633809
CH4,p10,2041,1.5,8230184461.354489
CH4,p10,2044,2.5,5595482997.49838
CH4,p10,2044,2.0,6781280718.822539
CH4,p10,2044,1.5,8597033479.600159
CH4,p10,2047,2.5,5925753807.34298
CH4,p10,2047,2.0,7143623454.86439
CH4,p10,2047,1.5,9034047982.36031
CH4,p10,2050,2.5,5847959488.042
CH4,p10,2050,2.0,7017551385.6504
CH4,p10,2050,1.5,8855481510.4636
CH4,p100,2020,2.5,823678625.1238999
CH4,p100,2020,2.0,1013758307.8448
CH4,p100,2020,1.5,1457277567.5268998
CH4,p100,2023,2.5,1020144203.23584
CH4,p100,2023,2.0,1268287387.80672
CH4,p100,2023,1.5,1771466623.18656
CH4,p100,2026,2.5,1244803152.51548
CH4,p100,2026,2.0,1559753347.7302399
CH4,p100,2026,1.5,2129663224.7855198
