eall,r,t,dr,Value
CH4,p1,2023,2.5,140145299.55118436
CH4,p1,2023,2.0,179376223.90551782
CH4,p1,2023,1.5,244218850.13976282
CH4,p1,2024,2.5,143014504.58911896
CH4,p1,2024,2.0,182990999.9663924
CH4,p1,2024,1.5,248680076.87740502
CH4,p1,2025,2.5,466391861.1830284
CH4,p1,2025,2.0,596901348.4202881
CH4,p1,2025,1.5,810749070.3345399
CH4,p1,2026,2.5,474190099.0828519
CH4,p1,2026,2.0,607160364.5756598
CH4,p1,2026,1.5,823865843.3884163
CH4,p1,2027,2.5,481330486.0790655
CH4,p1,2027,2.0,616504257.2242142
CH4,p1,2027,1.5,836705389.4942116
CH4,p1,2028,2.5,478949952.92385644
CH4,p1,2028,2.0,614126318.7890462
CH4,p1,2028,1.5,833235281.0300767
CH4,p1,2029,2.5,484487512.1295374
CH4,p1,2029,2.0,622136290.1047046
CH4,p1,2029,1.5,844759966.1340659
CH4,p1,2030,2.5,489724561.4285985
CH4,p1,2030,2.0,629858146.53286
CH4,p1,2030,1.5,855492086.0076013
CH4,p1,2031,2.5,916730778.234419
CH4,p1,2031,2.0,1179893862.1478195
CH4,p1,2031,1.5,1603726309.9032147
CH4,p1,2032,2.5,929217133.4653602
CH4,p1,2032,2.0,1197640119.9374273
CH4,p1,2032,1.5,1628827944.9492288
CH4,p1,2033,2.5,940113206.7939876
CH4,p1,2033,2.0,1214236815.1908233
CH4,p1,2033,1.5,1652361360.0556395
CH4,p1,2034,2.5,950924838.5042616
CH4,p1,2034,2.0,1230465768.708991
CH4,p1,2034,1.5,1676325477.4888632
CH4,p1,2035,2.5,960108758.2082644
CH4,p1,2035,2.0,1244885768.5330973
CH4,p1,2035,1.5,1698250618.884867
CH4,p1,2036,2.5,968278991.8597789
CH4,p1,2036,2.0,1257837761.3229575
CH4,p1,2036,1.5,1719161618.9156895
CH4,p1,2037,2.5,2193914126.8870916
CH4,p1,2037,2.0,2857970861.578482
CH4,p1,2037,1.5,3912892143.1572394
CH4,p1,2038,2.5,2208050506.801018
CH4,p1,2038,2.0,2883659109.880998
CH4,p1,2038,1.5,3954551728.9814153
CH4,p1,2039,2.5,2220192182.8007097
CH4,p1,2039,2.0,2907241178.949204
CH4,p1,2039,1.5,3995105579.1624374
CH4,p1,2040,2.5,2176039878.381493
CH4,p1,2040,2.0,2856501438.735386
CH4,p1,2040,1.5,3935239337.6829047
CH4,p1,2041,2.5,2188964669.7733717
CH4,p1,2041,2.0,2881603406.184818
CH4,p1,2041,1.5,3977328476.4848204
CH4,p1,2042,2.5,2200731030.3851485
CH4,p1,2042,2.0,2905459817.826435
CH4,p1,2042,1.5,4018228630.2140703
CH4,p1,2043,2.5,2515355532.1800737
CH4,p1,2043,2.0,3330990633.9259195
CH4,p1,2043,1.5,4616852757.824245
CH4,p1,2044,2.5,2524594384.986975
CH4,p1,2044,2.0,3352676341.592929
CH4,p1,2044,1.5,4657741871.38935
CH4,p1,2045,2.5,2531076013.7032447
CH4,p1,2045,2.0,3372230971.6682577
CH4,p1,2045,1.5,4696414124.192418
CH4,p1,2046,2.5,2637898009.914068
CH4,p1,2046,2.0,3525194319.440926
CH4,p1,2046,1.5,4923089045.815631
CH4,p1,2047,2.5,2640925490.5477815
CH4,p1,2047,2.0,3541330437.3485603
CH4,p1,2047,1.5,4958856114.385346
CH4,p1,2048,2.5,2643018466.9833
CH4,p1,2048,2.0,3555478443.6275835
CH4,p1,2048,1.5,4992490831.019072
CH4,p1,2049,2.5,3391627136.2751393
CH4,p1,2049,2.0,4578823558.833926
CH4,p1,2049,1.5,6447898112.610214
CH4,p1,2050,2.5,3390145679.8883834
CH4,p1,2050,2.0,4592151761.06173
CH4,p1,2050,1.5,6487036152.974215
CH4,p10,2023,2.5,5140561528.867633
CH4,p10,2023,2.0,6579560775.532688
CH4,p10,2023,1.5,8958003084.464811
CH4,p10,2024,2.5,5245804623.596279
CH4,p10,2024,2.0,6712151585.310201
CH4,p10,2024,1.5,9121641897.985657
CH4,p10,2025,2.5,3665359117.8381467
CH4,p10,2025,2.0,4691029115.157727
CH4,p10,2025,1.5,6371651704.409383
CH4,p10,2026,2.5,3726645226.7266803
CH4,p10,2026,2.0,4771654403.750368
CH4,p10,2026,1.5,6474736015.502821
CH4,p10,2027,2.5,3782761305.8432364
CH4,p10,2027,2.0,4845087765.191552
CH4,p10,2027,1.5,6575641608.641617
CH4,p10,2028,2.5,3671110790.09335
CH4,p10,2028,2.0,4707226175.978352
CH4,p10,2028,1.5,6386677798.384259
CH4,p10,2029,2.5,3713555712.0035686
CH4,p10,2029,2.0,4768621927.133017
CH4,p10,2029,1.5,6475013532.795341
CH4,p10,2030,2.5,3753697250.9528174
CH4,p10,2030,2.0,4827809302.097558
