sys_costs,i,r,t,Value
inv_h2_production,electrolyzer,p126,2035,0.0
inv_h2_production,electrolyzer,p127,2041,876531708.057098
inv_h2_production,electrolyzer,p127,2047,11718321.215032
inv_h2_production,electrolyzer,p127,2050,91251545.100087
inv_investment_capacity_costs,battery_4,p6,2026,3412569.2986
inv_investment_capacity_costs,battery_4,p6,2041,2668138.7675
inv_investment_capacity_costs,battery_4,p7,2026,291899.5464
inv_investment_capacity_costs,battery_4,p8,2029,201542458.8
inv_investment_capacity_costs,battery_4,p8,2041,110128724.215872
inv_investment_capacity_costs,battery_4,p8,2044,300464795.173165
inv_investment_capacity_costs,battery_4,p9,2015,18130771.2
inv_investment_capacity_costs,battery_4,p9,2020,2015193.056
inv_investment_capacity_costs,battery_4,p9,2023,4246538041.15187
inv_investment_capacity_costs,battery_4,p9,2026,306368537.86
inv_investment_capacity_costs,battery_4,p9,2038,662587685.247254
inv_investment_capacity_costs,battery_4,p9,2041,967832586.409568
inv_investment_capacity_costs,battery_4,p9,2044,359641022.06037
inv_investment_capacity_costs,battery_4,p9,2047,226456687.002639
inv_investment_capacity_costs,battery_4,p10,2015,8986063.476
inv_investment_capacity_costs,battery_4,p10,2020,284049910.4256
inv_investment_capacity_costs,battery_4,p10,2023,9661312454.478575
inv_investment_capacity_costs,battery_4,p10,2026,3122707331.205
inv_investment_capacity_costs,battery_4,p10,2038,1730533875.450293
inv_investment_capacity_costs,battery_4,p10,2041,830863426.010492
inv_investment_capacity_costs,battery_4,p11,2015,12094735.288
inv_investment_capacity_costs,battery_4,p11,2020,668454543.432
inv_investment_capacity_costs,battery_4,p11,2023,416025983.52
inv_investment_capacity_costs,battery_4,p11,2026,466068795.4692
inv_investment_capacity_costs,battery_4,p11,2041,769014878.190353
inv_investment_capacity_costs,battery_4,p11,2047,7513391.542893
inv_investment_capacity_costs,battery_4,p12,2032,1265951.646141
inv_investment_capacity_costs,battery_4,p12,2038,54731922.8448
inv_investment_capacity_costs,battery_4,p12,2044,528707550.168812
inv_investment_capacity_costs,battery_4,p13,2023,94983507.6752
inv_investment_capacity_costs,battery_4,p13,2026,810351130.3888
inv_investment_capacity_costs,battery_4,p13,2029,297578376.146405
inv_investment_capacity_costs,battery_4,p13,2032,214757098.519817
inv_investment_capacity_costs,battery_4,p13,2041,582891877.3288
inv_investment_capacity_costs,battery_4,p15,2023,245527826.178
inv_investment_capacity_costs,battery_4,p16,2023,3799455.152
inv_investment_capacity_costs,battery_4,p18,2026,144593002.4
inv_investment_capacity_costs,battery_4,p23,2044,210626980.198079
inv_investment_capacity_costs,battery_4,p24,2041,99705730.657156
inv_investment_capacity_costs,battery_4,p25,2029,123975022.123484
inv_investment_capacity_costs,battery_4,p28,2023,1779769540.375886
inv_investment_capacity_costs,battery_4,p28,2026,358817420.5
inv_investment_capacity_costs,battery_4,p29,2044,36781124.063293
inv_investment_capacity_costs,battery_4,p29,2047,26064191.495398
inv_investment_capacity_costs,battery_4,p30,2029,623827441.550794
inv_investment_capacity_costs,battery_4,p31,2023,139163419.056
inv_investment_capacity_costs,battery_4,p31,2026,213109927.8
inv_investment_capacity_costs,battery_4,p31,2044,288136401.709067
inv_investment_capacity_costs,battery_4,p31,2047,538867185.145314
inv_investment_capacity_costs,battery_4,p33,2023,9349100.13
inv_investment_capacity_costs,battery_4,p34,2023,421247841.75
inv_investment_capacity_costs,battery_4,p34,2050,184840328.417874
inv_investment_capacity_costs,battery_4,p37,2029,173737185.12
inv_investment_capacity_costs,battery_4,p39,2050,113930506.250927
inv_investment_capacity_costs,battery_4,p40,2023,1887764.556
inv_investment_capacity_costs,battery_4,p43,2023,1491621.824716
inv_investment_capacity_costs,battery_4,p43,2029,573473960.64
inv_investment_capacity_costs,battery_4,p47,2044,192833778.445142
inv_investment_capacity_costs,battery_4,p47,2047,136164015.501118
inv_investment_capacity_costs,battery_4,p47,2050,434894742.30314
inv_investment_capacity_costs,battery_4,p48,2026,282983624.0
inv_investment_capacity_costs,battery_4,p48,2044,138620481.742677
inv_investment_capacity_costs,battery_4,p48,2047,812061373.777247
inv_investment_capacity_costs,battery_4,p49,2050,32518435.071345
inv_investment_capacity_costs,battery_4,p59,2044,7393976.27574
inv_investment_capacity_costs,battery_4,p59,2047,95416409.670835
inv_investment_capacity_costs,battery_4,p60,2023,93491001.3
inv_investment_capacity_costs,battery_4,p60,2026,282402150.8
inv_investment_capacity_costs,battery_4,p60,2044,1130951752.934055
inv_investment_capacity_costs,battery_4,p60,2047,104697720.415802
inv_investment_capacity_costs,battery_4,p60,2050,2697534341.95376
inv_investment_capacity_costs,battery_4,p61,2023,572725873.9638
inv_investment_capacity_costs,battery_4,p61,2026,727750342.6116
inv_investment_capacity_costs,battery_4,p62,2023,1137057536.054
inv_investment_capacity_costs,battery_4,p63,2023,1469884090.1582
inv_investment_capacity_costs,battery_4,p63,2026,269150764.2208
inv_investment_capacity_costs,battery_4,p64,2023,775090884.7214
inv_investment_capacity_costs,battery_4,p64,2026,251021980.44
inv_investment_capacity_costs,battery_4,p65,2023,764451333.624
inv_investment_capacity_costs,battery_4,p65,2026,223146155.232
inv_investment_capacity_costs,battery_4,p67,2023,457585515.0
inv_investment_capacity_costs,battery_4,p67,2026,207295195.8
inv_investment_capacity_costs,battery_4,p67,2029,7252171053.958472
inv_investment_capacity_costs,battery_4,p70,2023,9516582.41
inv_investment_capacity_costs,battery_4,p70,2029,174561141.96
inv_investment_capacity_costs,battery_4,p72,2029,176562180.0
inv_investment_capacity_costs,battery_4,p74,2026,1136804227.166749
inv_investment_capacity_costs,battery_4,p74,2041,768543564.671782
inv_investment_capacity_costs,battery_4,p74,2044,5794836.511362
inv_investment_capacity_costs,battery_4,p76,2023,9588360.53
inv_investment_capacity_costs,battery_4,p77,2023,576378.3036
inv_investment_capacity_costs,battery_4,p78,2023,579967.2096
inv_investment_capacity_costs,battery_4,p79,2029,574611805.8
inv_investment_capacity_costs,battery_4,p81,2029,561738170.613396
inv_investment_capacity_costs,battery_4,p85,2029,381635882.4
inv_investment_capacity_costs,battery_4,p86,2050,1168968836.501757
inv_investment_capacity_costs,battery_4,p87,2023,2415214.1078
inv_investment_capacity_costs,battery_4,p88,2023,162984134.246083
inv_investment_capacity_costs,battery_4,p88,2026,70164432.8
inv_investment_capacity_costs,battery_4,p94,2026,90646826.27
inv_investment_capacity_costs,battery_4,p95,2029,656753240.2608
