eall,r,t,dr,Value
CH4,p1,2020,2.5,636426255.4871
CH4,p1,2020,2.0,783293852.9072
CH4,p1,2020,1.5,1125984913.5541
CH4,p1,2023,2.5,350381835.7354
CH4,p1,2023,2.0,435609849.83320004
CH4,p1,2023,1.5,608433322.86485
CH4,p1,2026,2.5,744539008.6992
CH4,p1,2026,2.0,932916348.2496
CH4,p1,2026,1.5,1273789629.3408
CH4,p1,2029,2.5,795199232.65288
CH4,p1,2029,2.0,1002642510.7362399
CH4,p1,2029,1.5,1344059572.58177
CH4,p1,2032,2.5,2581341773.01334
CH4,p1,2032,2.0,3232942608.91962
CH4,p1,2032,1.5,4260467004.0026
CH4,p1,2035,2.5,3949364545.3261003
CH4,p1,2035,2.0,4893777806.16495
CH4,p1,2035,1.5,6353325572.9159
CH4,p1,2038,2.5,5725028064.0586405
CH4,p1,2038,2.0,7032317936.95392
CH4,p1,2038,1.5,9015792226.864
CH4,p1,2041,2.5,6096841921.4552
CH4,p1,2041,2.0,7434638170.4076
CH4,p1,2041,1.5,9452298086.860401
CH4,p1,2044,2.5,7990831367.297461
CH4,p1,2044,2.0,9684252584.208181
CH4,p1,2044,1.5,12277303822.602722
CH4,p1,2047,2.5,9508447147.67692
CH4,p1,2047,2.0,11462637205.635061
CH4,p1,2047,1.5,14496006847.838741
CH4,p1,2050,2.5,12075008806.4515
CH4,p1,2050,2.0,14490010567.7418
CH4,p1,2050,1.5,18285013335.4837
CH4,p10,2020,2.5,2624026953.8444
CH4,p10,2020,2.0,3229571635.5007997
CH4,p10,2020,1.5,4642509226.0324
CH4,p10,2023,2.5,5604120620.575001
CH4,p10,2023,2.0,6967285095.85
CH4,p10,2023,1.5,9731479726.268751
CH4,p10,2026,2.5,4841602002.58234
CH4,p10,2026,2.0,6066585641.789921
CH4,p10,2026,1.5,8283222703.2131605
CH4,p10,2029,2.5,5927044995.80176
CH4,p10,2029,2.0,7473230646.88048
CH4,p10,2029,1.5,10017994530.94754
CH4,p10,2032,2.5,5375288028.1682
CH4,p10,2032,2.0,6732156850.8126
CH4,p10,2032,1.5,8871834609.598
CH4,p10,2035,2.5,5261294737.723201
CH4,p10,2035,2.0,6519430435.874401
CH4,p10,2035,1.5,8463821969.380801
CH4,p10,2038,2.5,5306910719.99528
CH4,p10,2038,2.0,6518724978.89184
CH4,p10,2038,1.5,8357339716.528
CH4,p10,2041,2.5,5374274328.10412
CH4,p10,2041,2.0,6553521572.76006
CH4,p10,2041,1.5,8332058400.76574
CH4,p10,2044,2.5,5664773902.65498
CH4,p10,2044,2.0,6865255789.31034
CH4,p10,2044,1.5,8703493678.25136
CH4,p10,2047,2.5,5980995859.2389
CH4,p10,2047,2.0,7210218934.6039505
CH4,p10,2047,1.5,9118266693.37955
CH4,p10,2050,2.5,5888927480.568999
CH4,p10,2050,2.0,7066712976.682799
CH4,p10,2050,1.5,8917518756.2902
CH4,p100,2020,2.5,823678625.1238999
CH4,p100,2020,2.0,1013758307.8448
CH4,p100,2020,1.5,1457277567.5268998
CH4,p100,2023,2.5,1020144203.23584
CH4,p100,2023,2.0,1268287387.80672
CH4,p100,2023,1.5,1771466623.18656
CH4,p100,2026,2.5,1252739893.5319
CH4,p100,2026,2.0,1569698179.8472
CH4,p100,2026,1.5,2143241745.5605998
