,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2010,6.0,2485324857.0433335,1297639634.2279654,1183234008.73,2380124987.625,4419845250.559999,6.0,358.4907666666666,187.17547286969696,170.6732,343.31645000000003,637.5318
AL,2015,6.0,510376633.8883333,273648605.7589755,237628810.95,487739032.61,937688605.38,6.0,73.61831666666666,39.471896841596894,34.2763,70.35305,135.2551
AL,2020,6.0,455372836.7633333,259188434.0208955,201715046.04,432206628.275,889415536.87,6.0,65.68435,37.38611440386658,29.095999999999997,62.34275,128.292
AL,2023,6.0,1169842884.365,651163556.169773,526576281.89000005,1111563428.72,2235935277.59,6.0,168.74165000000002,93.92580786905695,75.9549,160.3352,322.5181
AL,2026,6.0,874084236.0333333,465480520.5628706,408724545.47999996,835059648.75,1593011465.57,6.0,126.08055000000002,67.14231467677443,58.955600000000004,120.45155,229.7808
AL,2029,6.0,1115914323.1583335,619436648.1552652,503517752.58,1060748511.5600001,2127025534.59,6.0,160.96286666666668,89.34937205412618,72.629,153.00555000000003,306.8085
AL,2032,6.0,1100050833.375,583936838.6665823,515907249.81,1051410598.7700001,1997227250.53,6.0,158.67465,84.22884860188343,74.416,151.6586,288.0861
AL,2035,6.0,1050546553.9816667,558058511.402822,492260420.83,1003850029.29,1908928420.2600002,6.0,151.534,80.49607068564279,71.0051,144.79835,275.3496
AL,2038,6.0,1037227244.9266667,550946067.3129971,486033529.12,991110200.155,1884567746.33,6.0,149.6128,79.47012744982861,70.107,142.96075,271.83570000000003
AL,2041,6.0,1843629253.925,984725049.0533175,861498086.46,1762984211.79,3372441561.17,6.0,265.93063333333333,142.03972225173723,124.2649,254.29815,486.4512
AL,2044,6.0,1766590155.346667,945841774.1637955,824289842.9100001,1689544409.855,3240679464.51,6.0,254.81826666666666,136.43114074349253,118.8979,243.70499999999998,467.44550000000004
AL,2047,6.0,822040686.8016666,442901793.01122034,382157594.22,786527602.255,1518993517.9799998,6.0,118.57365,63.885460635789414,55.1236,113.45115,219.1042
