r,t,Value
p1,2010,41550572.049103
p1,2015,36206319.841729
p1,2020,31651333.145698
p1,2023,37785589.135788
p1,2026,39374758.066658
p1,2029,42075608.768173
p1,2032,37843689.662779
p1,2035,36709722.71299
p1,2038,26153767.099424
p1,2041,28270879.791427
p1,2044,27582355.83955
p1,2047,29626808.442521
p1,2050,25499445.644398
p2,2010,-8456452.982295
p2,2015,868940.454995
p2,2020,-7909469.543384
p2,2023,-4641326.045438
p2,2026,-5379110.317941
p2,2029,-8894618.032684
p2,2032,-11308673.428626
p2,2035,-11600401.79719
p2,2038,-7845550.730275
p2,2041,-10636887.80595
p2,2044,-8696378.059959
p2,2047,-9717945.856645
p2,2050,-8902320.77103
p3,2010,7958131.463475
p3,2015,4601346.366927
p3,2020,4005171.938891
p3,2023,3890340.8859
p3,2026,5086590.892415
p3,2029,5805928.557072
p3,2032,6170912.13109
p3,2035,7345059.343306
p3,2038,5291628.926888
p3,2041,6008374.743301
p3,2044,6601067.074255
p3,2047,6266790.853346
p3,2050,5103529.813449
p4,2010,-49256252.282367
p4,2015,-56707927.412528
p4,2020,-65791099.16611
p4,2023,-65580186.061476
p4,2026,-65537546.077651
p4,2029,-66410841.543323
p4,2032,-65954770.89574
p4,2035,-64380006.506852
p4,2038,-64048239.442934
p4,2041,-63347591.507158
p4,2044,-65638399.615717
p4,2047,-65339452.767014
p4,2050,-65146447.345099
p5,2010,-7769566.862933
p5,2015,-4344819.916473
p5,2020,-13684126.0545
p5,2023,-6760049.392643
p5,2026,-5281355.475971
p5,2029,-3067211.137303
p5,2032,3471229.156067
p5,2035,9058983.555221
p5,2038,16657022.883446
p5,2041,19699216.361343
p5,2044,25725690.234747
p5,2047,27977575.799279
p5,2050,32501176.620716
p6,2010,5579303.843424
p6,2015,7299361.890205
p6,2020,6246729.744115
p6,2023,7727334.174776
p6,2026,9835316.917025
p6,2029,12207627.635753
p6,2032,12803458.685377
p6,2035,11515616.838239
p6,2038,13300294.521328
p6,2041,14847836.29755
p6,2044,16460169.044324
p6,2047,18105449.046735
p6,2050,17909858.371564
p7,2010,121018.8315
p7,2015,258743.164428
p7,2020,-564575.454843
p7,2023,-1452187.204982
p7,2026,-1046916.520634
p7,2029,-7556251.955732
p7,2032,-15128752.141787
p7,2035,-18448798.678348
p7,2038,-21760032.093746
p7,2041,-25296058.958907
p7,2044,-27219279.580591
p7,2047,-30026028.23052
p7,2050,-32000378.485014
p8,2010,905661.020323
p8,2015,944671.872712
p8,2020,796575.469912
p8,2023,969338.822205
p8,2026,42521.195791
p8,2029,-1000827.819827
p8,2032,-1037473.386432
p8,2035,-926848.552081
p8,2038,-799401.363378
p8,2041,-798651.531271
p8,2044,-865581.294927
p8,2047,-889070.30664
p8,2050,-979607.77898
p9,2010,5273364.300261
p9,2015,2909456.791147
p9,2020,23810852.096961
p9,2023,12798063.468892
p9,2026,14156628.584499
p9,2029,12195227.145855
p9,2032,20370196.767341
p9,2035,24824304.630821
p9,2038,25029696.549026
p9,2041,26613538.266557
p9,2044,25708493.783987
p9,2047,24801714.135465
p9,2050,27534226.244784
p10,2010,40699823.258776
p10,2015,9728529.659136
p10,2020,48434521.035466
p10,2023,31323239.331298
p10,2026,33157738.241538
p10,2029,44152781.252265
p10,2032,66319720.859453
p10,2035,54920199.152621
p10,2038,44234075.325375
p10,2041,37750704.52992
p10,2044,33549611.21049
p10,2047,35203872.866301
p10,2050,46531629.946142
p11,2010,8463874.796275
p11,2015,711909.140051
p11,2020,13166147.188904
p11,2023,10417592.620057
p11,2026,10378393.863216
p11,2029,9636824.9353
p11,2032,3857955.413566
p11,2035,5862442.470746
p11,2038,8704357.257995
p11,2041,11524652.049577
p11,2044,11782680.773707
p11,2047,11420556.59765
p11,2050,6942706.068345
p12,2010,1245797.598216
p12,2015,-685227.411967
p12,2020,-5762052.136648
p12,2023,-1514346.581184
p12,2026,-3593738.128377
p12,2029,-4480772.531747
p12,2032,-2593036.579195
p12,2035,887506.87405
p12,2038,-1045084.711424
p12,2041,-970256.152479
p12,2044,-1479846.98592
p12,2047,-4095967.157821
p12,2050,-3633738.703798
p13,2010,-9403384.761012
p13,2015,-10228660.111148
p13,2020,-14927728.297973
p13,2023,-5140771.782595
p13,2026,-7324610.465194
p13,2029,-5643210.836099
p13,2032,-25224705.476886
p13,2035,-40846590.471178
p13,2038,-38887793.178512
p13,2041,-41213732.56171
p13,2044,-42966727.999763
p13,2047,-43771960.403501
p13,2050,-48141609.881551
p14,2010,2218172.719349
p14,2015,1703249.05548
p14,2020,1327695.259999
p14,2023,2758978.271863
p14,2026,2107905.409653
p14,2029,2770087.719235
p14,2032,2190405.423167
p14,2035,2508067.595625
p14,2038,2724361.606648
p14,2041,946502.373065
p14,2044,-1818688.237755
p14,2047,-1667262.490524
p14,2050,-1115036.043023
p15,2010,7790123.2017
p15,2015,6135591.285692
p15,2020,5113012.877527
p15,2023,6600715.732778
p15,2026,6654598.65503
p15,2029,7706786.617353
p15,2032,8871064.079648
p15,2035,8889710.643524
p15,2038,10286247.39022
p15,2041,11275003.125272
p15,2044,11934743.134356
p15,2047,12514760.306311
p15,2050,11871585.192895
p16,2010,2853773.166727
p16,2015,2006114.275135
p16,2020,1920304.865535
p16,2023,1226063.473795
p16,2026,1302926.966036
p16,2029,-2565026.731957
p16,2032,-8336786.207584
p16,2035,-7961555.886943
p16,2038,-8135134.436328
p16,2041,-7786030.836223
p16,2044,-8033651.066568
p16,2047,-10123619.370539
p16,2050,-11846596.474038
p17,2010,1568578.807435
p17,2015,1275284.0637
p17,2020,843003.969957
p17,2023,1172385.523953
p17,2026,1565580.242157
p17,2029,2044227.142629
p17,2032,2883145.854538
p17,2035,3777229.685717
p17,2038,4630498.441386
p17,2041,4575307.219566
p17,2044,5384969.000017
p17,2047,5756593.97276
p17,2050,6313812.587873
p18,2010,-92482.029389
p18,2015,-396640.33464
p18,2020,-952330.975572
p18,2023,-2258868.550864
p18,2026,-2969181.203274
p18,2029,-2528850.056774
p18,2032,-2056815.894947
p18,2035,-5841325.392457
p18,2038,-6402222.048216
p18,2041,-7636392.417044
p18,2044,-7329405.362095
p18,2047,-7514467.939565
p18,2050,-7899378.631506
p20,2010,-13651419.769374
p20,2015,-536447.041336
p20,2020,232236.937979
p20,2023,-4748398.183085
p20,2026,-5856560.348604
p20,2029,-7146032.798552
p20,2032,-8621902.795305
p20,2035,-8443015.350569
p20,2038,-8790614.279396
p20,2041,-9459526.392638
p20,2044,-11608319.883355
p20,2047,-12508175.311511
p20,2050,-13205911.262271
p21,2010,-9893257.759531
p21,2015,-177443.737573
p21,2020,-364802.441823
p21,2023,-7880709.285598
p21,2026,-6631482.049964
p21,2029,-5565090.212348
p21,2032,-4992051.02511
p21,2035,-3833870.002353
p21,2038,2521700.290344
p21,2041,2213186.026188
p21,2044,2324416.139761
p21,2047,934653.741783
p21,2050,319827.539479
p22,2010,1508273.499
p22,2015,1492247.472
p22,2020,1352162.886
p22,2023,1464885.966
p22,2026,1600357.581
p22,2029,1759725.3198
p22,2032,1913775.760116
p22,2035,2067988.957716
p22,2038,2192867.012347
p22,2041,1185645.667924
p22,2044,1140458.172716
p22,2047,1271922.749089
p22,2050,1394793.430092
p23,2010,-1928335.547116
p23,2015,492006.765
p23,2020,386671.5066
p23,2023,481100.8308
p23,2026,565686.9066
p23,2029,-1471630.074004
p23,2032,-3446309.624796
p23,2035,-4285628.446944
p23,2038,-4415310.409334
p23,2041,-3782884.951507
p23,2044,-4073193.370019
p23,2047,-3928707.445017
