eall,r,t,dr,Value
CH4,p1,2020,2.5,521510389.3012
CH4,p1,2020,2.0,641858940.6784
CH4,p1,2020,1.5,922672227.2251999
CH4,p1,2023,2.5,190221632.12472
CH4,p1,2023,2.0,236491758.85776
CH4,p1,2023,1.5,330317293.62198
CH4,p1,2026,2.5,682353639.61396
CH4,p1,2026,2.0,854997331.56448
CH4,p1,2026,1.5,1167400202.7130399
CH4,p1,2029,2.5,742882374.70256
CH4,p1,2029,2.0,936677776.79888
CH4,p1,2029,1.5,1255632709.41574
CH4,p1,2032,2.5,1538318953.73548
CH4,p1,2032,2.0,1926632476.03764
CH4,p1,2032,1.5,2538973030.4372
CH4,p1,2035,2.5,1739746297.1673002
CH4,p1,2035,2.0,2155772585.6203504
CH4,p1,2035,1.5,2798722304.1387005
CH4,p1,2038,2.5,4277250232.36838
CH4,p1,2038,2.0,5253945167.31864
CH4,p1,2038,1.5,6735827137.588
CH4,p1,2041,2.5,4593811945.66148
CH4,p1,2041,2.0,5601806653.16274
CH4,p1,2041,1.5,7122060966.115459
CH4,p1,2044,2.5,5675504813.14738
CH4,p1,2044,2.0,6878260800.039539
CH4,p1,2044,1.5,8719980904.968159
CH4,p1,2047,2.5,6437277658.025239
CH4,p1,2047,2.0,7760276440.502819
CH4,p1,2047,1.5,9813886490.91578
CH4,p1,2050,2.5,8734875656.43
CH4,p1,2050,2.0,10481850787.716
CH4,p1,2050,1.5,13227097422.594
CH4,p10,2020,2.5,4600378174.9925995
CH4,p10,2020,2.0,5662003907.6832
CH4,p10,2020,1.5,8139130617.2946
CH4,p10,2023,2.5,6977372820.85308
CH4,p10,2023,2.0,8674571615.11464
CH4,p10,2023,1.5,12116113614.58947
CH4,p10,2026,2.5,5381408248.11228
CH4,p10,2026,2.0,6742969371.12864
CH4,p10,2026,1.5,9206746641.34872
CH4,p10,2029,2.5,5701825950.25768
CH4,p10,2029,2.0,7189258806.84664
CH4,p10,2029,1.5,9637325383.31597
CH4,p10,2032,2.5,4145698738.80756
CH4,p10,2032,2.0,5192185799.08908
CH4,p10,2032,1.5,6842415394.1484
CH4,p10,2035,2.5,3918658454.5442004
CH4,p10,2035,2.0,4855728954.5439005
CH4,p10,2035,1.5,6303928818.1798
CH4,p10,2038,2.5,4068271058.38192
CH4,p10,2038,2.0,4997246339.42976
CH4,p10,2038,1.5,6406726076.192
CH4,p10,2041,2.5,4294953118.1217604
CH4,p10,2041,2.0,5237370888.64488
CH4,p10,2041,1.5,6658722280.25352
CH4,p10,2044,2.5,4431351144.5767
CH4,p10,2044,2.0,5370445426.8711
CH4,p10,2044,1.5,6808433546.6344
CH4,p10,2047,2.5,4419498634.85946
CH4,p10,2047,2.0,5327800501.5330305
CH4,p10,2047,1.5,6737701906.51887
CH4,p10,2050,2.5,4650062760.308
CH4,p10,2050,2.0,5580075312.369599
CH4,p10,2050,1.5,7041523608.466399
CH4,p100,2020,2.5,842997537.0804
CH4,p100,2020,2.0,1037535430.2528
CH4,p100,2020,1.5,1491457180.9884
CH4,p100,2023,2.5,889928075.81492
CH4,p100,2023,2.0,1106397067.22936
CH4,p100,2023,1.5,1545348077.59753
CH4,p100,2026,2.5,1177431903.62178
CH4,p100,2026,2.0,1475336361.16464
CH4,p100,2026,1.5,2014401570.05172
CH4,p100,2029,2.5,898466341.86568
CH4,p100,2029,2.0,1132848865.83064
CH4,p100,2029,1.5,1518603436.52297
CH4,p100,2032,2.5,892355045.63322
CH4,p100,2032,2.0,1117609717.34646
CH4,p100,2032,1.5,1472819007.3558
CH4,p100,2035,2.5,795842414.5093
CH4,p100,2035,2.0,986152557.10935
CH4,p100,2035,1.5,1280268232.0367
CH4,p100,2038,2.5,661017325.81132
CH4,p100,2038,2.0,811958289.97296
CH4,p100,2038,1.5,1040972166.632
CH4,p100,2041,2.5,852270524.4524399
CH4,p100,2041,2.0,1039279524.42222
CH4,p100,2041,1.5,1321325885.0323799
CH4,p100,2044,2.5,737886333.25464
CH4,p100,2044,2.0,894259595.93112
CH4,p100,2044,1.5,1133706154.40448
CH4,p101,2020,2.5,20315292649.834
CH4,p101,2020,2.0,25003437107.488
CH4,p101,2020,1.5,35942440842.014
CH4,p101,2023,2.5,21313191105.79672
CH4,p101,2023,2.0,26497480834.233757
CH4,p101,2023,1.5,37010068339.11997
CH4,p101,2026,2.5,20026076936.141598
CH4,p101,2026,2.0,25092915679.020798
CH4,p101,2026,1.5,34261481023.278397
CH4,p101,2029,2.5,20532302250.49632
CH4,p101,2029,2.0,25888555011.495358
CH4,p101,2029,1.5,34704054347.306274
CH4,p101,2032,2.5,23159030387.76918
CH4,p101,2032,2.0,29004999223.51674
CH4,p101,2032,1.5,38223642387.5802
CH4,p101,2035,2.5,24031810798.8538
CH4,p101,2035,2.0,29778548163.7971
CH4,p101,2035,1.5,38659869545.9822
CH4,p101,2038,2.5,27300762389.83922
CH4,p101,2038,2.0,33534794746.574154
CH4,p101,2038,1.5,42993326598.172
CH4,p101,2041,2.5,29173119268.737797
CH4,p101,2041,2.0,35574415223.3889
CH4,p101,2041,1.5,45228828794.3381
CH4,p101,2044,2.5,33255930604.439777
CH4,p101,2044,2.0,40303545037.16874
CH4,p101,2044,1.5,51095204637.28496
CH4,p101,2047,2.5,35554765244.005
CH4,p101,2047,2.0,42862032947.52749
CH4,p101,2047,1.5,54204657442.54749
CH4,p101,2050,2.5,39392749492.7575
CH4,p101,2050,2.0,47271299391.309
CH4,p101,2050,1.5,59651877803.318504
CH4,p102,2020,2.5,8141677047.2401
CH4,p102,2020,2.0,10020525596.603199
CH4,p102,2020,1.5,14404505545.1171
CH4,p102,2023,2.5,9027978337.811281
CH4,p102,2023,2.0,11223973068.630241
CH4,p102,2023,1.5,15676962383.902021
CH4,p102,2026,2.5,8152218978.581321
CH4,p102,2026,2.0,10214828599.668161
CH4,p102,2026,1.5,13947169818.777681
CH4,p102,2029,2.5,8428816871.069681
