sys_costs,r,t,Value
inv_h2_production,p99,2047,107649342.903368
inv_h2_production,p126,2047,0.0
inv_h2_production,p127,2041,3882432066.769677
inv_h2_production,p127,2047,104019314.876832
inv_h2_production,p127,2050,66994036.370817
inv_h2_storage,p13,2035,-0.0
inv_h2_storage,p13,2038,0.0
inv_h2_storage,p15,2044,0.0
inv_h2_storage,p15,2047,-0.0
inv_h2_storage,p18,2044,-0.0
inv_h2_storage,p18,2047,0.0
inv_h2_storage,p18,2050,-0.0
inv_h2_storage,p24,2050,0.0
inv_h2_storage,p26,2041,0.0
inv_h2_storage,p26,2044,-0.0
inv_h2_storage,p27,2038,-0.0
inv_h2_storage,p27,2041,0.0
inv_h2_storage,p27,2047,3e-05
inv_h2_storage,p27,2050,-3e-05
inv_h2_storage,p39,2029,0.0
inv_h2_storage,p39,2032,-0.0
inv_h2_storage,p44,2035,-0.0
inv_h2_storage,p44,2038,0.0
inv_h2_storage,p47,2035,-0.0
inv_h2_storage,p47,2038,0.0
inv_h2_storage,p74,2032,-0.0
inv_h2_storage,p74,2035,0.0
inv_h2_storage,p86,2047,-0.0
inv_h2_storage,p86,2050,0.0
inv_h2_storage,p91,2035,0.0
inv_h2_storage,p91,2038,-0.0
inv_h2_storage,p99,2047,41388460.24491
inv_h2_storage,p99,2050,37871527.882837
inv_h2_storage,p123,2050,0.0
inv_h2_storage,p127,2041,2125078761.116597
inv_h2_storage,p127,2047,848079564.00676
inv_h2_storage,p127,2050,256915254.422771
inv_h2_storage,p130,2035,-0.0
inv_h2_storage,p130,2038,0.0
inv_h2_storage,p130,2044,0.0
inv_h2_storage,p130,2047,-0.0
inv_h2_storage,p134,2038,-0.0
inv_h2_storage,p134,2041,0.0
inv_investment_capacity_costs,p1,2010,381394271.0115
inv_investment_capacity_costs,p1,2015,107220104.123593
inv_investment_capacity_costs,p1,2020,215022761.477033
inv_investment_capacity_costs,p1,2023,13169559.195
inv_investment_capacity_costs,p1,2029,735959458.61229
inv_investment_capacity_costs,p1,2032,1944577119.589482
inv_investment_capacity_costs,p1,2035,1463684646.329258
inv_investment_capacity_costs,p1,2038,3425967591.673006
inv_investment_capacity_costs,p1,2041,356580584.153783
inv_investment_capacity_costs,p1,2044,1541116317.847169
inv_investment_capacity_costs,p1,2047,76464968.266622
inv_investment_capacity_costs,p1,2050,1761222395.275779
inv_investment_capacity_costs,p2,2010,117393137.96
inv_investment_capacity_costs,p2,2015,1206584203.69311
inv_investment_capacity_costs,p2,2023,134133754.11
inv_investment_capacity_costs,p2,2026,146080107.504
inv_investment_capacity_costs,p2,2029,1437488120.684055
