eall,r,t,dr,Value
CH4,p1,2023,2.5,258142918.7519321
CH4,p1,2023,2.0,330404959.2955409
CH4,p1,2023,1.5,449842891.5647944
CH4,p1,2024,2.5,263427897.73704374
CH4,p1,2024,2.0,337063254.9785009
CH4,p1,2024,1.5,458060320.86821914
CH4,p1,2025,2.5,507983444.23972034
CH4,p1,2025,2.0,650131419.6880437
CH4,p1,2025,1.5,883049511.4516324
CH4,p1,2026,2.5,516477108.20998085
CH4,p1,2026,2.0,661305307.5597094
CH4,p1,2026,1.5,897336003.3649293
CH4,p1,2027,2.5,524254255.88648736
CH4,p1,2027,2.0,671482463.6493953
CH4,p1,2027,1.5,911320545.9698378
CH4,p1,2028,2.5,511982579.7693275
CH4,p1,2028,2.0,656481903.961776
CH4,p1,2028,1.5,890702559.0718048
CH4,p1,2029,2.5,517902058.05811787
CH4,p1,2029,2.0,665044313.7773192
CH4,p1,2029,1.5,903022088.4392238
CH4,p1,2030,2.5,523500300.61800116
CH4,p1,2030,2.0,673298737.7532704
CH4,p1,2030,1.5,914494390.2647129
CH4,p1,2031,2.5,1540892123.8122854
CH4,p1,2031,2.0,1983231284.7830732
CH4,p1,2031,1.5,2695632456.499128
CH4,p1,2032,2.5,1561879884.7637997
CH4,p1,2032,2.0,2013060182.758785
CH4,p1,2032,1.5,2737824682.020024
CH4,p1,2033,2.5,1580194611.3675027
CH4,p1,2033,2.0,2040956832.030804
CH4,p1,2033,1.5,2777380956.1681585
CH4,p1,2034,2.5,2185944904.6770716
CH4,p1,2034,2.0,2828541508.8323207
CH4,p1,2034,1.5,3853464530.2366004
CH4,p1,2035,2.5,2207056502.217741
CH4,p1,2035,2.0,2861689580.966528
CH4,p1,2035,1.5,3903865097.3248515
CH4,p1,2036,2.5,2225837882.0885634
CH4,p1,2036,2.0,2891463062.0009937
CH4,p1,2036,1.5,3951934400.090123
CH4,p1,2037,2.5,2948843861.269933
CH4,p1,2037,2.0,3841403693.7771974
CH4,p1,2037,1.5,5259325255.602587
CH4,p1,2038,2.5,2967844594.5342336
CH4,p1,2038,2.0,3875931313.7898965
CH4,p1,2038,1.5,5315319978.648094
CH4,p1,2039,2.5,2984164242.7367005
CH4,p1,2039,2.0,3907628014.5657344
CH4,p1,2039,1.5,5369828480.458439
CH4,p1,2040,2.5,2957223562.346811
CH4,p1,2040,2.0,3881966247.23111
CH4,p1,2040,1.5,5347963798.129314
CH4,p1,2041,2.5,2974788266.9380283
CH4,p1,2041,2.0,3916079652.2013974
CH4,p1,2041,1.5,5405162654.740566
CH4,p1,2042,2.5,2990778671.888739
CH4,p1,2042,2.0,3948500355.204372
CH4,p1,2042,1.5,5460745688.633176
CH4,p1,2043,2.5,3585204184.305503
CH4,p1,2043,2.0,4747750926.598912
CH4,p1,2043,1.5,6580524945.246153
CH4,p1,2044,2.5,3598372570.7692556
CH4,p1,2044,2.0,4778660151.506774
CH4,p1,2044,1.5,6638805303.299195
CH4,p1,2045,2.5,3607611011.259036
CH4,p1,2045,2.0,4806531893.958964
CH4,p1,2045,1.5,6693925909.826699
CH4,p1,2046,2.5,4015611476.905438
CH4,p1,2046,2.0,5366322243.796672
CH4,p1,2046,1.5,7494305238.453358
CH4,p1,2047,2.5,4020220141.051344
CH4,p1,2047,2.0,5390885885.006101
CH4,p1,2047,1.5,7548752624.403846
CH4,p1,2048,2.5,4023406230.9470773
CH4,p1,2048,2.0,5412423069.603783
CH4,p1,2048,1.5,7599953980.039746
CH4,p1,2049,2.5,4703350476.751054
CH4,p1,2049,2.0,6349699157.099047
CH4,p1,2049,1.5,8941644657.11106
CH4,p1,2050,2.5,4701296062.063658
CH4,p1,2050,2.0,6368182086.909315
CH4,p1,2050,1.5,8995919467.816603
CH4,p10,2023,2.5,4128821492.6917787
CH4,p10,2023,2.0,5284603985.369523
CH4,p10,2023,1.5,7194932977.464985
CH4,p10,2024,2.5,4213351159.155813
CH4,p10,2024,2.0,5391098924.116691
CH4,p10,2024,1.5,7326365204.568836
CH4,p10,2025,2.5,3303324113.543316
CH4,p10,2025,2.0,4227686590.9318933
CH4,p10,2025,1.5,5742310655.412372
CH4,p10,2026,2.5,3358556868.3180084
CH4,p10,2026,2.0,4300348355.14302
CH4,p10,2026,1.5,5835213118.613249
CH4,p10,2027,2.5,3409130247.7178845
CH4,p10,2027,2.0,4366528553.5324955
CH4,p10,2027,1.5,5926152060.280544
CH4,p10,2028,2.5,3816079873.764297
CH4,p10,2028,2.0,4893110586.551023
CH4,p10,2028,1.5,6638882343.840051
CH4,p10,2029,2.5,3860200910.0136456
CH4,p10,2029,2.0,4956930804.384873
CH4,p10,2029,1.5,6730706382.256432
CH4,p10,2030,2.5,3901927604.642292
CH4,p10,2030,2.0,5018455439.1065035
CH4,p10,2030,1.5,6816215580.873548
CH4,p10,2031,2.5,3208695211.3117356
CH4,p10,2031,2.0,4129805473.119734
CH4,p10,2031,1.5,5613282604.901507
CH4,p10,2032,2.5,3252399327.2719536
CH4,p10,2032,2.0,4191920036.893721
CH4,p10,2032,1.5,5701142092.20198
CH4,p10,2033,2.5,3290537218.070171
CH4,p10,2033,2.0,4250010959.3843307
CH4,p10,2033,1.5,5783512574.518701
CH4,p10,2034,2.5,2916073541.0538516
CH4,p10,2034,2.0,3773304183.4816856
CH4,p10,2034,1.5,5140562295.952511
CH4,p10,2035,2.5,2944236634.6734586
CH4,p10,2035,2.0,3817524061.0644584
CH4,p10,2035,1.5,5207797183.632294
CH4,p10,2036,2.5,2969291193.362749
CH4,p10,2036,2.0,3857242198.5545254
CH4,p10,2036,1.5,5271922140.135452
CH4,p10,2037,2.5,2725474232.0291085
CH4,p10,2037,2.0,3550424259.391742
CH4,p10,2037,1.5,4860940808.114432
CH4,p10,2038,2.5,2743035693.855441
CH4,p10,2038,2.0,3582336474.166443
CH4,p10,2038,1.5,4912694031.401207
CH4,p10,2039,2.5,2758119158.000758
CH4,p10,2039,2.0,3611632206.7549024
CH4,p10,2039,1.5,4963073612.043577
CH4,p10,2040,2.5,2569194933.6206665
CH4,p10,2040,2.0,3372598589.3869147
CH4,p10,2040,1.5,4646236987.384456
CH4,p10,2041,2.5,2584454906.0559216
CH4,p10,2041,2.0,3402235843.848887
CH4,p10,2041,1.5,4695930562.968542
CH4,p10,2042,2.5,2598347148.735507
CH4,p10,2042,2.0,3430402502.2511215
CH4,p10,2042,1.5,4744220334.120923
CH4,p10,2043,2.5,2534481493.3213573
CH4,p10,2043,2.0,3356318424.216952
CH4,p10,2043,1.5,4651957833.552703
CH4,p10,2044,2.5,2543790595.418076
CH4,p10,2044,2.0,3378169023.0879498
CH4,p10,2044,1.5,4693157854.894915
CH4,p10,2045,2.5,2550321508.3716526
CH4,p10,2045,2.0,3397872340.3330126
CH4,p10,2045,1.5,4732124159.172971
CH4,p10,2046,2.5,2502812711.356324
CH4,p10,2046,2.0,3344671067.4706
CH4,p10,2046,1.5,4670980377.822806
CH4,p10,2047,2.5,2505685156.380721
CH4,p10,2047,2.0,3359980863.7020655
CH4,p10,2047,1.5,4704915834.587169
CH4,p10,2048,2.5,2507670952.6502123
CH4,p10,2048,2.0,3373404358.4021664
CH4,p10,2048,1.5,4736828135.9791765
CH4,p10,2049,2.5,2308223306.6465545
CH4,p10,2049,2.0,3116187844.613767
CH4,p10,2049,1.5,4388214890.4949255
CH4,p10,2050,2.5,2307215079.025329
CH4,p10,2050,2.0,3125258554.860443
CH4,p10,2050,1.5,4414850877.681851
CH4,p100,2023,2.5,751588625.0736876
CH4,p100,2023,2.0,961981100.5278822
CH4,p100,2023,1.5,1309727193.0021722
CH4,p100,2024,2.5,766975954.3413965
CH4,p100,2024,2.0,981366870.7124168
CH4,p100,2024,1.5,1333652414.0450792
CH4,p100,2025,2.5,854718313.5033482
CH4,p100,2025,2.0,1093892403.1726396
CH4,p100,2025,1.5,1485793676.4012334
CH4,p100,2026,2.5,869009507.8846741
CH4,p100,2026,2.0,1112693265.1008065
CH4,p100,2026,1.5,1509831716.247764
CH4,p100,2027,2.5,882095112.5855889
CH4,p100,2027,2.0,1129817054.8381977
CH4,p100,2027,1.5,1533361704.884052
CH4,p100,2028,2.5,564439136.739234
CH4,p100,2028,2.0,723743529.1725382
CH4,p100,2028,1.5,981961893.6262002
CH4,p100,2029,2.5,570965111.1518338
CH4,p100,2029,2.0,733183223.7943163
CH4,p100,2029,1.5,995543653.6234108
CH4,p100,2030,2.5,577136936.7619572
CH4,p100,2030,2.0,742283377.0561025
CH4,p100,2030,1.5,1008191381.0943506
CH4,p100,2031,2.5,499662390.9607888
CH4,p100,2031,2.0,643098936.1742407
CH4,p100,2031,1.5,874108016.7464997
CH4,p100,2032,2.5,506468055.4559787
CH4,p100,2032,2.0,652771500.6918625
CH4,p100,2032,1.5,887789615.8396078
CH4,p100,2033,2.5,512406939.7835581
CH4,p100,2033,2.0,661817498.3056121
CH4,p100,2033,1.5,900616459.5964943
CH4,p100,2034,2.5,381964851.9063242
CH4,p100,2034,2.0,494250077.49298024
CH4,p100,2034,1.5,673341768.8015963
CH4,p100,2035,2.5,385653823.30302954
CH4,p100,2035,2.0,500042263.0309745
CH4,p100,2035,1.5,682148598.7919899
CH4,p100,2036,2.5,388935620.0974529
CH4,p100,2036,2.0,505244783.5747142
CH4,p100,2036,1.5,690548071.291362
CH4,p100,2037,2.5,361549350.15252423
