eall,r,t,dr,Value
CH4,p1,2020,2.5,521510389.3012
CH4,p1,2020,2.0,641858940.6784
CH4,p1,2020,1.5,922672227.2251999
CH4,p1,2023,2.5,190221632.12472
CH4,p1,2023,2.0,236491758.85776
CH4,p1,2023,1.5,330317293.62198
CH4,p1,2026,2.5,682353639.61396
CH4,p1,2026,2.0,854997331.56448
CH4,p1,2026,1.5,1167400202.7130399
CH4,p1,2029,2.5,742882374.70256
CH4,p1,2029,2.0,936677776.79888
CH4,p1,2029,1.5,1255632709.41574
CH4,p1,2032,2.5,1538318953.73548
CH4,p1,2032,2.0,1926632476.03764
CH4,p1,2032,1.5,2538973030.4372
CH4,p1,2035,2.5,1725531792.2276
CH4,p1,2035,2.0,2138158959.9342
CH4,p1,2035,1.5,2775855491.8444
CH4,p1,2038,2.5,4266007559.00668
CH4,p1,2038,2.0,5240135269.33104
CH4,p1,2038,1.5,6718122140.168
CH4,p1,2041,2.5,4523701884.93636
CH4,p1,2041,2.0,5516312730.19218
CH4,p1,2041,1.5,7013365152.545219
CH4,p1,2044,2.5,5612241051.02028
CH4,p1,2044,2.0,6801590147.92524
CH4,p1,2044,1.5,8622780952.56096
CH4,p1,2047,2.5,6314878907.974239
CH4,p1,2047,2.0,7612722119.122319
CH4,p1,2047,1.5,9627284715.531279
CH4,p1,2050,2.5,8706565682.549
CH4,p1,2050,2.0,10447878819.0588
CH4,p1,2050,1.5,13184228033.5742
CH4,p10,2020,2.5,4600378174.9925995
CH4,p10,2020,2.0,5662003907.6832
CH4,p10,2020,1.5,8139130617.2946
CH4,p10,2023,2.5,6977372820.85308
CH4,p10,2023,2.0,8674571615.11464
CH4,p10,2023,1.5,12116113614.58947
CH4,p10,2026,2.5,5381408248.11228
CH4,p10,2026,2.0,6742969371.12864
CH4,p10,2026,1.5,9206746641.34872
CH4,p10,2029,2.5,5701825950.25768
CH4,p10,2029,2.0,7189258806.84664
CH4,p10,2029,1.5,9637325383.31597
CH4,p10,2032,2.5,4145698738.80756
CH4,p10,2032,2.0,5192185799.08908
CH4,p10,2032,1.5,6842415394.1484
CH4,p10,2035,2.5,3902766636.4498
CH4,p10,2035,2.0,4836036919.0791
CH4,p10,2035,1.5,6278363719.5062
CH4,p10,2038,2.5,4058240734.6834
CH4,p10,2038,2.0,4984925626.8552
CH4,p10,2038,1.5,6390930290.84
CH4,p10,2041,2.5,4273700494.6832604
CH4,p10,2041,2.0,5211454919.775631
CH4,p10,2041,1.5,6625773069.095271
CH4,p10,2044,2.5,4418420099.67374
CH4,p10,2044,2.0,5354774028.081421
CH4,p10,2044,1.5,6788565980.955681
CH4,p10,2047,2.5,4416467423.543739
CH4,p10,2047,2.0,5324146311.20457
CH4,p10,2047,1.5,6733080703.991529
CH4,p10,2050,2.5,4650428108.592
CH4,p10,2050,2.0,5580513730.3104
CH4,p10,2050,1.5,7042076850.1536
CH4,p100,2020,2.5,842997537.0804
CH4,p100,2020,2.0,1037535430.2528
CH4,p100,2020,1.5,1491457180.9884
CH4,p100,2023,2.5,889928075.81492
CH4,p100,2023,2.0,1106397067.22936
CH4,p100,2023,1.5,1545348077.59753
CH4,p100,2026,2.5,1177431903.62178
CH4,p100,2026,2.0,1475336361.16464
CH4,p100,2026,1.5,2014401570.05172
CH4,p100,2029,2.5,898466341.86568
CH4,p100,2029,2.0,1132848865.83064
CH4,p100,2029,1.5,1518603436.52297
CH4,p100,2032,2.5,892355045.63322
CH4,p100,2032,2.0,1117609717.34646
CH4,p100,2032,1.5,1472819007.3558
CH4,p100,2035,2.5,797584475.3596
CH4,p100,2035,2.0,988311197.7282
CH4,p100,2035,1.5,1283070677.7524
CH4,p100,2038,2.5,668981976.12278
CH4,p100,2038,2.0,821741639.9618399
CH4,p100,2038,1.5,1053514923.0279999
CH4,p100,2041,2.5,817095797.7371199
CH4,p100,2041,2.0,996386602.27656
CH4,p100,2041,1.5,1266792405.84424
CH4,p100,2044,2.5,721667037.1355599
CH4,p100,2044,2.0,874603097.98548
CH4,p100,2044,1.5,1108786441.1619198
CH4,p101,2020,2.5,20315292649.834
CH4,p101,2020,2.0,25003437107.488
CH4,p101,2020,1.5,35942440842.014
CH4,p101,2023,2.5,21313191105.79672
CH4,p101,2023,2.0,26497480834.233757
CH4,p101,2023,1.5,37010068339.11997
CH4,p101,2026,2.5,20026076936.141598
CH4,p101,2026,2.0,25092915679.020798
CH4,p101,2026,1.5,34261481023.278397
CH4,p101,2029,2.5,20532302250.49632
CH4,p101,2029,2.0,25888555011.495358
CH4,p101,2029,1.5,34704054347.306274
CH4,p101,2032,2.5,23159030387.76918
CH4,p101,2032,2.0,29004999223.51674
CH4,p101,2032,1.5,38223642387.5802
CH4,p101,2035,2.5,24032188175.8319
CH4,p101,2035,2.0,29779015783.09605
CH4,p101,2035,1.5,38660476630.686104
CH4,p101,2038,2.5,27292817099.283302
CH4,p101,2038,2.0,33525035177.072403
CH4,p101,2038,1.5,42980814329.58
CH4,p101,2041,2.5,29197097147.140278
CH4,p101,2041,2.0,35603654434.822136
CH4,p101,2041,1.5,45266003130.998055
CH4,p101,2044,2.5,33255921549.19024
CH4,p101,2044,2.0,40303534062.92592
CH4,p101,2044,1.5,51095190724.58368
CH4,p101,2047,2.5,35524169065.649155
CH4,p101,2047,2.0,42825148597.54638
CH4,p101,2047,1.5,54158012348.55102
CH4,p101,2050,2.5,39226866802.5675
CH4,p101,2050,2.0,47072240163.08099
CH4,p101,2050,1.5,59400684015.3165
CH4,p102,2020,2.5,8141677047.2401
CH4,p102,2020,2.0,10020525596.603199
CH4,p102,2020,1.5,14404505545.1171
CH4,p102,2023,2.5,9027978337.811281
CH4,p102,2023,2.0,11223973068.630241
CH4,p102,2023,1.5,15676962383.902021
CH4,p102,2026,2.5,8152218978.581321
CH4,p102,2026,2.0,10214828599.668161
CH4,p102,2026,1.5,13947169818.777681
CH4,p102,2029,2.5,8428816871.069681
