i,r,t,Value
battery_4,p2,2041,-0.0
battery_4,p4,2041,-0.0
battery_4,p5,2041,-0.0
battery_4,p6,2026,-169.000127
battery_4,p6,2029,-194.522423
battery_4,p6,2032,-324.054976
battery_4,p6,2035,-436.764709
battery_4,p6,2038,-441.747689
battery_4,p6,2041,-570.21458
battery_4,p6,2044,-572.69834
battery_4,p6,2047,-588.698444
battery_4,p6,2050,-561.272137
battery_4,p7,2026,-19.311432
battery_4,p7,2029,-19.33271
battery_4,p7,2032,-27.154053
battery_4,p7,2035,-38.522962
battery_4,p7,2038,-40.970849
battery_4,p7,2044,0.0
battery_4,p8,2029,-47392.566775
battery_4,p8,2032,-45743.223216
battery_4,p8,2035,-48446.020138
battery_4,p8,2038,-74501.924014
battery_4,p8,2041,-70939.0556
battery_4,p8,2044,-67945.871655
battery_4,p8,2047,-79360.080473
battery_4,p8,2050,-78022.704865
battery_4,p9,2020,-166.642771
battery_4,p9,2023,-169493.035721
battery_4,p9,2026,-377118.836387
battery_4,p9,2029,-426957.158172
battery_4,p9,2032,-423851.983548
battery_4,p9,2035,-438739.344466
battery_4,p9,2038,-46989.177388
battery_4,p9,2041,-384439.516853
battery_4,p9,2044,-481385.288435
battery_4,p9,2047,-502407.426915
battery_4,p9,2050,-474246.870057
battery_4,p10,2020,-4278.73608
battery_4,p10,2023,-738329.644724
battery_4,p10,2026,-1248932.681358
battery_4,p10,2029,-1274304.010707
battery_4,p10,2032,-1392752.366777
battery_4,p10,2035,-1489586.897655
battery_4,p10,2038,-510845.846018
battery_4,p10,2041,-224767.109929
battery_4,p10,2044,-223194.299692
battery_4,p10,2047,-222526.910359
battery_4,p10,2050,-221838.733065
battery_4,p11,2020,-11481.008975
battery_4,p11,2023,-52502.971579
battery_4,p11,2026,-140141.823569
battery_4,p11,2029,-148047.566795
battery_4,p11,2032,-151587.807727
battery_4,p11,2035,-110130.814629
battery_4,p11,2038,-74666.220209
battery_4,p11,2041,-337199.241584
battery_4,p11,2044,-330579.646808
battery_4,p11,2047,-330314.909533
battery_4,p11,2050,-337429.145814
battery_4,p12,2044,-165289.49768
battery_4,p12,2047,-193079.44465
battery_4,p12,2050,-188481.088979
battery_4,p13,2023,-12287.302866
battery_4,p13,2026,-140954.901847
battery_4,p13,2029,-450462.081629
battery_4,p13,2032,-480625.058448
battery_4,p13,2035,-521090.084603
battery_4,p13,2038,-512424.040317
battery_4,p13,2041,-375839.442602
battery_4,p13,2044,-563353.670083
battery_4,p13,2047,-619413.892705
battery_4,p13,2050,-613252.309518
battery_4,p15,2023,-2434.458147
battery_4,p15,2026,-11679.665854
battery_4,p15,2029,-13590.647871
battery_4,p15,2032,-15145.101297
battery_4,p15,2035,-24572.835086
battery_4,p16,2023,-71.119967
battery_4,p16,2026,-223.565078
battery_4,p16,2029,-253.496298
battery_4,p16,2032,-234.807772
battery_4,p16,2035,-380.716196
battery_4,p18,2026,-1362.756595
battery_4,p18,2029,-11948.747131
battery_4,p18,2032,-15062.804985
battery_4,p18,2035,-19336.023948
battery_4,p18,2038,-24198.893593
battery_4,p20,2041,0.0
battery_4,p21,2038,-32701.381429
battery_4,p21,2041,-30711.08487
battery_4,p21,2044,-46255.103106
battery_4,p21,2047,-158141.489343
battery_4,p21,2050,-155403.224092
battery_4,p22,2041,-15685.240434
battery_4,p22,2044,-10323.372719
battery_4,p22,2047,-35463.89598
battery_4,p22,2050,-35352.502474
battery_4,p23,2041,-39706.059916
battery_4,p23,2044,-39466.40892
battery_4,p23,2047,-37598.059614
battery_4,p23,2050,-39488.819004
battery_4,p24,2041,-39941.854157
battery_4,p24,2044,-40317.528925
battery_4,p24,2047,-40262.316508
battery_4,p24,2050,-40205.219158
battery_4,p25,2047,-118999.933106
battery_4,p25,2050,-113223.213534
battery_4,p26,2038,0.0
battery_4,p26,2044,-116991.07875
battery_4,p26,2047,-148525.097392
battery_4,p26,2050,-144171.469631
battery_4,p27,2044,-75820.143252
battery_4,p27,2047,-74900.127152
battery_4,p27,2050,-69986.476893
battery_4,p28,2023,-111014.878442
battery_4,p28,2026,-175715.06929
battery_4,p28,2029,-267691.636508
battery_4,p28,2032,-293026.797894
