eall,r,t,dr,Value
CH4,p1,2020,2.5,610422195.5208
CH4,p1,2020,2.0,751288856.0256
CH4,p1,2020,1.5,1079977730.5368
CH4,p1,2023,2.5,323126329.19732
CH4,p1,2023,2.0,401724625.48856
CH4,p1,2023,1.5,561104504.0791299
CH4,p1,2026,2.5,725882913.5212201
CH4,p1,2026,2.0,909540036.21936
CH4,p1,2026,1.5,1241871972.53028
CH4,p1,2029,2.5,665043584.12184
CH4,p1,2029,2.0,838533214.76232
CH4,p1,2029,1.5,1124068231.85811
CH4,p1,2032,2.5,552744515.99892
CH4,p1,2032,2.0,692272257.90156
CH4,p1,2032,1.5,912296773.9787999
CH4,p1,2035,2.5,2178770051.5434003
CH4,p1,2035,2.0,2699780281.2603
CH4,p1,2035,1.5,3504977909.0046
CH4,p1,2038,2.5,5157465123.38796
CH4,p1,2038,2.0,6335154009.83088
CH4,p1,2038,1.5,8121992320.2960005
CH4,p1,2041,2.5,5616278404.22844
CH4,p1,2041,2.0,6848627262.71022
CH4,p1,2041,1.5,8707251770.584381
CH4,p1,2044,2.5,6570578024.76642
CH4,p1,2044,2.0,7963018400.87586
CH4,p1,2044,1.5,10095192726.79344
CH4,p1,2047,2.5,8496793510.066459
CH4,p1,2047,2.0,10243067022.871529
CH4,p1,2047,1.5,12953700535.285368
CH4,p1,2050,2.5,10457373210.4275
CH4,p1,2050,2.0,12548847852.512999
CH4,p1,2050,1.5,15835450861.5045
CH4,p10,2020,2.5,2669341842.0474
CH4,p10,2020,2.0,3285343805.5968003
CH4,p10,2020,1.5,4722681720.545401
CH4,p10,2023,2.5,5643290350.80916
CH4,p10,2023,2.0,7015982598.30328
CH4,p10,2023,1.5,9799497433.49969
CH4,p10,2026,2.5,5024039602.476601
CH4,p10,2026,2.0,6295182152.500801
CH4,p10,2026,1.5,8595344862.068401
CH4,p10,2029,2.5,6129886729.91568
CH4,p10,2029,2.0,7728987615.98064
CH4,p10,2029,1.5,10360841157.62922
CH4,p10,2032,2.5,10672079649.119581
CH4,p10,2032,2.0,13366002667.34394
CH4,p10,2032,1.5,17614112042.236202
CH4,p10,2035,2.5,10845786105.598099
CH4,p10,2035,2.0,13439343652.58895
CH4,p10,2035,1.5,17447568952.4839
CH4,p10,2038,2.5,13748576253.066822
CH4,p10,2038,2.0,16888014925.026962
