,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2010,6.0,2528959652.56,1320489536.8254106,1204045881.6399999,2422029681.965,4497794809.44,6.0,364.78475000000003,190.47144437158818,173.67510000000001,349.3609,648.7756
AL,2015,6.0,606593361.7183334,341714251.6546543,270995700.28,576441996.12,1173257110.09,6.0,87.49686666666666,49.289878197076796,39.0893,83.14775,169.23409999999998
AL,2020,6.0,683934000.9,357449866.41187763,326394925.29999995,656399748.075,1218402338.58,6.0,98.6527,51.55964813875284,47.080200000000005,94.68105,175.74599999999998
AL,2023,6.0,1256594740.3816667,656648505.0651101,595703883.6899999,1200392033.51,2236031966.41,6.0,181.25508333333335,94.71691628082952,85.9263,173.14819999999997,322.53200000000004
AL,2026,6.0,1089339023.31,577194877.7811333,511090803.81,1040535539.0949999,1973139929.1299999,6.0,157.12956666666665,83.25635995736704,73.7213,150.08995000000002,284.6118
AL,2029,6.0,1096832308.4883335,580352689.3641449,515275225.59999996,1047898833.455,1983354131.75,6.0,158.21043333333333,83.7118305389069,74.3249,151.1521,286.085
AL,2032,6.0,1904882937.405,986302357.1900963,915826901.8299999,1828523284.1600003,3350553441.5,6.0,274.76608333333337,142.267240543133,132.1016,263.7518,483.2939
AL,2035,6.0,1275572125.8700001,707478576.2722073,575603990.87,1212156101.31,2429205761.35,6.0,183.99233333333333,102.0488397345833,83.0267,174.8451,350.3959
AL,2038,6.0,1095025125.6,580124894.6381421,513809216.76000005,1045963909.145,1983089601.5800002,6.0,157.94973333333334,83.6789953960889,74.1133,150.87305,286.0469
AL,2041,6.0,1295459757.0366666,674259236.901182,615880644.35,1237331215.2900002,2292657261.11,6.0,186.86100000000002,97.25716521480564,88.8364,178.4764,330.6997
AL,2044,6.0,964805817.2799999,515123983.651963,450469494.29,921929505.575,1763838821.61,6.0,139.1665,74.30303135124434,64.97710000000001,132.98194999999998,254.4214
AL,2047,6.0,1473805027.8249998,767811975.2208223,706575199.18,1416585252.0900002,2615063744.1099997,6.0,212.5861,110.75150255240784,101.9186,204.3325,377.2047
