eall,r,t,dr,Value
CH4,p1,2020,2.5,464670411.12078494
CH4,p1,2020,2.0,571902044.4563507
CH4,p1,2020,1.5,822109188.9060042
CH4,p1,2023,2.5,253948718.90573528
CH4,p1,2023,2.0,315720028.909833
CH4,p1,2023,1.5,440978518.64036465
CH4,p1,2026,2.5,543647091.2991961
CH4,p1,2026,2.0,681196355.3628482
CH4,p1,2026,1.5,930095023.6685042
CH4,p1,2029,2.5,580541518.7236979
CH4,p1,2029,2.0,731987132.303793
CH4,p1,2029,1.5,981241371.3210328
CH4,p1,2032,2.5,1870958042.816163
CH4,p1,2032,2.0,2343238713.818301
CH4,p1,2032,1.5,3087989002.7062883
CH4,p1,2035,2.5,2876180089.098991
CH4,p1,2035,2.0,3563962284.318315
CH4,p1,2035,1.5,4626898404.202724
CH4,p1,2038,2.5,4184864907.4608755
CH4,p1,2038,2.0,5140463980.818083
CH4,p1,2038,1.5,6590338436.94626
CH4,p1,2041,2.5,4500052474.361712
CH4,p1,2041,2.0,5487474060.462664
CH4,p1,2041,1.5,6976700059.172296
CH4,p1,2044,2.5,5878103096.940735
CH4,p1,2044,2.0,7123793819.471222
CH4,p1,2044,1.5,9031257738.34603
CH4,p1,2047,2.5,7043018558.281568
CH4,p1,2047,2.0,8490510102.468271
CH4,p1,2047,1.5,10737362648.668526
CH4,p1,2050,2.5,8824445702.330505
CH4,p1,2050,2.0,10589334842.796608
CH4,p1,2050,1.5,13362732063.529053
CH4,p10,2020,2.5,1915866407.02257
CH4,p10,2020,2.0,2357989424.027778
CH4,p10,2020,1.5,3389609797.0399313
CH4,p10,2023,2.5,4089558768.1013618
CH4,p10,2023,2.0,5084316306.288179
CH4,p10,2023,1.5,7101463536.500338
CH4,p10,2026,2.5,3539524083.050155
CH4,p10,2026,2.0,4435066320.930315
CH4,p10,2026,1.5,6055571322.8087
CH4,p10,2029,2.5,4323521433.391738
CH4,p10,2029,2.0,5451396589.928712
CH4,p10,2029,1.5,7307691118.395817
CH4,p10,2032,2.5,3851735369.819456
CH4,p10,2032,2.0,4824018084.531164
CH4,p10,2032,1.5,6357233134.653472
CH4,p10,2035,2.5,3717863491.9617486
CH4,p10,2035,2.0,4606917805.256949
CH4,p10,2035,1.5,5980910834.894987
CH4,p10,2038,2.5,3760216034.3405447
CH4,p10,2038,2.0,4618848042.182086
