r,t,Value
p1,2010,41550609.460819
p1,2015,36243707.654876
p1,2020,31926041.652317
p1,2023,37785024.079788
p1,2026,39904847.427897
p1,2029,43348970.751772
p1,2032,41955808.991408
p1,2035,33766704.245723
p1,2038,26972886.668505
p1,2041,28977932.981923
p1,2044,28792673.43025
p1,2047,27805929.274984
p1,2050,27525277.696938
p2,2010,-8455827.935622
p2,2015,830116.345043
p2,2020,-7787603.887303
p2,2023,-4666786.08155
p2,2026,-4276960.053796
p2,2029,-10587812.704021
p2,2032,-14207325.559869
p2,2035,-11312705.117528
p2,2038,-10257502.088987
p2,2041,-10915072.877898
p2,2044,-13171630.763875
p2,2047,-14289875.997321
p2,2050,-16960825.324446
p3,2010,7958131.463475
p3,2015,4601346.366927
p3,2020,4005171.938891
p3,2023,3890340.8859
p3,2026,5086590.892415
p3,2029,6445969.648343
p3,2032,6148551.898843
p3,2035,7325672.909657
p3,2038,6906117.388924
p3,2041,6527393.437157
p3,2044,6316036.326859
p3,2047,6773319.550771
p3,2050,2908078.661116
p4,2010,-49256252.330695
p4,2015,-56691405.01254
p4,2020,-65760592.170534
p4,2023,-65580174.010156
p4,2026,-65488924.639964
p4,2029,-65371155.185645
p4,2032,-61509235.476847
p4,2035,-60522906.775437
p4,2038,-60476091.191939
p4,2041,-62817973.631596
p4,2044,-62613807.122471
p4,2047,-62836560.037623
p4,2050,-62471771.245708
p5,2010,-7769007.964389
p5,2015,-4518980.520833
p5,2020,-14151051.686214
p5,2023,-7154463.64813
p5,2026,-4961401.89334
p5,2029,1309843.109337
p5,2032,7592662.94413
p5,2035,13598504.803131
p5,2038,20060022.4454
p5,2041,20972811.241718
p5,2044,26517280.713906
p5,2047,28735811.864396
p5,2050,32709244.936892
p6,2010,5579324.171983
p6,2015,7299552.263692
p6,2020,6281152.31276
p6,2023,7737200.814776
p6,2026,9982748.713287
p6,2029,12101153.248156
p6,2032,11162095.830253
p6,2035,11433420.634774
p6,2038,11155593.961106
p6,2041,12615752.933129
p6,2044,14450771.515603
p6,2047,16423388.572191
p6,2050,17764924.900502
p7,2010,121018.8315
p7,2015,258743.164428
p7,2020,-564575.454843
p7,2023,-1452139.258743
p7,2026,-1046912.255751
p7,2029,-6804388.998583
p7,2032,-15179531.311196
p7,2035,-19754700.206483
p7,2038,-23381861.60902
p7,2041,-24785805.32855
p7,2044,-27546591.015311
p7,2047,-29174715.50478
p7,2050,-30898975.724937
p8,2010,905661.020323
p8,2015,944671.872712
p8,2020,796575.469912
p8,2023,972946.202205
p8,2026,70465.913616
p8,2029,-1021685.206132
p8,2032,-894193.110398
p8,2035,-1006178.475131
p8,2038,-1109199.346496
p8,2041,-1135453.715782
p8,2044,-1564276.906816
p8,2047,-8245255.137262
p8,2050,-8245102.815306
p9,2010,5273520.115073
p9,2015,2909456.791147
p9,2020,23584966.449592
p9,2023,12997324.467317
p9,2026,12490439.764457
p9,2029,12960748.575963
p9,2032,25298743.579591
p9,2035,27346751.222218
p9,2038,15635686.050476
p9,2041,31480397.865315
p9,2044,41315928.420591
p9,2047,51979118.218571
p9,2050,45130002.969761
p10,2010,40701009.382048
p10,2015,9730043.909023
p10,2020,48266995.040175
p10,2023,30737463.007779
p10,2026,19386392.623625
p10,2029,29673738.88714
p10,2032,33967547.481948
p10,2035,51536290.419834
p10,2038,70503737.261961
p10,2041,56824232.611196
p10,2044,50256602.084588
p10,2047,53686359.305596
p10,2050,69276012.606255
p11,2010,8463951.177248
p11,2015,711909.140051
p11,2020,13096827.149088
p11,2023,10377101.391535
p11,2026,10856772.030534
p11,2029,8687137.968233
p11,2032,10320422.160924
p11,2035,10954197.971817
p11,2038,6243555.051168
p11,2041,4836157.591791
p11,2044,1306162.296139
p11,2047,2826859.119423
p11,2050,2244441.782251
p12,2010,1244207.08325
p12,2015,-667387.074093
p12,2020,-5708806.645553
p12,2023,-1457341.323776
p12,2026,-2415801.241191
p12,2029,-2330116.493909
