eall,r,t,dr,Value
CH4,p1,2020,2.5,352586800.04077595
CH4,p1,2020,2.0,433952984.66557044
CH4,p1,2020,1.5,623807415.4567574
CH4,p1,2023,2.5,138885476.8975696
CH4,p1,2023,2.0,172668430.73751897
CH4,p1,2023,1.5,241172753.80186075
CH4,p1,2026,2.5,433846951.34535706
CH4,p1,2026,2.0,543615457.1074353
CH4,p1,2026,1.5,742244181.8197674
CH4,p1,2029,2.5,397024027.2873991
CH4,p1,2029,2.0,500595512.6667206
CH4,p1,2029,1.5,671056915.686854
CH4,p1,2032,2.5,355365443.88510793
CH4,p1,2032,2.0,445069342.3415429
CH4,p1,2032,1.5,586525489.9074597
CH4,p1,2035,2.5,871567912.0453858
CH4,p1,2035,2.0,1079986325.7953691
CH4,p1,2035,1.5,1402087510.6817074
CH4,p1,2038,2.5,2307807336.4083323
CH4,p1,2038,2.0,2834786964.4070854
CH4,p1,2038,1.5,3634342262.060366
CH4,p1,2041,2.5,2655379583.243644
CH4,p1,2041,2.0,3238034815.538113
CH4,p1,2041,1.5,4116793526.539607
CH4,p1,2044,2.5,3441308180.625773
CH4,p1,2044,2.0,4170592033.4736195
CH4,p1,2044,1.5,5287307933.146883
CH4,p1,2047,2.5,4519111614.98573
CH4,p1,2047,2.0,5447886088.004269
CH4,p1,2047,1.5,6889565867.018123
CH4,p1,2050,2.5,5947275240.463519
CH4,p1,2050,2.0,7136730288.556223
CH4,p1,2050,1.5,9005873935.559044
CH4,p10,2020,2.5,3375589133.8879313
CH4,p10,2020,2.0,4154571241.7082233
CH4,p10,2020,1.5,5972196159.955571
CH4,p10,2023,2.5,5157754926.548532
CH4,p10,2023,2.0,6412343962.736012
CH4,p10,2023,1.5,8956371730.560625
CH4,p10,2026,2.5,4539731147.925247
CH4,p10,2026,2.0,5688337823.906334
CH4,p10,2026,1.5,7766768951.872109
CH4,p10,2029,2.5,4938870926.697296
CH4,p10,2029,2.0,6227272038.009634
CH4,p10,2029,1.5,8347765533.711191
CH4,p10,2032,2.5,6320724834.595982
CH4,p10,2032,2.0,7916247608.377491
CH4,p10,2032,1.5,10432264290.10987
CH4,p10,2035,2.5,6250261078.498128
CH4,p10,2035,2.0,7744888727.704203
CH4,p10,2035,1.5,10054767821.93177
CH4,p10,2038,2.5,6789484878.496867
CH4,p10,2038,2.0,8339839693.271742
CH4,p10,2038,1.5,10692102170.861208
CH4,p10,2041,2.5,6034764098.985209
CH4,p10,2041,2.0,7358938955.237359
CH4,p10,2041,1.5,9356055131.879948
CH4,p10,2044,2.5,4447942940.658566
CH4,p10,2044,2.0,5390553365.168992
CH4,p10,2044,1.5,6833925577.700581
CH4,p10,2047,2.5,4674251113.358285
CH4,p10,2047,2.0,5634910084.508608
CH4,p10,2047,1.5,7126082218.831496
CH4,p10,2050,2.5,4647039030.390472
CH4,p10,2050,2.0,5576446836.468567
CH4,p10,2050,1.5,7036944817.44843
CH4,p100,2020,2.5,615814941.2336011
CH4,p100,2020,2.0,757926081.5182782
CH4,p100,2020,1.5,1089518742.182525
CH4,p100,2023,2.5,646593053.3362299
CH4,p100,2023,2.0,803872444.6882858
CH4,p100,2023,1.5,1122800099.3743992
CH4,p100,2026,2.5,856370444.9172271
CH4,p100,2026,2.0,1073042485.1974896
CH4,p100,2026,1.5,1465115700.9427261
CH4,p100,2029,2.5,686885525.7251562
CH4,p100,2029,2.0,866073054.175197
CH4,p100,2029,1.5,1160985861.415889
CH4,p100,2032,2.5,634015719.4941713
CH4,p100,2032,2.0,794058522.4732825
CH4,p100,2032,1.5,1046433711.7864962
CH4,p100,2035,2.5,559693990.647497
CH4,p100,2035,2.0,693533857.9762464
CH4,p100,2035,1.5,900377289.3024954
CH4,p100,2038,2.5,441869527.62928843
CH4,p100,2038,2.0,542768868.5840077
CH4,p100,2038,1.5,695857523.825651
CH4,p100,2041,2.5,367220160.5715402
CH4,p100,2041,2.0,447797246.164576
CH4,p100,2041,1.5,569323342.4688267
CH4,p100,2044,2.5,361660842.8837803
CH4,p100,2044,2.0,438304200.3161046
CH4,p100,2044,1.5,555664341.3843511
CH4,p101,2020,2.5,14823743259.395428
CH4,p101,2020,2.0,18244607088.48668
CH4,p101,2020,1.5,26226622689.699604
CH4,p101,2023,2.5,15478379985.47444
CH4,p101,2023,2.0,19243391333.292545
CH4,p101,2023,1.5,26877997677.479263
CH4,p101,2026,2.5,14622803987.230997
CH4,p101,2026,2.0,18322549574.361732
CH4,p101,2026,1.5,25017327303.455444
CH4,p101,2029,2.5,12639406092.475624
CH4,p101,2029,2.0,15936642464.425789
CH4,p101,2029,1.5,21363343993.260433
CH4,p101,2032,2.5,12848005196.113018
CH4,p101,2032,2.0,16091190973.772614
CH4,p101,2032,1.5,21205445469.312748
CH4,p101,2035,2.5,14291460607.943876
CH4,p101,2035,2.0,17708983796.80002
CH4,p101,2035,1.5,22990610543.21406
CH4,p101,2038,2.5,15465886217.998554
CH4,p101,2038,2.0,18997466535.494286
CH4,p101,2038,1.5,24355726327.55678
CH4,p101,2041,2.5,17066941890.97788
CH4,p101,2041,2.0,20811846406.624107
CH4,p101,2041,1.5,26459899118.74628
CH4,p101,2044,2.5,18295167604.771477
CH4,p101,2044,2.0,22172289216.378677
CH4,p101,2044,1.5,28109131684.152203
CH4,p101,2047,2.5,20280864686.43781
CH4,p101,2047,2.0,24449017858.190365
CH4,p101,2047,1.5,30918986960.612244
CH4,p101,2050,2.5,20399291111.67095
CH4,p101,2050,2.0,24479149334.005142
CH4,p101,2050,1.5,30890355111.958866
CH4,p102,2020,2.5,5944627169.319022
CH4,p102,2020,2.0,7316464208.392642
CH4,p102,2020,1.5,10517417299.564425
CH4,p102,2023,2.5,6591548531.615525
