i,r,t,Value
battery_4,p6,2026,-81.399026
battery_4,p6,2029,-234.961213
battery_4,p6,2032,-372.447686
battery_4,p6,2035,-442.491253
battery_4,p6,2038,-415.267469
battery_4,p6,2041,-544.317172
battery_4,p6,2044,-551.846502
battery_4,p6,2047,-554.853329
battery_4,p6,2050,-496.770571
battery_4,p7,2026,-7.635631
battery_4,p7,2029,-20.95629
battery_4,p7,2032,-35.326067
battery_4,p7,2035,-41.823286
battery_4,p7,2038,-38.878159
battery_4,p8,2029,-32231.385856
battery_4,p8,2032,-33363.150116
battery_4,p8,2035,-42714.133688
battery_4,p8,2038,-48884.365442
battery_4,p8,2041,-50516.689891
battery_4,p8,2044,-103497.062229
battery_4,p8,2047,-107280.562304
battery_4,p8,2050,-104576.638753
battery_4,p9,2020,-177.038754
battery_4,p9,2023,-193645.786685
battery_4,p9,2026,-379587.210906
battery_4,p9,2029,-443701.882315
battery_4,p9,2032,-514207.030466
battery_4,p9,2035,-546652.158548
battery_4,p9,2038,-154597.69968
battery_4,p9,2041,-341039.30548
battery_4,p9,2044,-450102.539993
battery_4,p9,2047,-512004.284526
battery_4,p9,2050,-474399.137552
battery_4,p10,2020,-3441.801249
battery_4,p10,2023,-861892.690394
battery_4,p10,2026,-1393644.51748
battery_4,p10,2029,-1498264.796611
battery_4,p10,2032,-1667852.080984
battery_4,p10,2035,-1728870.700207
battery_4,p10,2038,-1002054.479353
battery_4,p10,2041,-700390.504478
battery_4,p10,2044,-690859.372847
battery_4,p10,2047,-681643.086978
battery_4,p10,2050,-633941.745542
battery_4,p11,2020,-7335.234902
battery_4,p11,2023,-67091.712793
battery_4,p11,2026,-126013.474289
battery_4,p11,2029,-158592.793963
battery_4,p11,2032,-185173.055473
battery_4,p11,2035,-121670.76466
battery_4,p11,2038,-85148.73961
battery_4,p11,2041,-178307.225496
battery_4,p11,2044,-175850.993623
battery_4,p11,2047,-172363.320985
battery_4,p11,2050,-162154.242276
battery_4,p12,2032,-225.417424
battery_4,p12,2035,-243.084217
battery_4,p12,2038,-11499.049852
battery_4,p12,2041,-12892.845664
battery_4,p12,2044,-136839.606808
battery_4,p12,2047,-155634.22381
battery_4,p12,2050,-151181.529082
battery_4,p13,2023,-10097.267375
battery_4,p13,2026,-141399.806121
battery_4,p13,2029,-195887.019187
battery_4,p13,2032,-222376.1917
battery_4,p13,2035,-241686.173522
battery_4,p13,2038,-232418.179208
battery_4,p13,2041,-254983.406063
battery_4,p13,2044,-208963.990133
battery_4,p13,2047,-163036.858032
battery_4,p13,2050,-157190.527897
battery_4,p15,2023,-3701.094084
battery_4,p15,2026,-4625.076601
battery_4,p15,2029,-8694.877757
battery_4,p15,2032,-16879.119547
battery_4,p15,2035,-17244.439584
battery_4,p16,2023,-79.079567
battery_4,p16,2026,-129.791338
battery_4,p16,2029,-173.071714
battery_4,p16,2032,-261.333485
battery_4,p16,2035,-306.695292
battery_4,p18,2026,-92.16836
battery_4,p18,2029,-824.079169
battery_4,p18,2032,-1736.16836
battery_4,p18,2035,-7928.76945
battery_4,p18,2038,-9724.52621
battery_4,p23,2044,-55998.697607
battery_4,p23,2047,-57046.674606
battery_4,p23,2050,-54777.492778
battery_4,p24,2047,-23492.862584
battery_4,p24,2050,-23669.474866
battery_4,p25,2029,-28749.649898
battery_4,p25,2032,-23919.057697
battery_4,p25,2035,-22967.011653
battery_4,p25,2038,-20405.082456
battery_4,p25,2041,-21211.514934
battery_4,p28,2023,-167188.077475
battery_4,p28,2026,-198871.696716
battery_4,p28,2029,-237287.922245
battery_4,p28,2032,-236307.828411
battery_4,p28,2035,-239374.83057
battery_4,p28,2038,-56432.260389
battery_4,p28,2047,-6011.057217
battery_4,p28,2050,-6032.429955
battery_4,p29,2047,-7083.422988
