,,damage_$,damage_$,damage_$,damage_$,damage_$,damage_$,mortality,mortality,mortality,mortality,mortality,mortality
,,count,mean,std,min,50%,max,count,mean,std,min,50%,max
state_abbr,year,,,,,,,,,,,,
AL,2010,6.0,2485324857.0433335,1297639634.2279654,1183234008.73,2380124987.625,4419845250.559999,6.0,358.4907666666666,187.17547286969696,170.6732,343.31645000000003,637.5318
AL,2015,6.0,510376633.8883333,273648605.7589755,237628810.95,487739032.61,937688605.38,6.0,73.61831666666666,39.471896841596894,34.2763,70.35305,135.2551
AL,2020,6.0,455372836.7633333,259188434.0208955,201715046.04,432206628.275,889415536.87,6.0,65.68435,37.38611440386658,29.095999999999997,62.34275,128.292
AL,2023,6.0,1052590229.5716667,559215315.7553333,492972056.13,1005525912.5250001,1912843602.59,6.0,151.82878333333335,80.66289732746813,71.1078,145.04005,275.91429999999997
AL,2026,6.0,903276842.6766666,481243192.58177996,422254634.14,862968038.3050001,1647108310.29,6.0,130.29136666666665,69.4159974324843,60.9072,124.47710000000001,237.5839
AL,2029,6.0,1042584979.8266667,551075355.2228597,490179309.22999996,996098050.9150001,1882830704.05,6.0,150.38558333333333,79.48875215758306,70.705,143.6802,271.5851
AL,2032,6.0,1152989901.1533334,610156626.8918076,541782029.36,1101803037.69,2085371571.75,6.0,166.31075,88.01082750822765,78.14829999999999,158.9274,300.8003
AL,2035,6.0,1099965736.5733335,582490692.8975017,516403035.57,1050841750.655,1991032172.1399999,6.0,158.66238333333334,84.02016124912917,74.4876,151.57659999999998,287.1924
AL,2038,6.0,1084861128.1249998,574356419.5304041,509401370.78999996,1036415605.8050001,1963120413.07,6.0,156.48366666666666,82.84690936520605,73.4777,149.4957,283.1665
AL,2041,6.0,1073700169.3433334,568619832.4510612,503977748.03000003,1025652637.78,1943616139.46,6.0,154.87378333333334,82.01945077393329,72.6953,147.94325,280.3531
AL,2044,6.0,1117491867.4466667,626541599.0647916,500734750.14,1061914022.41,2151389164.98,6.0,161.19043333333335,90.37423410303772,72.22760000000001,153.17375,310.3229
AL,2047,6.0,972443853.0266666,554585256.941284,431193461.01,924275298.21,1903165366.93,6.0,140.26826666666668,79.99507198795853,62.196600000000004,133.32035,274.5183
