eall,r,t,dr,Value
CH4,p1,2020,2.5,521510389.3012
CH4,p1,2020,2.0,641858940.6784
CH4,p1,2020,1.5,922672227.2251999
CH4,p1,2023,2.5,190221632.12472
CH4,p1,2023,2.0,236491758.85776
CH4,p1,2023,1.5,330317293.62198
CH4,p1,2026,2.5,683145951.4736199
CH4,p1,2026,2.0,855990107.8705599
CH4,p1,2026,1.5,1168755724.20788
CH4,p1,2029,2.5,742820136.38792
CH4,p1,2029,2.0,936599302.40216
CH4,p1,2029,1.5,1255527513.13393
CH4,p1,2032,2.5,1528075451.34904
CH4,p1,2032,2.0,1913803235.18472
CH4,p1,2032,1.5,2522066278.9256
CH4,p1,2035,2.5,1692831287.9304001
CH4,p1,2035,2.0,2097638769.8268
CH4,p1,2035,1.5,2723250332.7576003
CH4,p1,2038,2.5,4265492628.17726
CH4,p1,2038,2.0,5239502755.87128
CH4,p1,2038,1.5,6717311225.476
CH4,p1,2041,2.5,4481534602.0978
CH4,p1,2041,2.0,5464892914.0689
CH4,p1,2041,1.5,6947990696.0581
CH4,p1,2044,2.5,5493392065.346959
CH4,p1,2044,2.0,6657554622.241679
CH4,p1,2044,1.5,8440178537.486719
CH4,p1,2047,2.5,6199826445.26248
CH4,p1,2047,2.0,7474023904.87164
CH4,p1,2047,1.5,9451882648.14556
CH4,p1,2050,2.5,8699785608.6015
CH4,p1,2050,2.0,10439742730.3218
CH4,p1,2050,1.5,13173961064.4537
CH4,p10,2020,2.5,4600378174.9925995
CH4,p10,2020,2.0,5662003907.6832
CH4,p10,2020,1.5,8139130617.2946
CH4,p10,2023,2.5,7014048821.25848
CH4,p10,2023,2.0,8720168804.80784
CH4,p10,2023,1.5,12179800993.67182
CH4,p10,2026,2.5,5319211121.98574
CH4,p10,2026,2.0,6665035622.729119
CH4,p10,2026,1.5,9100337100.26476
CH4,p10,2029,2.5,5701346434.70064
CH4,p10,2029,2.0,7188654200.274719
CH4,p10,2029,1.5,9636514897.782059
CH4,p10,2032,2.5,4189768999.06076
CH4,p10,2032,2.0,5247380591.05668
CH4,p10,2032,1.5,6915152716.8963995
CH4,p10,2035,2.5,3962495073.9899
CH4,p10,2035,2.0,4910048243.85705
CH4,p10,2035,1.5,6374448597.2881
CH4,p10,2038,2.5,4067558470.531
CH4,p10,2038,2.0,4996371034.668
CH4,p10,2038,1.5,6405603890.6
CH4,p10,2041,2.5,4267292888.1067004
CH4,p10,2041,2.0,5203641327.58335
CH4,p10,2041,1.5,6615838974.007151
CH4,p10,2044,2.5,4415334429.48382
CH4,p10,2044,2.0,5351034441.03006
CH4,p10,2044,1.5,6783825083.71024
CH4,p10,2047,2.5,4387547266.728519
CH4,p10,2047,2.0,5289282441.17886
CH4,p10,2047,1.5,6688990771.66894
CH4,p10,2050,2.5,4655558592.8005
CH4,p10,2050,2.0,5586670311.3606
CH4,p10,2050,1.5,7049845869.0979
CH4,p100,2020,2.5,842997537.0804
CH4,p100,2020,2.0,1037535430.2528
CH4,p100,2020,1.5,1491457180.9884
CH4,p100,2023,2.5,882371067.4560001
CH4,p100,2023,2.0,1097001867.648
CH4,p100,2023,1.5,1532225434.704
CH4,p100,2026,2.5,1184996632.62734
CH4,p100,2026,2.0,1484815057.7499201
CH4,p100,2026,1.5,2027343636.54316
CH4,p100,2029,2.5,887562212.8936801
CH4,p100,2029,2.0,1119100181.4746401
CH4,p100,2029,1.5,1500173088.09747
CH4,p100,2032,2.5,883453639.33408
CH4,p100,2032,2.0,1106461354.11744
CH4,p100,2032,1.5,1458127365.8911998
CH4,p100,2035,2.5,776079572.5000999
CH4,p100,2035,2.0,961663818.09795
CH4,p100,2035,1.5,1248475834.0219
CH4,p100,2038,2.5,658896716.61084
CH4,p100,2038,2.0,809353447.17552
CH4,p100,2038,1.5,1037632624.584
CH4,p100,2041,2.5,761882105.32504
CH4,p100,2041,2.0,929057675.19852
CH4,p100,2041,1.5,1181191321.56508
CH4,p100,2044,2.5,732039282.67638
CH4,p100,2044,2.0,887173435.29654
CH4,p100,2044,1.5,1124722606.49616
CH4,p101,2020,2.5,20315292649.834
CH4,p101,2020,2.0,25003437107.488
CH4,p101,2020,1.5,35942440842.014
CH4,p101,2023,2.5,21301787712.850403
CH4,p101,2023,2.0,26483303643.0032
CH4,p101,2023,1.5,36990266501.3686
CH4,p101,2026,2.5,20030662741.50758
CH4,p101,2026,2.0,25098661748.395042
CH4,p101,2026,1.5,34269326618.00092
CH4,p101,2029,2.5,20533897662.56048
CH4,p101,2029,2.0,25890566618.01104
CH4,p101,2029,1.5,34706750940.523415
CH4,p101,2032,2.5,23159030387.76918
CH4,p101,2032,2.0,29004999223.51674
CH4,p101,2032,1.5,38223642387.5802
CH4,p101,2035,2.5,24071476637.1557
CH4,p101,2035,2.0,29827699311.258152
CH4,p101,2035,1.5,38723679807.5983
CH4,p101,2038,2.5,27140225613.63122
CH4,p101,2038,2.0,33337599966.350163
CH4,p101,2038,1.5,42740512777.372
CH4,p101,2041,2.5,29344092331.02456
CH4,p101,2041,2.0,35782903957.61628
CH4,p101,2041,1.5,45493898541.984116
CH4,p101,2044,2.5,33242200270.258335
CH4,p101,2044,2.0,40286904963.29321
CH4,p101,2044,1.5,51074109024.50288
CH4,p101,2047,2.5,35808422918.797226
CH4,p101,2047,2.0,43167822721.12672
CH4,p101,2047,1.5,54591368682.9516
CH4,p101,2050,2.5,38027459019.396
CH4,p101,2050,2.0,45632950823.27521
CH4,p101,2050,1.5,57584437943.65681
CH4,p102,2020,2.5,8141677047.2401
CH4,p102,2020,2.0,10020525596.603199
CH4,p102,2020,1.5,14404505545.1171
CH4,p102,2023,2.5,9032722097.61112
CH4,p102,2023,2.0,11229870715.948961
CH4,p102,2023,1.5,15685199858.68958
CH4,p102,2026,2.5,8152218978.581321
CH4,p102,2026,2.0,10214828599.668161
CH4,p102,2026,1.5,13947169818.777681
CH4,p102,2029,2.5,8428816871.069681
