sys_costs,i,r,t,Value
inv_h2_production,electrolyzer,p127,2041,888135333.791803
inv_h2_production,electrolyzer,p127,2047,15564967.377818
inv_h2_production,electrolyzer,p127,2050,82113822.945957
inv_investment_capacity_costs,battery_4,p6,2026,3412569.2986
inv_investment_capacity_costs,battery_4,p6,2041,2668138.7675
inv_investment_capacity_costs,battery_4,p7,2026,291899.5464
inv_investment_capacity_costs,battery_4,p8,2029,201542458.8
inv_investment_capacity_costs,battery_4,p8,2038,36959878.476682
inv_investment_capacity_costs,battery_4,p8,2041,623051.35666
inv_investment_capacity_costs,battery_4,p8,2044,382578536.480418
inv_investment_capacity_costs,battery_4,p9,2015,18130771.2
inv_investment_capacity_costs,battery_4,p9,2020,2015193.056
inv_investment_capacity_costs,battery_4,p9,2023,4246538041.15187
inv_investment_capacity_costs,battery_4,p9,2026,306368537.86
inv_investment_capacity_costs,battery_4,p9,2038,426903635.246086
inv_investment_capacity_costs,battery_4,p9,2041,1001145318.973714
inv_investment_capacity_costs,battery_4,p9,2044,365836662.995068
inv_investment_capacity_costs,battery_4,p9,2047,242677265.123053
inv_investment_capacity_costs,battery_4,p10,2015,8986063.476
inv_investment_capacity_costs,battery_4,p10,2020,284049910.4256
inv_investment_capacity_costs,battery_4,p10,2023,9661312454.478575
inv_investment_capacity_costs,battery_4,p10,2026,3122707331.205
inv_investment_capacity_costs,battery_4,p10,2038,1753464457.117651
inv_investment_capacity_costs,battery_4,p10,2041,1062347989.098738
inv_investment_capacity_costs,battery_4,p11,2015,12094735.288
inv_investment_capacity_costs,battery_4,p11,2020,668454543.432
inv_investment_capacity_costs,battery_4,p11,2023,416025983.52
inv_investment_capacity_costs,battery_4,p11,2026,466068795.4692
inv_investment_capacity_costs,battery_4,p11,2041,700144156.292877
inv_investment_capacity_costs,battery_4,p12,2032,1265951.646136
inv_investment_capacity_costs,battery_4,p12,2038,54731922.8448
inv_investment_capacity_costs,battery_4,p12,2044,495091717.301714
inv_investment_capacity_costs,battery_4,p13,2023,94983507.6752
inv_investment_capacity_costs,battery_4,p13,2026,810351130.3888
inv_investment_capacity_costs,battery_4,p13,2029,268599516.823963
inv_investment_capacity_costs,battery_4,p13,2032,241798100.155188
inv_investment_capacity_costs,battery_4,p13,2041,582891877.3288
inv_investment_capacity_costs,battery_4,p15,2023,245527826.178
inv_investment_capacity_costs,battery_4,p16,2023,3799455.152
inv_investment_capacity_costs,battery_4,p18,2026,144593002.4
inv_investment_capacity_costs,battery_4,p23,2044,233099086.574913
inv_investment_capacity_costs,battery_4,p23,2047,1609943.756452
inv_investment_capacity_costs,battery_4,p24,2047,94367903.965961
inv_investment_capacity_costs,battery_4,p25,2029,152380799.191692
inv_investment_capacity_costs,battery_4,p28,2023,1779769540.375886
inv_investment_capacity_costs,battery_4,p28,2026,358817420.5
inv_investment_capacity_costs,battery_4,p28,2047,27973900.447041
inv_investment_capacity_costs,battery_4,p29,2047,31887918.301111
inv_investment_capacity_costs,battery_4,p30,2029,623946804.911297
inv_investment_capacity_costs,battery_4,p31,2023,139163419.056
inv_investment_capacity_costs,battery_4,p31,2026,213109927.8
inv_investment_capacity_costs,battery_4,p31,2044,258512930.786318
inv_investment_capacity_costs,battery_4,p31,2047,575893469.029714
inv_investment_capacity_costs,battery_4,p32,2044,9326219.385824
inv_investment_capacity_costs,battery_4,p33,2023,9349100.13
inv_investment_capacity_costs,battery_4,p33,2047,60136895.350908
inv_investment_capacity_costs,battery_4,p34,2023,421247841.75
inv_investment_capacity_costs,battery_4,p34,2047,55453868.646784
inv_investment_capacity_costs,battery_4,p34,2050,30556199.591306
inv_investment_capacity_costs,battery_4,p37,2029,173737185.12
inv_investment_capacity_costs,battery_4,p39,2050,81595095.743875
inv_investment_capacity_costs,battery_4,p40,2023,1887764.556
inv_investment_capacity_costs,battery_4,p43,2023,1491621.824716
inv_investment_capacity_costs,battery_4,p43,2029,177974677.44
inv_investment_capacity_costs,battery_4,p46,2029,26303697.827579
inv_investment_capacity_costs,battery_4,p46,2044,669266632.944851
inv_investment_capacity_costs,battery_4,p47,2044,219825214.591905
inv_investment_capacity_costs,battery_4,p47,2050,330805285.375388
inv_investment_capacity_costs,battery_4,p48,2026,282983624.0
inv_investment_capacity_costs,battery_4,p48,2047,805406685.865077
inv_investment_capacity_costs,battery_4,p58,2029,375619689.6
inv_investment_capacity_costs,battery_4,p58,2044,1284407993.350466
inv_investment_capacity_costs,battery_4,p58,2047,797740961.295748
inv_investment_capacity_costs,battery_4,p58,2050,1408302592.38678
inv_investment_capacity_costs,battery_4,p59,2047,105770408.745167
inv_investment_capacity_costs,battery_4,p60,2023,93491001.3
inv_investment_capacity_costs,battery_4,p60,2026,282402150.8
inv_investment_capacity_costs,battery_4,p60,2044,1135299253.623111
inv_investment_capacity_costs,battery_4,p60,2047,105016893.529438
inv_investment_capacity_costs,battery_4,p60,2050,2763306695.946816
inv_investment_capacity_costs,battery_4,p61,2023,572725873.9638
inv_investment_capacity_costs,battery_4,p61,2026,727750342.6116
inv_investment_capacity_costs,battery_4,p62,2023,1137057536.054
inv_investment_capacity_costs,battery_4,p62,2047,1189588.01215
inv_investment_capacity_costs,battery_4,p63,2023,1469884090.1582
inv_investment_capacity_costs,battery_4,p63,2026,269150764.2208
inv_investment_capacity_costs,battery_4,p64,2023,775090884.7214
inv_investment_capacity_costs,battery_4,p64,2026,251021980.44
inv_investment_capacity_costs,battery_4,p65,2023,764451333.624
inv_investment_capacity_costs,battery_4,p65,2026,223146155.232
inv_investment_capacity_costs,battery_4,p67,2023,457585515.0
inv_investment_capacity_costs,battery_4,p67,2026,207295195.8
inv_investment_capacity_costs,battery_4,p67,2029,6895558005.075938
inv_investment_capacity_costs,battery_4,p70,2023,9516582.41
inv_investment_capacity_costs,battery_4,p70,2029,174561141.96
inv_investment_capacity_costs,battery_4,p72,2029,176562180.0
inv_investment_capacity_costs,battery_4,p74,2026,805709484.325253
inv_investment_capacity_costs,battery_4,p74,2041,333396240.376115
inv_investment_capacity_costs,battery_4,p75,2041,7831909.826896
inv_investment_capacity_costs,battery_4,p75,2044,554216582.988599
inv_investment_capacity_costs,battery_4,p76,2023,9588360.53
inv_investment_capacity_costs,battery_4,p76,2044,2353142134.504605
inv_investment_capacity_costs,battery_4,p76,2047,375806340.040011
inv_investment_capacity_costs,battery_4,p76,2050,276299809.674788
inv_investment_capacity_costs,battery_4,p77,2023,576378.3036
inv_investment_capacity_costs,battery_4,p77,2041,316605963.70809
inv_investment_capacity_costs,battery_4,p77,2044,1036589151.0309
inv_investment_capacity_costs,battery_4,p77,2050,354220110.9082
inv_investment_capacity_costs,battery_4,p78,2023,579967.2096
inv_investment_capacity_costs,battery_4,p78,2050,386301063.00354
inv_investment_capacity_costs,battery_4,p79,2029,152006730.327885
inv_investment_capacity_costs,battery_4,p79,2044,848476797.631127
inv_investment_capacity_costs,battery_4,p79,2047,236673767.670149
