r,t,Value
p1,2010,41550572.049103
p1,2015,36206319.841729
p1,2020,31651333.145698
p1,2023,37785589.135788
p1,2026,39374758.066658
p1,2029,42075608.768173
p1,2032,37843689.662779
p1,2035,36699732.271254
p1,2038,26127532.553514
p1,2041,28519360.985577
p1,2044,27898523.295892
p1,2047,30137544.228118
p1,2050,25593981.546811
p2,2010,-8456452.982295
p2,2015,868940.454995
p2,2020,-7909469.543384
p2,2023,-4641326.045438
p2,2026,-5379110.317941
p2,2029,-8894618.032684
p2,2032,-11308673.428626
p2,2035,-11555895.006987
p2,2038,-7864838.704264
p2,2041,-10718051.059152
p2,2044,-8735224.658026
p2,2047,-10096620.301147
p2,2050,-9206636.832143
p3,2010,7958131.463475
p3,2015,4601346.366927
p3,2020,4005171.938891
p3,2023,3890340.8859
p3,2026,5086590.892415
p3,2029,5805928.557072
p3,2032,6170912.13109
p3,2035,7344752.598479
p3,2038,5274739.784556
p3,2041,5992483.366473
p3,2044,6549745.848477
p3,2047,6252796.704104
p3,2050,4860687.558679
p4,2010,-49256252.282367
p4,2015,-56707927.412528
p4,2020,-65791099.16611
p4,2023,-65580186.061476
p4,2026,-65537546.077651
p4,2029,-66410841.543323
p4,2032,-65954770.89574
p4,2035,-64336610.512869
p4,2038,-64084765.945198
p4,2041,-63389918.766179
p4,2044,-65654818.948566
p4,2047,-65335650.665567
p4,2050,-65155597.294992
p5,2010,-7769566.862933
p5,2015,-4344819.916473
p5,2020,-13684126.0545
p5,2023,-6760049.392643
p5,2026,-5281355.475971
p5,2029,-3067211.137303
p5,2032,3471229.156067
p5,2035,9083652.804236
p5,2038,16677349.910192
p5,2041,19587473.419754
p5,2044,25703080.94132
p5,2047,27928732.62748
p5,2050,32541956.387962
p6,2010,5579303.843424
p6,2015,7299361.890205
p6,2020,6246729.744115
p6,2023,7727334.174776
p6,2026,9835316.917025
p6,2029,12207627.635753
p6,2032,12803458.685377
p6,2035,11537241.652908
p6,2038,13319273.75997
p6,2041,14852836.969037
p6,2044,16477193.024966
p6,2047,18018345.37488
p6,2050,17928860.705811
p7,2010,121018.8315
p7,2015,258743.164428
p7,2020,-564575.454843
p7,2023,-1452187.204982
p7,2026,-1046916.520634
p7,2029,-7556251.955732
p7,2032,-15128752.141787
p7,2035,-18338724.498016
p7,2038,-21661123.022109
p7,2041,-25087000.475198
p7,2044,-27080228.863865
p7,2047,-29999060.014452
p7,2050,-31759186.237726
p8,2010,905661.020323
p8,2015,944671.872712
p8,2020,796575.469912
p8,2023,969338.822205
p8,2026,42521.195791
p8,2029,-1000827.819827
p8,2032,-1037473.386432
p8,2035,-926848.552081
p8,2038,-756099.562655
p8,2041,-820074.414466
p8,2044,-937453.527968
p8,2047,-1024777.607249
p8,2050,-1133751.021802
p9,2010,5273364.300261
p9,2015,2909456.791147
p9,2020,23810852.096961
p9,2023,12798063.468892
p9,2026,14156628.584499
p9,2029,12195227.145855
p9,2032,20370196.767341
p9,2035,24849360.972266
p9,2038,24942226.788772
p9,2041,26158613.854893
p9,2044,25644482.048193
p9,2047,24691876.648998
p9,2050,27757251.532703
p10,2010,40699823.258776
p10,2015,9728529.659136
p10,2020,48434521.035466
p10,2023,31323239.331298
p10,2026,33157738.241538
p10,2029,44152781.252265
p10,2032,66319720.859453
p10,2035,54916608.866532
p10,2038,44269948.659158
p10,2041,37645285.123192
p10,2044,33710825.548118
p10,2047,35479460.828755
p10,2050,46760173.026103
p11,2010,8463874.796275
p11,2015,711909.140051
p11,2020,13166147.188904
p11,2023,10417592.620057
p11,2026,10378393.863216
p11,2029,9636824.9353
p11,2032,3857955.413566
p11,2035,5861544.213603
p11,2038,8751020.603136
p11,2041,11506372.915894
p11,2044,11787643.603599
p11,2047,11406233.221175
p11,2050,6801175.107788
p12,2010,1245797.598216
p12,2015,-685227.411967
p12,2020,-5762052.136648
p12,2023,-1514346.581184
p12,2026,-3593738.128377
p12,2029,-4480772.531747
p12,2032,-2593036.579195
p12,2035,819290.189983
p12,2038,-1033174.547934
p12,2041,-1037578.154836
p12,2044,-1367371.177473
p12,2047,-3895774.141231
p12,2050,-3468931.676499
p13,2010,-9403384.761012
p13,2015,-10228660.111148
p13,2020,-14927728.297973
p13,2023,-5140771.782595
p13,2026,-7324610.465194
p13,2029,-5643210.836099
p13,2032,-25224705.476886
p13,2035,-40722682.710487
p13,2038,-38893314.05433
p13,2041,-40932738.911636
p13,2044,-42925171.906981
p13,2047,-43808017.871645
p13,2050,-47967575.883033
p14,2010,2218172.719349
p14,2015,1703249.05548
p14,2020,1327695.259999
p14,2023,2758978.271863
p14,2026,2107905.409653
p14,2029,2770087.719235
p14,2032,2190405.423167
p14,2035,2530448.639941
p14,2038,2849081.709853
p14,2041,1172956.759612
p14,2044,-1558804.361173
p14,2047,-1118532.084338
p14,2050,-740992.750859
p15,2010,7790123.2017
p15,2015,6135591.285692
p15,2020,5113012.877527
p15,2023,6600715.732778
p15,2026,6654598.65503
p15,2029,7706786.617353
p15,2032,8871064.079648
p15,2035,8691827.286745
p15,2038,10100503.323418
p15,2041,11036365.947495
p15,2044,11715071.454303
p15,2047,12430529.001065
p15,2050,11226865.620623
p16,2010,2853773.166727
p16,2015,2006114.275135
p16,2020,1920304.865535
p16,2023,1226063.473795
p16,2026,1302926.966036
p16,2029,-2565026.731957
p16,2032,-8336786.207584
p16,2035,-7866939.760818
p16,2038,-7989762.522549
p16,2041,-7641541.070398
p16,2044,-8073661.262637
p16,2047,-10010200.240795
p16,2050,-11297179.830888
p17,2010,1568578.807435
p17,2015,1275284.0637
p17,2020,843003.969957
p17,2023,1172385.523953
p17,2026,1565580.242157
p17,2029,2044227.142629
p17,2032,2883145.854538
p17,2035,3777263.637879
p17,2038,4630570.221256
p17,2041,4577353.294883
p17,2044,5380131.771302
p17,2047,5757498.882159
p17,2050,6307865.184972
p18,2010,-92482.029389
p18,2015,-396640.33464
p18,2020,-952330.975572
p18,2023,-2258868.550864
p18,2026,-2969181.203274
p18,2029,-2528850.056774
p18,2032,-2056815.894947
p18,2035,-5643399.496575
p18,2038,-6408497.204161
p18,2041,-7674836.898183
p18,2044,-7344430.195371
p18,2047,-7444711.206078
p18,2050,-7524104.894526
p20,2010,-13651419.769374
p20,2015,-536447.041336
p20,2020,232236.937979
p20,2023,-4748398.183085
p20,2026,-5856560.348604
p20,2029,-7146032.798552
p20,2032,-8621902.795305
p20,2035,-8443175.077762
p20,2038,-8800585.051834
p20,2041,-9309324.759734
p20,2044,-11333115.541435
p20,2047,-12333608.383716
p20,2050,-13273424.979157
p21,2010,-9893257.759531
p21,2015,-177443.737573
p21,2020,-364802.441823
p21,2023,-7880709.285598
p21,2026,-6631482.049964
p21,2029,-5565090.212348
p21,2032,-4992051.02511
p21,2035,-3969396.047749
p21,2038,3078541.153371
p21,2041,2270522.079253
p21,2044,2465432.245069
p21,2047,926098.560026
p21,2050,1780324.119397
p22,2010,1508273.499
p22,2015,1492247.472
p22,2020,1352162.886
p22,2023,1464885.966
p22,2026,1600357.581
p22,2029,1759725.3198
p22,2032,1913775.760116
p22,2035,2067988.957716
p22,2038,2192682.845583
p22,2041,1210718.152109
p22,2044,1131066.345795
p22,2047,1218143.457525
p22,2050,1090669.610192
p23,2010,-1928335.547116
p23,2015,492006.765
p23,2020,386671.5066
p23,2023,481100.8308
p23,2026,565686.9066
p23,2029,-1471630.074004
p23,2032,-3446309.624796
p23,2035,-4397586.852833
p23,2038,-4548988.165954
p23,2041,-3840404.68356
p23,2044,-4014495.158803
