i,r,t,Value
battery_4,p6,2026,-68.226581
battery_4,p6,2029,-234.961213
battery_4,p6,2032,-381.501866
battery_4,p6,2035,-433.321234
battery_4,p6,2038,-415.267469
battery_4,p6,2041,-542.112819
battery_4,p6,2044,-562.471393
battery_4,p6,2047,-546.891456
battery_4,p6,2050,-496.770571
battery_4,p7,2026,-7.635631
battery_4,p7,2029,-20.95629
battery_4,p7,2032,-35.326067
battery_4,p7,2035,-41.823286
battery_4,p7,2038,-37.313811
battery_4,p8,2029,-32231.385856
battery_4,p8,2032,-33365.030171
battery_4,p8,2035,-42634.118194
battery_4,p8,2038,-52806.032963
battery_4,p8,2041,-70109.521626
battery_4,p8,2044,-101204.721788
battery_4,p8,2047,-104606.415988
battery_4,p8,2050,-102328.075425
battery_4,p9,2020,-177.038754
battery_4,p9,2023,-194632.124763
battery_4,p9,2026,-379976.834071
battery_4,p9,2029,-444829.675702
battery_4,p9,2032,-514257.977788
battery_4,p9,2035,-546544.170437
battery_4,p9,2038,-207489.320351
battery_4,p9,2041,-434559.052303
battery_4,p9,2044,-506205.939179
battery_4,p9,2047,-561568.606315
battery_4,p9,2050,-517897.106485
battery_4,p10,2020,-3441.801249
battery_4,p10,2023,-863354.665341
battery_4,p10,2026,-1396619.048292
battery_4,p10,2029,-1498247.045835
battery_4,p10,2032,-1670808.310716
battery_4,p10,2035,-1721857.31533
battery_4,p10,2038,-997092.129107
battery_4,p10,2041,-591690.554635
battery_4,p10,2044,-622669.350358
battery_4,p10,2047,-617731.542603
battery_4,p10,2050,-576831.53987
battery_4,p11,2020,-7335.234902
battery_4,p11,2023,-67109.654651
battery_4,p11,2026,-126387.647183
battery_4,p11,2029,-158514.72847
battery_4,p11,2032,-185329.005042
battery_4,p11,2035,-121695.145719
battery_4,p11,2038,-85143.37941
battery_4,p11,2041,-185739.815795
battery_4,p11,2044,-180055.397696
battery_4,p11,2047,-181171.076512
battery_4,p11,2050,-170883.283373
battery_4,p12,2032,-225.417424
battery_4,p12,2035,-243.084217
battery_4,p12,2038,-11150.382693
battery_4,p12,2041,-12858.860907
battery_4,p12,2044,-130003.958402
battery_4,p12,2047,-148598.369089
battery_4,p12,2050,-140609.859404
battery_4,p13,2023,-10188.980946
battery_4,p13,2026,-141404.080978
battery_4,p13,2029,-198705.359105
battery_4,p13,2032,-222339.699125
battery_4,p13,2035,-241679.208232
battery_4,p13,2038,-232541.802433
battery_4,p13,2041,-247565.391088
