r,t,Value
p1,2010,41550572.049103
p1,2015,36206319.841729
p1,2020,31651333.145698
p1,2023,37785589.135788
p1,2026,39374758.066658
p1,2029,42077868.880964
p1,2032,37869709.427057
p1,2035,36703743.702153
p1,2038,26147792.567965
p1,2041,28088826.911133
p1,2044,27517378.961292
p1,2047,29598332.550756
p1,2050,25330153.400452
p2,2010,-8456452.982295
p2,2015,868940.454995
p2,2020,-7909469.543384
p2,2023,-4641326.045438
p2,2026,-5379720.325774
p2,2029,-8893319.921066
p2,2032,-11320350.192869
p2,2035,-11602819.751772
p2,2038,-7825805.17948
p2,2041,-10398042.87782
p2,2044,-8557855.961323
p2,2047,-9649392.247817
p2,2050,-8832748.681548
p3,2010,7958131.463475
p3,2015,4601346.366927
p3,2020,4005171.938891
p3,2023,3890340.8859
p3,2026,5086590.892415
p3,2029,5805928.557072
p3,2032,6170912.13109
p3,2035,7345059.343306
p3,2038,5317912.605485
p3,2041,6037463.296059
p3,2044,6597114.509018
p3,2047,6291823.485863
p3,2050,5045253.448432
p4,2010,-49256252.282367
p4,2015,-56707927.412528
p4,2020,-65791099.16611
p4,2023,-65580186.061476
p4,2026,-65537590.854042
p4,2029,-66410723.165635
p4,2032,-65954190.290753
p4,2035,-64377307.269539
p4,2038,-64040877.368406
p4,2041,-63350096.612145
p4,2044,-65641970.613759
p4,2047,-65342862.022792
p4,2050,-65163842.973283
p5,2010,-7769566.862933
p5,2015,-4344819.916473
p5,2020,-13684126.0545
p5,2023,-6760049.392643
p5,2026,-5281331.526192
p5,2029,-3067211.4404
p5,2032,3454185.09753
p5,2035,9042308.91712
p5,2038,16649515.553679
p5,2041,19686733.039846
p5,2044,25726508.275205
p5,2047,27980810.164546
p5,2050,32507346.743899
p6,2010,5579303.843424
p6,2015,7299361.890205
p6,2020,6246729.744115
p6,2023,7727334.174776
p6,2026,9835446.488817
p6,2029,12207686.402221
p6,2032,12729849.78957
p6,2035,11512247.517835
p6,2038,13297922.18715
p6,2041,14847499.980276
p6,2044,16455634.450896
p6,2047,18119226.266514
p6,2050,17926197.501869
p7,2010,121018.8315
p7,2015,258743.164428
p7,2020,-564575.454843
p7,2023,-1452187.204982
p7,2026,-1046916.520634
p7,2029,-7557538.480367
p7,2032,-15051934.253778
p7,2035,-18480604.506508
p7,2038,-21777208.411411
p7,2041,-25264325.48677
p7,2044,-27271807.145461
p7,2047,-30030185.268319
p7,2050,-32012988.771204
p8,2010,905661.020323
p8,2015,944671.872712
p8,2020,796575.469912
p8,2023,969338.822205
p8,2026,42521.195791
p8,2029,-1000827.819827
p8,2032,-1035065.571228
p8,2035,-922346.93033
p8,2038,-796593.586973
p8,2041,-801705.069234
p8,2044,-865262.863517
p8,2047,-888669.360737
p8,2050,-982525.404854
p9,2010,5273364.300261
p9,2015,2909456.791147
p9,2020,23810852.096961
p9,2023,12798063.468892
p9,2026,14161204.271423
p9,2029,12201724.522881
p9,2032,20495420.167398
p9,2035,25014682.650765
p9,2038,25178970.055722
p9,2041,26519255.130561
p9,2044,25717468.428735
p9,2047,24801581.452673
p9,2050,27629969.721343
p10,2010,40699823.258776
p10,2015,9728529.659136
p10,2020,48434521.035466
p10,2023,31323239.331298
p10,2026,33156516.977214
p10,2029,44142825.503918
p10,2032,66206640.242343
p10,2035,54714717.643103
p10,2038,44162343.24832
p10,2041,37822924.80295
p10,2044,33494928.327387
p10,2047,35096042.151892
p10,2050,46295488.4894
p11,2010,8463874.796275
p11,2015,711909.140051
p11,2020,13166147.188904
p11,2023,10417592.620057
p11,2026,10377920.769622
p11,2029,9622572.56236
p11,2032,3868536.412703
p11,2035,5866837.488456
p11,2038,8645136.022589
p11,2041,11523523.801859
p11,2044,11774108.24605
p11,2047,11428858.436776
p11,2050,7138134.352607
p12,2010,1245797.598216
p12,2015,-685227.411967
p12,2020,-5762052.136648
p12,2023,-1514346.581184
p12,2026,-3633150.890125
p12,2029,-4472770.176809
p12,2032,-2612035.69592
p12,2035,808219.030028
p12,2038,-996948.580499
p12,2041,-903088.74295
p12,2044,-1488529.528304
p12,2047,-4086450.790087
p12,2050,-3606411.83578
p13,2010,-9403384.761012
p13,2015,-10228660.111148
p13,2020,-14927728.297973
p13,2023,-5140771.782595
p13,2026,-7298155.774182
p13,2029,-5643237.845045
p13,2032,-25241773.476089
p13,2035,-40727881.571865
p13,2038,-38924725.629148
p13,2041,-41276130.227107
p13,2044,-42979863.10739
p13,2047,-43758692.625252
p13,2050,-48170567.775611
p14,2010,2218172.719349
p14,2015,1703249.05548
p14,2020,1327695.259999
p14,2023,2758978.271863
p14,2026,2107555.4669
p14,2029,2770087.719235
p14,2032,2190596.748471
p14,2035,2507994.499082
p14,2038,2695308.588108
p14,2041,919901.854592
p14,2044,-1890410.408933
p14,2047,-1715563.1441
p14,2050,-1147672.225681
p15,2010,7790123.2017
p15,2015,6135591.285692
p15,2020,5113012.877527
p15,2023,6600715.732778
p15,2026,6660129.642843
p15,2029,7704774.511654
p15,2032,8859528.392571
p15,2035,8906459.403852
p15,2038,10307234.235586
p15,2041,11307259.05053
p15,2044,12020020.135892
p15,2047,12592563.78995
p15,2050,12029686.399614
p16,2010,2853773.166727
p16,2015,2006114.275135
p16,2020,1920304.865535
p16,2023,1226063.473795
p16,2026,1302931.557095
p16,2029,-2565026.731957
p16,2032,-8341375.327798
p16,2035,-7966440.976093
p16,2038,-8164871.596489
p16,2041,-7816393.077581
p16,2044,-8152568.041402
p16,2047,-10207414.425858
p16,2050,-11795976.945659
p17,2010,1568578.807435
p17,2015,1275284.0637
p17,2020,843003.969957
p17,2023,1172385.523953
p17,2026,1565576.545122
p17,2029,2044228.703808
p17,2032,2883157.370931
p17,2035,3777197.06293
p17,2038,4630921.461375
p17,2041,4576297.643121
p17,2044,5384467.016032
p17,2047,5756593.97276
p17,2050,6314886.555434
p18,2010,-92482.029389
p18,2015,-396640.33464
p18,2020,-952330.975572
p18,2023,-2258868.550864
p18,2026,-2969181.203274
p18,2029,-2528850.056774
p18,2032,-2056816.477937
p18,2035,-5841428.457623
p18,2038,-6402792.09982
p18,2041,-7635111.949123
p18,2044,-7332653.795813
p18,2047,-7519510.88995
p18,2050,-7831612.03167
p20,2010,-13651419.769374
p20,2015,-536447.041336
p20,2020,232236.937979
p20,2023,-4748398.183085
p20,2026,-5887686.492304
p20,2029,-7146086.574321
p20,2032,-8624333.194249
p20,2035,-8443015.350569
p20,2038,-8785439.818874
p20,2041,-9440475.231772
p20,2044,-11483692.818375
p20,2047,-12452821.961638
p20,2050,-13271884.959514
p21,2010,-9893257.759531
p21,2015,-177443.737573
p21,2020,-364802.441823
p21,2023,-7880709.285598
p21,2026,-6659268.534144
p21,2029,-5565765.427936
p21,2032,-4986117.338511
p21,2035,-3828453.697433
p21,2038,2418829.4758
p21,2041,2212736.814052
p21,2044,2433024.111612
p21,2047,933466.01861
p21,2050,208833.062869
p22,2010,1508273.499
p22,2015,1492247.472
p22,2020,1352162.886
p22,2023,1464885.966
p22,2026,1600357.581
p22,2029,1759725.3198
p22,2032,1913775.760116
p22,2035,2067988.957716
p22,2038,2192651.260912
p22,2041,1185674.833723
p22,2044,1132137.557241
p22,2047,1275812.726484
p22,2050,1400081.126366
p23,2010,-1928335.547116
p23,2015,492006.765
p23,2020,386671.5066
p23,2023,481100.8308
p23,2026,565686.9066
p23,2029,-1471630.074004
p23,2032,-3444440.609546
p23,2035,-4291268.151949
p23,2038,-4429803.489261
p23,2041,-3778527.522265
p23,2044,-4075946.747661
p23,2047,-3968257.950862
