i,r,t,Value
battery_4,p6,2026,-169.000127
battery_4,p6,2029,-175.882755
battery_4,p6,2032,-253.651739
battery_4,p6,2035,-386.736731
battery_4,p6,2038,-421.969654
battery_4,p6,2041,-591.472965
battery_4,p6,2044,-576.187198
battery_4,p6,2047,-590.779511
battery_4,p6,2050,-525.378383
battery_4,p7,2026,-16.61791
battery_4,p7,2029,-19.125356
battery_4,p7,2032,-27.257504
battery_4,p7,2035,-39.810658
battery_4,p7,2038,-43.189171
battery_4,p8,2029,-30702.586618
battery_4,p8,2032,-30153.647508
battery_4,p8,2035,-43427.714096
battery_4,p8,2038,-50129.510374
battery_4,p8,2041,-49809.104875
battery_4,p8,2044,-97225.701291
battery_4,p8,2047,-100068.940012
battery_4,p8,2050,-103314.756808
battery_4,p9,2020,-166.642771
battery_4,p9,2023,-169202.3742
battery_4,p9,2026,-353527.978739
battery_4,p9,2029,-393467.773599
battery_4,p9,2032,-495708.331443
battery_4,p9,2035,-538428.372452
battery_4,p9,2038,-53150.902443
battery_4,p9,2047,-2113.798828
battery_4,p9,2050,-27750.346754
battery_4,p10,2020,-4279.393099
battery_4,p10,2023,-738504.245013
battery_4,p10,2026,-1244191.795155
battery_4,p10,2029,-1267153.319787
battery_4,p10,2032,-1572406.134502
battery_4,p10,2035,-1699435.089781
battery_4,p10,2038,-814821.827887
battery_4,p10,2041,-510189.116931
battery_4,p10,2044,-507019.747828
battery_4,p10,2047,-507087.615501
battery_4,p10,2050,-503547.590295
battery_4,p11,2020,-11482.527086
battery_4,p11,2023,-49974.876551
battery_4,p11,2026,-122425.955028
battery_4,p11,2029,-145141.78475
battery_4,p11,2032,-166297.70306
battery_4,p11,2035,-122184.246767
battery_4,p11,2038,-85130.222082
battery_4,p11,2041,-416403.493679
battery_4,p11,2044,-412222.83303
battery_4,p11,2047,-417762.72713
battery_4,p11,2050,-379483.366498
battery_4,p12,2029,-34865.427296
battery_4,p12,2032,-31425.081517
battery_4,p12,2035,-35963.857251
battery_4,p12,2038,-37727.809111
battery_4,p12,2041,-42778.852373
battery_4,p12,2044,-23772.816231
battery_4,p12,2047,-25542.729843
battery_4,p12,2050,-85639.313519
battery_4,p13,2023,-12392.118377
battery_4,p13,2026,-135659.19039
battery_4,p13,2029,-364454.239626
battery_4,p13,2032,-311901.421814
battery_4,p13,2035,-423364.449758
battery_4,p13,2038,-415165.185154
battery_4,p13,2041,-294701.615791
battery_4,p13,2044,-305390.014388
battery_4,p13,2047,-348680.959022
battery_4,p13,2050,-354842.531941
battery_4,p15,2023,-1548.314116
battery_4,p15,2026,-10087.194233
battery_4,p15,2029,-7774.262814
battery_4,p15,2032,-9148.845354
battery_4,p15,2035,-20364.325377
battery_4,p16,2023,-71.119967
battery_4,p16,2026,-188.809438
battery_4,p16,2029,-172.060755
battery_4,p16,2032,-194.096754
battery_4,p16,2035,-339.429411
battery_4,p18,2026,-1485.191428
battery_4,p18,2029,-1362.756595
battery_4,p18,2032,-1845.36836
battery_4,p18,2035,-7717.40256
battery_4,p18,2038,-9648.223361
battery_4,p23,2050,-119.683889
battery_4,p25,2029,-69040.240472
battery_4,p25,2032,-59742.001772
battery_4,p25,2035,-60259.207275
battery_4,p25,2038,-50574.794212
battery_4,p25,2041,-56778.633813
battery_4,p27,2050,-32962.154774
battery_4,p28,2023,-107433.679845
battery_4,p28,2026,-166593.075542
battery_4,p28,2029,-220622.814534
battery_4,p28,2032,-210035.854884
battery_4,p28,2035,-219535.851046
battery_4,p28,2038,-63637.042214
battery_4,p30,2029,-185330.068678
battery_4,p30,2032,-183906.702335
battery_4,p30,2035,-236901.436841
battery_4,p30,2038,-274627.558627
battery_4,p30,2041,-282333.366422
battery_4,p30,2047,-14317.806352
battery_4,p30,2050,-89890.504725
battery_4,p31,2023,-14988.75067
battery_4,p31,2026,-47924.801906
