sys_costs,i,r,t,Value
inv_h2_production,electrolyzer,p99,2047,272876502.315982
inv_h2_production,electrolyzer,p127,2041,3896662323.452652
inv_h2_production,electrolyzer,p127,2047,86711047.332988
inv_h2_production,electrolyzer,p127,2050,29142449.603653
inv_investment_capacity_costs,battery_4,p6,2026,3412569.2986
inv_investment_capacity_costs,battery_4,p6,2041,2668138.7675
inv_investment_capacity_costs,battery_4,p7,2026,291899.5464
inv_investment_capacity_costs,battery_4,p8,2029,201542458.8
inv_investment_capacity_costs,battery_4,p8,2038,50710028.406456
inv_investment_capacity_costs,battery_4,p8,2041,66379230.681992
inv_investment_capacity_costs,battery_4,p8,2044,287629748.75229
inv_investment_capacity_costs,battery_4,p9,2015,18130771.2
inv_investment_capacity_costs,battery_4,p9,2020,2015193.056
inv_investment_capacity_costs,battery_4,p9,2023,4246538041.15187
inv_investment_capacity_costs,battery_4,p9,2026,306368537.86
inv_investment_capacity_costs,battery_4,p9,2038,660665110.990091
inv_investment_capacity_costs,battery_4,p9,2041,1177056185.773803
inv_investment_capacity_costs,battery_4,p9,2044,211224524.861488
inv_investment_capacity_costs,battery_4,p9,2047,185565208.216519
inv_investment_capacity_costs,battery_4,p10,2015,8986063.476
inv_investment_capacity_costs,battery_4,p10,2020,284049910.4256
inv_investment_capacity_costs,battery_4,p10,2023,9661312454.478575
inv_investment_capacity_costs,battery_4,p10,2026,3122707331.205
inv_investment_capacity_costs,battery_4,p10,2038,1725174899.230279
inv_investment_capacity_costs,battery_4,p10,2041,659694347.977095
inv_investment_capacity_costs,battery_4,p10,2044,148621058.810208
inv_investment_capacity_costs,battery_4,p11,2015,12094735.288
inv_investment_capacity_costs,battery_4,p11,2020,668454543.432
inv_investment_capacity_costs,battery_4,p11,2023,416025983.52
inv_investment_capacity_costs,battery_4,p11,2026,466068795.4692
inv_investment_capacity_costs,battery_4,p11,2041,736156338.585777
inv_investment_capacity_costs,battery_4,p11,2047,48416455.24945
inv_investment_capacity_costs,battery_4,p12,2032,1265951.646145
inv_investment_capacity_costs,battery_4,p12,2038,54731922.8448
inv_investment_capacity_costs,battery_4,p12,2044,453205214.903388
inv_investment_capacity_costs,battery_4,p13,2023,94983507.6752
inv_investment_capacity_costs,battery_4,p13,2026,810351130.3888
inv_investment_capacity_costs,battery_4,p13,2029,284636663.951915
inv_investment_capacity_costs,battery_4,p13,2032,226833379.946964
inv_investment_capacity_costs,battery_4,p13,2041,582891877.3288
inv_investment_capacity_costs,battery_4,p15,2023,245527826.178
inv_investment_capacity_costs,battery_4,p16,2023,3799455.152
inv_investment_capacity_costs,battery_4,p18,2026,144593002.4
inv_investment_capacity_costs,battery_4,p23,2044,202723244.552436
inv_investment_capacity_costs,battery_4,p23,2047,1609943.756452
inv_investment_capacity_costs,battery_4,p24,2041,251650272.416242
inv_investment_capacity_costs,battery_4,p24,2047,103786296.992668
inv_investment_capacity_costs,battery_4,p24,2050,92254739.417422
inv_investment_capacity_costs,battery_4,p25,2029,136660800.655591
inv_investment_capacity_costs,battery_4,p28,2023,1779769540.375886
inv_investment_capacity_costs,battery_4,p28,2026,358817420.5
inv_investment_capacity_costs,battery_4,p28,2047,629989.62032
inv_investment_capacity_costs,battery_4,p29,2044,36021645.280783
inv_investment_capacity_costs,battery_4,p29,2047,18170998.927257
inv_investment_capacity_costs,battery_4,p30,2029,623827441.550794
inv_investment_capacity_costs,battery_4,p31,2023,139163419.056
inv_investment_capacity_costs,battery_4,p31,2026,213109927.8
inv_investment_capacity_costs,battery_4,p31,2044,289790431.659777
inv_investment_capacity_costs,battery_4,p31,2047,398394859.266963
inv_investment_capacity_costs,battery_4,p33,2023,9349100.13
inv_investment_capacity_costs,battery_4,p33,2047,31371166.424695
inv_investment_capacity_costs,battery_4,p34,2023,421247841.75
inv_investment_capacity_costs,battery_4,p37,2029,559819818.72
inv_investment_capacity_costs,battery_4,p39,2050,131924816.856899
inv_investment_capacity_costs,battery_4,p40,2023,1887764.556
inv_investment_capacity_costs,battery_4,p43,2023,1491621.824716
inv_investment_capacity_costs,battery_4,p43,2029,573473960.64
inv_investment_capacity_costs,battery_4,p47,2044,267151130.776969
inv_investment_capacity_costs,battery_4,p47,2050,431981727.453345
inv_investment_capacity_costs,battery_4,p48,2026,282983624.0
inv_investment_capacity_costs,battery_4,p48,2044,142833123.513234
inv_investment_capacity_costs,battery_4,p48,2050,53405746.983327
inv_investment_capacity_costs,battery_4,p52,2050,169698482.296896
inv_investment_capacity_costs,battery_4,p58,2029,13772721.952
inv_investment_capacity_costs,battery_4,p59,2044,7352736.51251
inv_investment_capacity_costs,battery_4,p59,2047,76408342.333289
inv_investment_capacity_costs,battery_4,p60,2023,93491001.3
inv_investment_capacity_costs,battery_4,p60,2026,282402150.8
inv_investment_capacity_costs,battery_4,p60,2044,985018496.117959
inv_investment_capacity_costs,battery_4,p60,2047,107412682.471799
inv_investment_capacity_costs,battery_4,p60,2050,2805753758.212676
inv_investment_capacity_costs,battery_4,p61,2023,572725873.9638
inv_investment_capacity_costs,battery_4,p61,2026,727750342.6116
inv_investment_capacity_costs,battery_4,p62,2023,1137057536.054
inv_investment_capacity_costs,battery_4,p63,2023,1469884090.1582
inv_investment_capacity_costs,battery_4,p63,2026,269150764.2208
inv_investment_capacity_costs,battery_4,p64,2023,775090884.7214
inv_investment_capacity_costs,battery_4,p64,2026,251021980.44
inv_investment_capacity_costs,battery_4,p65,2023,764451333.624
inv_investment_capacity_costs,battery_4,p65,2026,223146155.232
