sys_costs,r,t,Value
inv_converter_costs,p20,2047,17510158.887728
inv_h2_production,p125,2050,0.0
inv_h2_production,p127,2041,876142716.136718
inv_h2_production,p127,2047,11014159.900621
inv_h2_production,p127,2050,94035344.007389
inv_h2_storage,p8,2044,-0.0
inv_h2_storage,p8,2047,0.0
inv_h2_storage,p22,2041,0.0
inv_h2_storage,p22,2044,-0.0
inv_h2_storage,p24,2038,-0.0
inv_h2_storage,p24,2041,0.0
inv_h2_storage,p27,2044,-0.0
inv_h2_storage,p27,2047,0.0
inv_h2_storage,p31,2044,-0.0
inv_h2_storage,p31,2047,0.0
inv_h2_storage,p39,2029,0.0
inv_h2_storage,p39,2032,-0.0
inv_h2_storage,p39,2047,-0.0
inv_h2_storage,p39,2050,0.0
inv_h2_storage,p42,2041,-0.0
inv_h2_storage,p42,2044,0.0
inv_h2_storage,p44,2032,-0.0
inv_h2_storage,p44,2035,0.0
inv_h2_storage,p44,2038,-0.0
inv_h2_storage,p58,2050,-0.0
inv_h2_storage,p61,2038,-0.0
inv_h2_storage,p61,2041,0.0
inv_h2_storage,p76,2047,0.0
inv_h2_storage,p76,2050,-0.0
inv_h2_storage,p99,2047,-0.0
inv_h2_storage,p99,2050,0.0
inv_h2_storage,p123,2050,0.0
inv_h2_storage,p125,2032,-0.0
inv_h2_storage,p125,2035,0.0
inv_h2_storage,p127,2041,201962150.854342
inv_h2_storage,p134,2038,0.0
inv_h2_storage,p134,2041,-0.0
inv_investment_capacity_costs,p1,2010,381394271.0115
inv_investment_capacity_costs,p1,2015,107220104.123593
inv_investment_capacity_costs,p1,2020,215022761.477033
inv_investment_capacity_costs,p1,2023,13169559.195
inv_investment_capacity_costs,p1,2029,735959458.61229
inv_investment_capacity_costs,p1,2032,1944577119.589494
inv_investment_capacity_costs,p1,2035,1473834081.41815
inv_investment_capacity_costs,p1,2038,3437848450.069278
inv_investment_capacity_costs,p1,2041,355692480.928628
inv_investment_capacity_costs,p1,2044,1458462710.342832
inv_investment_capacity_costs,p1,2047,77585275.289457
inv_investment_capacity_costs,p1,2050,1827695244.815136
inv_investment_capacity_costs,p2,2010,117393137.96
inv_investment_capacity_costs,p2,2015,1206584203.69311
inv_investment_capacity_costs,p2,2023,134133754.11
inv_investment_capacity_costs,p2,2026,146080107.504
inv_investment_capacity_costs,p2,2029,1437488120.684055
inv_investment_capacity_costs,p2,2032,1478185983.478986
inv_investment_capacity_costs,p2,2035,967149606.180174
inv_investment_capacity_costs,p2,2038,575685601.084781
inv_investment_capacity_costs,p2,2041,877732834.785257
inv_investment_capacity_costs,p2,2044,409381429.281654
inv_investment_capacity_costs,p2,2047,325671447.519736
inv_investment_capacity_costs,p2,2050,412367226.681902
inv_investment_capacity_costs,p3,2015,150165713.8215
inv_investment_capacity_costs,p3,2020,177681543.112704
inv_investment_capacity_costs,p3,2029,253187532.436096
inv_investment_capacity_costs,p3,2032,221557207.396714
inv_investment_capacity_costs,p3,2035,41716641.926526
inv_investment_capacity_costs,p3,2038,747293264.004972
inv_investment_capacity_costs,p3,2044,160294179.999289
inv_investment_capacity_costs,p3,2047,272965430.116766
inv_investment_capacity_costs,p3,2050,612223483.976757
inv_investment_capacity_costs,p4,2015,641501060.295261
inv_investment_capacity_costs,p4,2020,391444958.078072
inv_investment_capacity_costs,p4,2026,126551415.816
inv_investment_capacity_costs,p4,2029,882818576.961789
inv_investment_capacity_costs,p4,2035,572684.675767
